"Geolocation","Fertilizer Grade","2006 January","2006 February","2006 March","2006 April","2006 May","2006 June","2006 July","2006 August","2006 September","2006 October","2006 November","2006 December","2006 Annual"
"PHILIPPINES","Ammophos (16-20-0)",749.05,733.71,726.34,724.05,722.55,722.37,724.27,729.63,729.30,729.33,728.07,723.44,728.51
"PHILIPPINES","Ammosul (21-0-0)",505.71,495.00,483.90,484.39,484.92,480.29,480.01,479.69,475.89,476.02,473.65,470.27,482.48
"PHILIPPINES","Complete (14-14-14)",764.88,754.61,748.43,748.27,747.79,746.23,752.41,756.44,760.63,758.93,760.09,757.75,754.71
"PHILIPPINES","Urea (45-0-0)",889.34,879.00,880.11,896.51,922.19,922.57,914.04,908.32,904.14,898.73,892.75,888.02,899.64
"..NATIONAL CAPITAL REGION (NCR)","Ammophos (16-20-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Ammosul (21-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Complete (14-14-14)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..NATIONAL CAPITAL REGION (NCR)","Urea (45-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammophos (16-20-0)",728.00,721.00,705.75,707.00,707.75,704.25,703.40,700.00,700.00,700.00,700.40,702.80,706.70
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Ammosul (21-0-0)",521.20,508.25,512.50,514.56,512.60,504.80,501.36,502.55,503.08,503.65,501.40,500.92,507.24
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Complete (14-14-14)",766.67,758.54,750.21,747.00,744.96,741.92,742.43,739.54,738.13,737.08,737.58,741.37,746.19
"..CORDILLERA ADMINISTRATIVE REGION (CAR)","Urea (45-0-0)",896.25,888.33,889.17,891.30,896.63,900.33,901.10,899.21,897.17,895.58,892.67,886.83,894.55
"....Abra","Ammophos (16-20-0)",740.00,720.00,700.00,700.00,700.00,700.00,688.00,686.25,690.00,690.00,690.00,690.00,699.52
"....Abra","Ammosul (21-0-0)",480.00,460.00,440.00,440.00,440.00,440.00,440.00,440.00,440.00,440.00,440.00,440.00,445.00
"....Abra","Complete (14-14-14)",740.00,735.00,730.00,712.00,700.00,700.00,696.00,695.00,691.00,685.00,685.00,685.00,704.50
"....Abra","Urea (45-0-0)",850.00,850.00,850.00,858.00,860.00,860.00,860.00,860.00,856.00,850.00,850.00,850.00,854.50
"....Apayao","Ammophos (16-20-0)",707.50,687.50,662.50,665.00,673.75,672.50,684.00,672.50,670.00,670.00,670.00,680.00,676.27
"....Apayao","Ammosul (21-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Apayao","Complete (14-14-14)",712.50,697.50,671.25,672.00,680.00,681.25,694.00,682.50,679.00,677.50,680.00,692.00,684.96
"....Apayao","Urea (45-0-0)",855.00,833.75,850.00,857.00,880.00,881.25,885.00,872.50,873.00,875.00,866.25,850.00,864.90
"....Benguet","Ammophos (16-20-0)",750.00,750.00,750.00,750.00,745.00,730.00,730.00,730.00,730.00,730.00,732.00,730.00,738.08
"....Benguet","Ammosul (21-0-0)",510.00,510.00,510.00,510.00,510.00,510.00,510.00,510.00,510.00,510.00,508.50,510.00,509.88
"....Benguet","Complete (14-14-14)",750.00,750.00,750.00,750.00,745.00,730.00,730.00,730.00,730.00,730.00,730.50,730.00,737.96
"....Benguet","Urea (45-0-0)",900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,902.50,900.00,900.21
"....Ifugao","Ammophos (16-20-0)",712.50,745.00,746.25,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,750.00,746.15
"....Ifugao","Ammosul (21-0-0)",500.00,480.00,490.00,500.00,495.00,457.50,450.00,452.50,460.00,460.00,460.00,460.00,472.08
"....Ifugao","Complete (14-14-14)",750.00,750.00,755.00,750.00,747.50,747.50,750.00,750.00,750.00,750.00,750.00,750.00,750.00
"....Ifugao","Urea (45-0-0)",882.50,887.50,880.00,880.00,880.00,887.50,890.00,890.00,890.00,890.00,890.00,890.00,886.46
"....Kalinga","Ammophos (16-20-0)",730.00,702.50,670.00,670.00,670.00,668.75,665.00,661.25,660.00,660.00,660.00,664.00,673.46
"....Kalinga","Ammosul (21-0-0)",482.50,445.00,467.50,456.00,450.00,447.50,438.00,441.25,433.00,431.25,420.00,420.00,444.33
"....Kalinga","Complete (14-14-14)",745.00,702.50,680.00,680.00,680.00,678.75,675.00,671.25,670.00,670.00,670.00,674.00,683.04
"....Kalinga","Urea (45-0-0)",880.00,845.00,841.25,839.00,845.00,861.25,860.00,861.25,850.00,842.50,830.00,822.00,848.10
"....Mountain Province","Ammophos (16-20-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Ammosul (21-0-0)",633.50,646.25,655.00,666.80,668.00,669.00,668.80,669.00,672.40,677.00,678.50,674.60,664.90
"....Mountain Province","Complete (14-14-14)",902.50,916.25,915.00,918.00,917.25,914.00,909.60,908.50,908.80,910.00,910.00,970.00,916.66
"....Mountain Province","Urea (45-0-0)",1010.00,1013.75,1013.75,1013.80,1014.75,1012.00,1011.60,1011.50,1014.00,1016.00,1017.25,1009.00,1013.12
"..REGION I (ILOCOS REGION)","Ammophos (16-20-0)",704.06,700.00,695.00,695.00,693.13,681.25,687.25,686.25,691.75,690.63,688.75,686.00,691.59
"..REGION I (ILOCOS REGION)","Ammosul (21-0-0)",456.88,448.75,443.44,446.25,448.13,447.50,446.00,443.13,459.00,457.50,455.00,454.00,450.46
"..REGION I (ILOCOS REGION)","Complete (14-14-14)",703.44,696.88,687.50,690.25,688.13,684.38,697.50,697.50,701.50,698.44,700.94,698.00,695.37
"..REGION I (ILOCOS REGION)","Urea (45-0-0)",841.88,838.13,835.00,846.50,852.81,854.38,860.00,850.00,851.00,848.75,845.00,844.50,847.33
"....Ilocos Norte","Ammophos (16-20-0)",720.00,720.00,720.00,720.00,712.50,690.00,714.00,710.00,728.00,730.00,730.00,722.00,718.04
"....Ilocos Norte","Ammosul (21-0-0)",430.00,415.00,417.50,420.00,427.50,450.00,442.00,425.00,450.00,450.00,450.00,442.00,434.92
"....Ilocos Norte","Complete (14-14-14)",725.00,712.50,705.00,720.00,712.50,695.00,720.00,727.50,738.00,740.00,750.00,742.00,723.96
"....Ilocos Norte","Urea (45-0-0)",845.00,832.50,837.50,866.00,871.25,872.50,860.00,842.50,846.00,850.00,850.00,842.00,851.27
"....Ilocos Sur","Ammophos (16-20-0)",677.50,690.00,670.00,670.00,670.00,670.00,670.00,670.00,670.00,670.00,670.00,670.00,672.29
"....Ilocos Sur","Ammosul (21-0-0)",440.00,440.00,400.00,394.00,390.00,390.00,392.00,397.50,428.00,420.00,420.00,420.00,410.96
"....Ilocos Sur","Complete (14-14-14)",685.00,690.00,660.00,660.00,660.00,667.50,690.00,682.50,684.00,680.00,680.00,680.00,676.58
"....Ilocos Sur","Urea (45-0-0)",822.50,820.00,800.00,818.00,840.00,850.00,850.00,827.50,828.00,830.00,830.00,830.00,828.83
"....La Union","Ammophos (16-20-0)",708.75,690.00,690.00,690.00,690.00,690.00,690.00,690.00,690.00,690.00,690.00,690.00,691.56
"....La Union","Ammosul (21-0-0)",457.50,450.00,450.00,450.00,450.00,450.00,450.00,450.00,450.00,450.00,450.00,450.00,450.63
"....La Union","Complete (14-14-14)",707.50,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.63
"....La Union","Urea (45-0-0)",857.50,850.00,850.00,850.00,850.00,850.00,850.00,850.00,850.00,850.00,850.00,850.00,850.63
"....Pangasinan","Ammophos (16-20-0)",710.00,700.00,700.00,700.00,700.00,675.00,675.00,675.00,679.00,672.50,665.00,662.00,684.46
"....Pangasinan","Ammosul (21-0-0)",500.00,490.00,506.25,521.00,525.00,500.00,500.00,500.00,508.00,510.00,500.00,504.00,505.35
"....Pangasinan","Complete (14-14-14)",696.25,685.00,685.00,681.00,680.00,675.00,680.00,680.00,684.00,673.75,673.75,670.00,680.31
"....Pangasinan","Urea (45-0-0)",842.50,850.00,852.50,852.00,850.00,845.00,880.00,880.00,880.00,865.00,850.00,856.00,858.58
"..REGION II (CAGAYAN VALLEY)","Ammophos (16-20-0)",707.81,694.69,688.13,683.25,685.63,680.31,685.75,704.69,710.25,703.13,700.31,687.25,694.27
"..REGION II (CAGAYAN VALLEY)","Ammosul (21-0-0)",453.44,439.06,431.25,434.00,439.38,449.69,447.75,444.38,438.00,443.75,439.69,431.50,440.99
"..REGION II (CAGAYAN VALLEY)","Complete (14-14-14)",714.38,700.00,696.25,694.25,698.75,697.50,699.75,710.00,711.50,707.50,720.63,716.75,705.60
"..REGION II (CAGAYAN VALLEY)","Urea (45-0-0)",842.19,843.44,841.56,841.50,851.88,859.06,859.00,858.31,847.75,840.31,839.69,822.00,845.56
