Geolocation,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Current Prices 2022
Cordillera Administrative Region (CAR),308267122.3,322106087.9,295502541.8,323883881.4,365945435.6
..Abra,20011832.16,20869587.94,21129218.18,23777806.98,27237633.57
..Apayao,9951855.17,10255153.32,10737123.5,11658134.67,12583957.43
..Benguet,69843052.33,72624760.22,72114196.68,80538413.02,87852622.32
..Ifugao,23817885.7,24538495.11,24196373.12,25854624.33,28700721.62
..Kalinga,24221520.8,24998012.38,24135032.47,26060666.41,30122867.2
..Mountain Province,13486832.48,14070003.49,13670050.34,14977249.8,16969260.23
..City of Baguio,146934143.7,154750075.4,129520547.5,141016986.2,162478373.2
Region I (Ilocos Region),587597250.8,630300658.4,597917299.5,644125310.2,729474685.1
..Ilocos Norte,84319624.07,90997088.85,85976653.21,91717339.83,105321400.9
..Ilocos Sur,78626396.18,86196267.45,80616298.51,89935199.79,102665566.4
..La Union,104186641.9,113421113.4,106508365.6,114987502.6,129770016.5
..Pangasinan,320464588.6,339686188.7,324815982.3,347485267.9,391717701.2
Region II (Cagayan Valley),385061270.6,399370781.2,367331248.2,400003437.9,455743088
..Batanes,4190146.56,4628388.57,3879398.71,4290851.57,5071392.1
..Cagayan,139710568.1,144235370.4,128764994.2,142493847.2,161877705.4
..Isabela,168553854,176651708,168949482,177798078.9,199503095.2
..Nueva Vizcaya,53059776.91,54219918.52,47026282.54,55043434.71,66527843.88
..Quirino,19546925.04,19635395.73,18711090.73,20377225.41,22763051.51
Region III (Central Luzon),2062393875,2184815143,1864111182,2062335867,2367265679
..Aurora,32375471.87,32816299.25,29441196.43,32119217.41,36128155.58
..Bataan,255493392.1,273942043.2,214665572.5,244903268.4,283161348
..Bulacan,573030038.9,618129555.1,515094661.4,551924610.3,636047115.7
..Nueva Ecija,295632251.3,295920039.2,265600075.5,290895960,331532721.2
..Pampanga,477288309.4,509236456.8,434095352.8,500916183.5,561981841.8
..Tarlac,183934765.5,188722261.9,173676639.3,185284497.1,215525060.5
..Zambales,75392037.09,81861803.27,75698801.2,84839123.41,102600960.4
..City of Angeles,119220535.8,130388260.1,111407400.2,123082997.6,143339575.2
..City of Olongapo,50027073.54,53798423.94,44431482.67,48370009.13,56948900.43
Region IV-A (CALABARZON),2706994745,2865792547,2565120461,2785990792,3140807481
..Batangas,554347586.2,606137866.9,517530258.7,585927387.4,670914431.5
..Cavite,683585187.1,715404260.7,607597485.9,688255789,780117544.6
..Laguna,911292489.3,952692571.5,884909406,919551354.2,1023235023
..Quezon,196730509.5,203942431.8,197110558.8,217445010.8,244604966.1
..Rizal,316927627.3,341070253.8,315591800.3,329479692.1,370994286
..City of Lucena,44111346.02,46545162.64,42380951.48,45331558.24,50941229.56
MIMAROPA Region,370744808,375589553.1,342643478.4,382709950.2,453006891.8
..Marinduque,20725097.1,21690262.02,20092273.83,22133317.38,24519007.18
..Occidental Mindoro,46335979.55,45729520.79,44783747.22,50502080.21,56090212.65
..Oriental Mindoro,98607409.75,100257661,90981859.52,101136836.6,115094386.6
..Palawan,129845457,127606324.1,113152681.1,130966485,163741950.4
..Romblon,28070676.66,28573554.61,26134458.55,28390073.73,32649622.64
..City of Puerto Princesa,47160187.95,51732230.54,47498458.2,49581157.18,60911712.24
Region V (Bicol Region),522014834.7,560835429.2,516847515.8,564637176.2,645753789.2
..Albay,133460943.4,147086799.6,132482832.7,143691451.4,162875333.1
..Camarines Norte,53086647.11,56811645.65,53540259.81,61141209.45,68691911.92
..Camarines Sur,179087083.7,186689221.6,170546432,184275361.8,211459145.7
..Catanduanes,24681522.51,27479997.87,25521154.87,27986250.56,31166885.84
..Masbate,68685017.79,73676943.11,71907302.59,79311685.37,89944137.65
..Sorsogon,63013620.24,69090821.31,62849533.74,68231217.69,81616375.03
Region VI (Western Visayas),860107768.3,919163054.7,850797186.4,937010125.6,1133925246
..Aklan,54821315.56,63584098.73,52014222.51,55731365.77,71978487.27
..Antique,59837563.85,64120004.1,54873989.84,70665626.15,125505769.7
..Capiz,64726247.84,67994875.88,64322077.91,70634981.44,81879615.23
..Guimaras,13661104.72,14695631.75,14427880.16,16227521.29,18738223
..Iloilo,185176723.8,193353862,186386303.1,196920411.9,228718249.6
..Negros Occidental,221569182.5,232715011.6,225179831,250377444.9,287666425.3
..City of Bacolod,126886672.2,137515561.6,123296432.7,134423056.3,154928127.1
..City of Iloilo,133428957.8,145184009,130296449.3,142029717.8,164510349.4
Region VII (Central Visayas),1180945761,1270612311,1170115820,1237764942,1406272534
..Bohol,154623326.4,165801636.7,156576251.5,165659983.4,189706966.9
..Cebu,364930283.1,389363873.2,364054916.4,385435920.5,430773207.7
..Negros Oriental,146231563,159051638.4,152643083.3,163041410.5,186828133.4
..Siquijor,10738276.73,11635839.41,11249203.44,12043232.41,13626490.34
..City of Cebu,258239870.4,280426506.5,255278377.3,271890896.7,305431193.6
..City of Lapu-Lapu,147788795.4,155258176.2,133980959.3,137712195.1,163828732.2
..City of Mandaue,98393645.88,109074640.4,96333029.26,101981303.8,116077809.8
Region VIII (Eastern Visayas),444384028.8,455533642.6,414265871.1,450146977.4,512903347
..Biliran,16613866.18,17043850.06,15389194.87,16455983.22,18460193.05
..Eastern Samar,31390805.89,32413902.46,30544079.37,33966511.01,38705710.45
..Leyte,214924596.8,212685153.1,187515965,205956580.8,233649051.7
..Northern Samar,40120098.16,41554064.5,41759321.87,43626382.85,49256444.89
..Samar,52216759.73,55066887.22,53524668.31,57927172.36,65641228.89
..Southern Leyte,40301485.06,42373053.97,40776854.89,43911045.8,48744856.6
..City of Tacloban,48816416.92,54396731.27,44755786.77,48303301.42,58445861.47
Region IX (Zamboanga Peninsula),379428020.3,399109396.7,394821669.4,428106861.4,490297995.9
..Zamboanga del Norte,104783326.1,106871428.4,109441263.3,116781398.6,134037707.1
..Zamboanga del Sur,87572942.59,93280411.96,89716603.43,100479064.3,113971360.6
..Zamboanga Sibugay,51493102.11,54909658.24,53335554.14,59454144.31,69274400.2
..City of Isabela,10532512.93,11479967.24,11542336.67,11640953.93,13116486.12
..City of Zamboanga,125046136.6,132567930.8,130785911.8,139751300.1,159898041.9
Region X (Northern Mindanao),821122014.5,885223985.4,860415356.7,948892065.1,1070688541
..Bukidnon,213689371.2,229061817.1,237981949.1,269422084.7,298207301
..Camiguin,10340735.66,11362519.57,10387391.59,11363189.21,13001912.04
..Lanao del Norte,57145176.26,60842189.47,58661983.44,63799482.47,69132731.87
..Misamis Occidental,107999593.8,116325789,111556378.2,119809392.8,134728418.9
..Misamis Oriental,145811439.9,158308309,145264836.7,154834386.7,178801407.4
..City of Cagayan de Oro,220999686.4,242304134.2,225479421.1,252633841.5,289764243
..City of Iligan,65136011.32,67019227.12,71083396.65,77029687.74,87052526.59
Region XI (Davao Region),841429225,922613762.6,890607548.5,967140486.6,1095713673
..Davao de Oro,82724623.32,88116698.2,93079565.43,99411859.54,110744522.6
..Davao del Norte,151081411.8,163041488,168286197.2,184067581.1,201236374.5
..Davao del Sur,96830163.12,104234355.8,99592061.29,108534921.9,122787994.4
..Davao Occidental,32814729.78,34722309.23,35566998.11,38740714.47,43455568.79
..Davao Oriental,46185091.97,49496466.21,49605268.98,54379595.51,63376774.64
..City of Davao,431793205,483002445.2,444477457.5,482005814.1,554112438.5
Region XII (SOCCSKSARGEN),454304548.7,474892618,467334770.6,503888631,564216855.3
..Cotabato,110818949.7,114487670,117031602.9,124478419.7,135221539.4
..Sarangani,40442041.49,43985663.02,45122204.85,48529012.82,55521465.46
..South Cotabato,123079814.2,129852216.9,125523476,136789404.3,153329506.1
..Sultan Kudarat,64193176.85,64101542.71,64626492.05,70574615.09,78868400.7
..City of General Santos,115770566.4,122465525.4,115030994.8,123517179.1,141275943.7
Region XIII (Caraga),290561794.2,302930146.4,292574562,331856215.3,376765343.6
..Agusan del Norte,34787798.49,35999535.2,36770858.5,40760737.93,46481272.05
..Agusan del Sur,64697983.23,66922317.17,68201655.05,73754123.2,84270855.22
..Dinagat Islands,11794446.05,12021200.21,9937118.93,12306292.88,13740883.58
..Surigao del Norte,73329360.88,78219550.26,71635079.73,82977029.65,91720968.74
..Surigao del Sur,56755948.25,57931033.11,57919049.28,68264151.11,78232130.47
..City of Butuan,49196257.3,51836510.42,48110800.51,53793880.53,62319233.49
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),235393060.3,254779370.3,260347879,284617149.3,326771476.7
..Basilan,19044439.48,20908358.92,22374389.39,23046664.55,27037596.14
..Lanao del Sur,58534843.07,64601352.59,67912264.68,74140452.84,83867635.96
..Maguindanao del Norte,65485521.98,70894223.58,69913942.32,77095546.77,89142509.79
..Maguindanao del Sur,31143253.71,32829990.95,33027389.29,37920412.95,44253980.63
..Sulu,38817318.24,41318673.72,43358870.45,46079625.9,52108471.18
..Tawi-Tawi,22367683.82,24226770.55,23761022.87,26334446.28,30361282.97
