"Type of Valuation","Subsector","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006","2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017","2017-2018","2018-2019","2019-2020","2020-2021","2021-2022"
"Current Prices","CROPS",1.3,6.2,2.8,14.4,0.9,23.8,19.5,25.1,10.8,-17.9,24.9,7.2,6.6,9.0,-10.2,0.4,3.8,12.3,-10.1,-4.9,12.8,0.3
"Current Prices","..Palay",14.5,2.7,5.4,20.9,11.5,11.6,15.3,34.5,3.4,-11.4,14.1,14.4,4.6,20.1,-24.1,-6.7,20.8,-1.1,-13.4,-7.2,3.0,-9.8
"Current Prices","..Corn",28.3,-7.8,-12.0,59.8,14.3,40.4,26.9,18.0,-6.6,-10.1,44.3,9.3,4.3,6.7,-5.5,-20.6,10.0,14.9,0.4,-4.7,16.2,2.2
"Current Prices","..Potato",22.9,-23.1,15.1,37.6,-32.2,53.9,84.0,27.1,23.5,-10.8,-4.0,2.9,24.7,-12.3,-27.4,84.3,-20.9,6.2,1.2,12.4,-22.0,25.6
"Current Prices","..Cabbage",-33.2,60.7,7.6,-2.2,10.6,47.2,-0.9,17.3,31.1,-49.2,125.1,-13.2,4.1,5.9,30.4,-10.1,-8.9,60.2,-35.1,-2.2,75.4,-40.7
"Current Prices","..Carrots",-32.5,-2.6,66.6,-12.2,3.5,10.3,75.0,35.5,32.4,-49.6,76.4,-7.7,-8.9,33.3,-0.3,-8.1,30.1,-2.8,-20.1,-17.8,57.7,8.4
"Current Prices","..Chinese Cabbage",-30.1,48.0,9.4,-1.6,12.6,2.8,3.9,35.4,41.4,-41.8,54.1,0.6,36.0,-1.0,5.7,-14.5,-11.3,95.0,-29.3,-12.9,29.8,-9.0
"Current Prices","..Chayote",-13.6,12.0,41.9,49.3,-26.5,116.7,-36.9,23.0,38.0,7.8,-7.6,31.6,-30.3,9.6,44.3,4.8,-37.5,157.5,-22.1,0.5,50.9,-18.4
"Current Prices","..Bell Pepper",-30.8,-9.8,34.4,-13.4,-9.1,37.5,-7.1,4.0,40.0,-28.0,53.1,-5.5,19.8,-19.7,20.4,-7.1,-12.3,51.5,-1.9,-5.2,32.2,72.8
"Current Prices","..Sweet Peas",-10.3,-31.3,9.8,0.2,11.1,3.2,9.9,12.6,-5.4,-10.1,20.1,4.6,27.7,-18.7,-0.1,21.9,10.6,-19.6,16.0,-6.8,24.1,15.2
"Current Prices","..Banana",19.7,-6.3,-15.0,20.8,-3.4,19.1,4.9,18.8,6.1,3.5,6.7,21.5,14.8,17.3,-3.4,-2.3,-7.2,-4.8,25.9,1.6,-4.5,-1.7
"Current Prices","..Coffee",-5.4,-21.8,26.1,-9.4,-0.9,25.5,52.9,-2.3,-1.3,-4.1,15.9,2.3,-0.1,-0.4,8.1,-30.7,-36.0,32.2,-21.4,23.5,4.8,12.5
"Current Prices","..Sweet Potato",27.9,4.0,12.2,-5.3,-2.7,-1.8,-19.4,18.7,9.6,3.6,26.1,0.1,1.7,7.4,6.1,-1.4,5.1,-13.7,-5.0,2.0,-26.6,-6.8
"Current Prices","..Cauliflower",-56.6,52.0,4.7,-35.2,-22.1,87.2,-18.5,19.0,21.2,-27.6,43.9,31.7,-11.7,9.3,21.1,-4.3,-11.9,55.9,-13.6,-38.5,-11.9,0.1
"Current Prices","..Habitchuelas",-1.7,-20.5,19.9,7.1,-14.1,34.3,15.8,3.6,13.0,-20.9,16.1,6.3,1.4,-0.4,16.1,-0.7,-8.9,29.0,-15.3,8.6,17.8,20.8
"Current Prices","..Cassava",7.7,32.0,25.0,15.0,-30.6,70.8,-34.3,-18.7,10.1,2.7,-3.7,31.7,430.7,3.9,15.2,38.0,-21.6,14.7,-12.8,2.6,-47.1,2.9
"Current Prices","..Celery",-3.7,1.3,-8.7,12.4,-28.7,54.3,-30.5,27.1,3.8,-50.8,-3.2,70.6,-47.0,40.6,34.7,-16.4,17.2,44.2,-5.4,-29.9,62.4,-12.1
"Current Prices","..Mango",-37.2,16.6,-11.2,31.6,-12.5,23.8,-0.3,22.4,-5.6,8.5,-4.7,-12.9,4.5,-3.3,-4.4,13.7,-5.9,37.6,-9.9,-35.5,94.9,-20.0
"Current Prices","..Tobacco",13.1,5.8,-25.4,32.0,49.5,-8.7,7.4,8.7,22.5,-0.1,-9.1,13.5,-9.3,29.4,-4.9,37.0,-14.8,15.5,24.7,1.3,-23.7,11.9
"Current Prices","..Tomato",-6.3,-9.5,22.7,19.6,17.8,-14.5,-0.9,31.0,20.3,-30.6,121.6,7.1,-25.6,-17.7,3.9,-2.2,-19.9,14.2,-16.3,8.7,-18.8,32.9
"Current Prices","..Broccoli",5.0,18.2,-9.5,46.0,-65.0,154.3,19.8,-12.5,13.7,-14.6,-13.8,60.6,7.5,-16.9,52.1,-8.5,-12.1,39.2,29.7,-28.6,31.0,28.3
"Current Prices","..Strawberry",5.0,3.9,-46.2,1.9,1.9,-2.2,-12.8,40.2,2.6,-4.1,1.1,4.9,14.2,18.6,5.8,-5.7,21.8,-16.9,92.2,-40.6,59.9,153.5
"Current Prices","..Roses",-18.2,-16.9,-19.5,-15.7,-16.1,-12.7,-15.7,-6.0,108.1,-31.0,101.2,52.2,-12.3,6.5,-5.7,-17.6,11.3,38.3,46.2,-48.2,32.6,114.0
"Current Prices","..Other Crops",7.7,94.2,-25.9,-4.3,-17.9,32.5,1.3,4.3,4.6,-8.3,13.2,7.0,-1.6,1.8,7.1,-1.2,-4.5,14.2,3.0,-2.4,6.9,5.0
"Current Prices","LIVESTOCK",8.2,8.3,0.5,29.8,-1.9,-0.2,11.9,8.2,-3.5,-9.6,-9.0,-4.8,7.7,-0.1,-5.0,-5.5,4.0,10.4,-3.1,1.3,27.0,-1.0
"Current Prices","..Hog",4.5,7.3,3.6,33.1,-0.7,-0.1,12.7,10.4,-3.8,-10.9,-10.4,-5.9,8.3,-0.1,-6.5,-7.9,5.5,13.0,-4.4,3.6,26.0,-3.9
"Current Prices","..Cattle",6.9,17.4,2.1,13.6,-13.1,0.6,10.2,-3.3,-5.5,-5.5,-1.3,-2.9,5.7,0.8,-1.9,1.9,-1.7,2.5,0.5,-11.1,32.3,2.3
