"Type of Valuation","Subsector","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006","2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017","2017-2018","2018-2019","2019-2020","2020-2021","2021-2022"
"Current Prices","CROPS",1.6,12.4,6.8,17.4,-1.4,14.5,13.9,15.5,-4.2,3.2,22.5,-5.2,1.6,13.8,0.5,-5.3,13.6,4.3,-17.5,7.9,10.0,-0.4
"Current Prices","..Palay",13.8,0.7,-5.1,31.4,0.5,12.9,13.8,47.1,-2.6,-3.2,17.3,8.4,5.8,12.4,-5.1,-31.4,39.3,9.2,-34.3,13.1,3.3,-11.0
"Current Prices","..Corn",3.0,16.0,16.2,15.2,3.8,-0.4,13.8,18.5,18.1,-16.1,12.0,-2.2,-1.3,4.3,-15.2,-7.9,-2.2,4.6,-32.9,15.9,-10.7,9.0
"Current Prices","..Mango",3.9,24.5,11.5,13.1,4.2,-8.2,45.8,0.0,3.4,9.2,-5.2,-9.8,15.0,14.8,21.7,4.0,24.7,5.0,-6.7,4.7,15.0,-14.1
"Current Prices","..Sugarcane",18.3,9.3,9.1,-1.4,-3.1,64.9,9.1,-2.8,-33.9,12.6,67.3,-22.9,-2.2,15.7,-4.2,3.9,10.0,0.1,-12.3,5.0,17.6,37.3
"Current Prices","..Coconut",-62.1,122.6,1.6,76.3,-25.1,10.9,24.3,39.0,-10.5,31.1,59.0,-11.9,-14.8,19.0,-8.1,0.2,32.0,-3.2,-34.9,-2.2,31.0,-19.1
"Current Prices","..Banana",2.8,10.9,7.3,-2.0,0.7,16.3,7.8,15.3,13.4,2.6,8.2,12.2,14.1,17.0,23.3,14.7,-10.9,6.6,-1.3,27.3,1.2,-17.4
"Current Prices","..Sweet Potato",-1.2,19.1,4.9,-0.9,-4.6,4.9,5.8,4.2,-0.3,0.0,-14.4,-11.0,-7.5,11.2,7.6,20.9,-4.6,16.8,-6.1,-3.3,27.6,13.1
"Current Prices","..Cassava",-2.0,-8.1,36.9,41.7,7.9,10.6,12.5,12.7,31.0,12.2,16.8,17.5,-13.1,5.1,9.7,38.4,-33.5,-22.9,-16.3,4.6,15.9,-9.8
"Current Prices","..Eggplant",16.5,-4.4,4.0,24.5,-6.9,15.0,-3.6,66.3,2.8,-3.9,4.2,-6.5,26.7,12.1,10.7,5.7,19.8,3.5,2.6,0.5,19.8,2.3
"Current Prices","..Cabbage",-34.1,6.2,11.6,40.2,-1.5,-11.3,11.6,16.6,15.7,20.0,17.6,-15.1,5.2,25.0,36.2,2.5,-5.3,-3.7,-5.0,-15.4,43.6,-6.2
"Current Prices","..Ampalaya",13.6,-11.9,91.9,32.6,5.0,-5.5,4.8,24.9,-0.5,0.0,-10.4,-14.6,34.3,8.7,15.2,2.1,0.1,13.3,-3.3,-9.4,13.8,3.1
"Current Prices","..Tomato",10.6,-32.9,45.5,-14.6,8.8,-13.6,-2.8,3.9,6.9,-5.1,8.5,-6.1,71.2,9.9,10.2,-2.8,9.8,5.6,1.1,16.6,5.4,4.4
"Current Prices","..Carrots",17.6,-21.7,12.2,49.6,-22.0,12.2,-3.9,12.0,-4.5,33.5,-7.3,-11.1,9.6,-3.1,4.1,0.6,-3.3,-2.0,-5.1,-6.6,12.3,13.9
"Current Prices","..Squash",9.2,-15.8,152.2,13.8,0.1,13.5,-9.9,1.4,11.2,-4.3,-5.5,-8.4,0.3,4.1,-11.5,-21.4,1.8,24.0,-10.3,0.7,33.3,-9.8
"Current Prices","..Ubi",-8.0,-25.5,59.1,24.6,28.6,29.5,19.2,-65.5,18.2,24.7,-17.7,5.0,-47.5,28.6,9.4,-15.0,9.9,-4.6,9.7,21.3,-27.7,-4.9
"Current Prices","..Pechay, Chinese",18.2,-21.8,9.6,37.3,284.2,-13.6,7.2,18.9,-9.9,44.2,-12.0,9.6,19.8,23.5,23.8,10.3,-14.6,7.2,8.7,-25.2,4.2,-10.1
"Current Prices","..Papaya",-5.2,-9.5,3.4,24.4,1.4,-22.4,-6.0,-14.3,23.9,4.9,12.7,-10.8,-3.8,28.9,-5.7,-27.5,31.1,29.6,19.3,-15.1,21.3,-19.8
"Current Prices","..Stringbeans",-9.7,22.6,287.5,-33.4,1.1,7.8,24.4,14.5,25.3,-5.2,-6.0,9.4,18.8,8.3,4.3,-1.4,16.6,2.6,0.2,-8.4,39.4,3.9
"Current Prices","..Mongo",6.3,1.3,-14.2,-3.4,11.6,-0.8,-1.8,18.6,-5.7,30.7,-1.4,-10.2,-0.1,5.2,1.9,-9.4,2.5,-15.9,5.1,-8.7,35.5,-31.7
"Current Prices","..Cacao",-10.6,63.2,47.0,-12.0,-3.9,1.5,-2.7,-6.5,-13.6,13.9,23.3,-15.2,-8.9,31.9,21.1,45.3,16.0,18.2,5.6,14.8,-14.3,-40.9
"Current Prices","..Okra",-58.6,77.9,12.7,-6.5,21.4,15.0,-11.7,68.4,9.6,-5.8,-34.8,10.8,20.5,17.6,13.3,-6.8,19.8,14.3,-5.7,-2.9,16.6,5.0
"Current Prices","..Coffee",-37.5,-1.4,19.8,-0.4,-6.6,-34.3,6.4,9.0,-25.9,-14.8,34.8,-0.5,-1.4,2.2,-3.6,-6.5,23.7,-7.8,0.5,-31.6,-19.9,-32.9
"Current Prices","..Other Crops",6.3,10.4,-8.4,21.9,-1.2,-7.2,-0.9,21.6,-3.8,0.4,13.7,-3.4,5.8,19.5,-0.9,-6.1,3.0,10.4,6.6,-0.4,2.4,16.9
"Current Prices","LIVESTOCK",14.5,2.0,0.2,28.7,7.6,0.3,1.6,4.5,9.2,12.4,3.9,4.6,3.8,7.5,4.2,3.3,18.7,13.1,-3.7,-5.9,33.4,28.5
"Current Prices","..Hog",14.9,2.3,0.8,33.8,6.0,2.9,2.7,4.3,10.1,12.7,3.3,4.3,4.5,8.4,4.5,2.9,19.8,13.1,-5.2,-4.3,36.0,27.3
"Current Prices","..Cattle",11.7,-1.4,-1.2,15.0,13.2,-11.4,-4.5,4.0,4.2,7.5,7.1,5.9,-2.1,2.7,1.0,5.1,8.9,11.0,-0.4,-14.7,5.9,52.5
"Current Prices","..Carabao",7.8,11.8,-9.3,18.4,17.7,-0.5,2.8,16.5,7.8,12.9,3.8,-0.7,6.8,2.6,6.1,10.8,16.0,17.9,5.7,-36.8,59.4,54.4
"Current Prices","..Goat",19.5,3.7,-1.0,-4.4,17.9,-11.3,-3.8,4.7,4.6,17.5,9.9,9.0,3.1,3.2,4.9,4.0,17.7,16.0,13.8,-2.6,22.9,9.8
"Current Prices","POULTRY",24.9,15.4,6.4,28.1,5.0,-10.0,-7.4,5.6,12.5,7.3,31.5,7.7,-21.6,6.3,5.0,7.8,11.3,11.0,-3.4,-1.2,17.7,19.0
"Current Prices","..Chicken",30.0,17.3,4.8,27.9,5.0,-16.7,-16.4,10.4,12.1,6.0,45.4,7.0,-26.9,15.4,0.6,5.1,6.3,14.8,-2.3,-8.8,11.8,21.8
