"Fruits: Supply Utilization Accounts"

"Commodity","Year","SU Production","SU Imports","SU Gross Supply","UT Exports","UT Seeds","UT Feeds and Waste","UT Processing","UT Total Net Food Disposable","UT Per Capita (kg/yr)","UT Per Capita (gm/day)"
"Atis","1990",9042.00,0.00,9042.00,0.00,0.00,542.52,0.00,8499.48,0.14,0.38
"Atis","1991",9283.00,0.00,9283.00,0.00,0.00,556.98,0.00,8726.02,0.14,0.38
"Atis","1992",9367.00,0.00,9367.00,0.00,0.00,562.02,0.00,8804.98,0.14,0.38
"Atis","1993",10022.00,0.00,10022.00,0.00,0.00,601.32,0.00,9420.68,0.14,0.39
"Atis","1994",10073.00,0.00,10073.00,0.00,0.00,604.38,0.00,9468.62,0.14,0.38
"Atis","1995",9987.00,0.00,9987.00,0.00,0.00,599.22,0.00,9387.78,0.14,0.38
"Atis","1996",9923.00,0.00,9923.00,0.00,0.00,595.38,0.00,9327.62,0.13,0.37
"Atis","1997",10216.00,0.00,10216.00,0.00,0.00,612.96,0.00,9603.04,0.13,0.37
"Atis","1998",7547.00,0.00,7547.00,0.00,0.00,452.82,0.00,7094.18,0.10,0.27
"Atis","1999",5192.00,0.00,5192.00,0.00,0.00,311.52,0.00,4880.48,0.07,0.18
"Atis","2000",5340.00,0.00,5340.00,0.00,0.00,320.40,0.00,5019.60,0.07,0.18
"Atis","2001",5341.00,0.00,5341.00,0.00,0.00,320.46,0.00,5020.54,0.06,0.18
"Atis","2002",5328.00,0.00,5328.00,0.00,0.00,319.68,0.00,5008.32,0.06,0.17
"Atis","2003",5363.00,0.00,5363.00,0.00,0.00,321.78,0.00,5041.22,0.06,0.17
"Atis","2004",4716.00,0.00,4716.00,0.00,0.00,282.96,0.00,4433.04,0.05,0.15
"Atis","2005",4563.00,0.00,4563.00,0.00,0.00,273.78,0.00,4289.22,0.05,0.14
"Atis","2006",4302.00,0.00,4302.00,0.00,0.00,258.12,0.00,4043.88,0.05,0.13
"Atis","2007",4218.00,0.00,4218.00,0.00,0.00,253.08,0.00,3964.92,0.04,0.12
"Atis","2008",3631.00,0.00,3631.00,0.00,0.00,217.86,0.00,3413.14,0.04,0.10
"Atis","2009",3068.00,0.00,3068.00,0.00,0.00,184.08,0.00,2883.92,0.03,0.09
"Atis","2010",2960.00,0.00,2960.00,0.00,0.00,177.60,0.00,2782.40,0.03,0.08
"Atis","2011",2843.00,0.00,2843.00,0.00,0.00,170.58,0.00,2672.42,0.03,0.08
"Atis","2012",2781.00,0.00,2781.00,0.00,0.00,166.86,0.00,2614.14,0.03,0.07
"Atis","2013",2761.00,0.00,2761.00,0.00,0.00,165.66,0.00,2595.34,0.03,0.07
