"Vegetables: Supply Utilization Accounts"

"Commodity","Year","SU Production","SU Imports","SU Gross Supply","UT Exports","UT Seeds","UT Feeds and Waste","UT Processing","UT Total Net Food Disposable","UT Per Capita kg/yr","UT Per Capita gm/day"
"Ampalaya","1990",32491.00,0.00,32491.00,0.00,14.72,2599.28,0.00,29877.00,0.49,1.33
"Ampalaya","1991",29337.00,0.00,29337.00,0.00,13.53,2346.96,0.00,26976.51,0.43,1.18
"Ampalaya","1992",27809.00,0.00,27809.00,0.00,12.94,2224.72,0.00,25571.34,0.40,1.09
"Ampalaya","1993",30451.00,0.00,30451.00,0.00,13.35,2436.08,0.00,28001.57,0.43,1.17
"Ampalaya","1994",31891.00,0.00,31891.00,0.00,13.14,2551.28,0.00,29326.58,0.43,1.17
"Ampalaya","1995",36198.00,0.00,36198.00,0.00,15.27,2895.84,0.00,33286.89,0.49,1.33
"Ampalaya","1996",39754.00,0.00,39754.00,0.00,16.96,3180.32,0.00,36556.72,0.52,1.43
"Ampalaya","1997",42201.00,0.00,42201.00,0.00,17.88,3376.08,0.00,38807.04,0.54,1.49
"Ampalaya","1998",35367.00,0.00,35367.00,0.00,15.55,2829.36,0.00,32522.09,0.44,1.22
"Ampalaya","1999",43489.00,0.00,43489.00,0.00,17.61,3479.12,0.00,39992.27,0.54,1.47
"Ampalaya","2000",44366.00,0.00,44366.00,0.00,17.47,3549.28,0.00,40799.25,0.53,1.46
"Ampalaya","2001",47124.00,0.00,47124.00,0.00,18.24,3769.92,0.00,43335.84,0.56,1.52
"Ampalaya","2002",74512.00,0.00,74512.00,0.00,23.45,5960.96,0.00,68527.59,0.86,2.36
"Ampalaya","2003",74256.00,0.00,74256.00,0.00,23.37,5940.48,0.00,68292.15,0.84,2.31
"Ampalaya","2004",78640.00,0.00,78640.00,0.00,24.39,6291.20,0.00,72324.41,0.87,2.40
"Ampalaya","2005",79794.00,0.00,79794.00,0.00,24.60,6383.52,0.00,73385.88,0.86,2.36
"Ampalaya","2006",77894.00,0.00,77894.00,0.00,23.43,6231.52,0.00,71639.05,0.82,2.26
"Ampalaya","2007",83144.00,0.00,83144.00,0.00,24.12,6651.52,0.00,76468.36,0.86,2.37
"Ampalaya","2008",85385.00,0.00,85385.00,0.00,24.38,6830.80,0.00,78529.82,0.87,2.38
"Ampalaya","2009",86498.00,0.00,86498.00,0.00,24.28,6919.84,0.00,79553.88,0.87,2.39
"Ampalaya","2010",88437.00,0.00,88437.00,0.00,24.48,7074.96,0.00,81337.56,0.87,2.39
"Ampalaya","2011",86599.00,0.00,86599.00,0.00,23.93,6927.92,0.00,79647.15,0.84,2.30
"Ampalaya","2012",87090.00,0.00,87090.00,0.00,23.97,6967.20,0.00,80098.83,0.83,2.27
"Ampalaya","2013",89887.00,0.00,89887.00,0.00,23.83,7190.96,0.00,82672.21,0.84,2.31
"Ampalaya","2014",90111.00,0.00,90111.00,0.00,23.50,7208.88,0.00,82878.62,0.83,2.27
"Ampalaya","2015",89918.00,0.00,89918.00,0.00,23.39,7193.44,0.00,82701.17,0.81,2.23
"Ampalaya","2016",87459.85,0.00,87459.85,0.00,23.16,6996.79,0.00,80439.90,0.78,2.13
"Ampalaya","2017",89459.66,0.00,89459.66,0.00,23.44,7156.77,0.00,82279.44,0.79,2.16
"Ampalaya","2018",87395.17,0.00,87395.17,0.00,23.49,6991.61,0.00,80380.06,0.76,2.08
"Ampalaya","2019",89341.04,0.00,89341.04,0.00,23.49,7147.28,0.00,82170.27,0.77,2.10
"Ampalaya","2020",87804.27,0.00,87804.27,0.00,23.51,7024.34,0.00,80756.42,0.74,2.03
"Ampalaya","2021",88215.45,0.00,88215.45,1.47,23.44,7057.12,0.00,81133.42,0.74,2.02
"Ampalaya","2022",88675.20,0.00,88675.20,3.21,23.48,7093.76,0.00,81554.75,0.73,2.00
"Asparagus","1990",1908.00,0.00,1908.00,205.00,0.00,136.24,0.00,1566.76,0.03,0.07
"Asparagus","1991",2351.00,1.00,2352.00,933.00,0.00,113.52,0.00,1305.48,0.02,0.06
"Asparagus","1992",4269.00,4.00,4273.00,1874.00,0.00,191.92,0.00,2207.08,0.03,0.09
"Asparagus","1993",5875.00,6.00,5881.00,3257.00,0.00,209.92,0.00,2414.08,0.04,0.10
"Asparagus","1994",9821.00,45.00,9866.00,3883.00,0.00,478.64,0.00,5504.36,0.08,0.22
"Asparagus","1995",10842.00,3.00,10845.00,4919.00,0.00,474.08,0.00,5451.92,0.08,0.22
"Asparagus","1996",11761.00,0.00,11761.00,5660.00,0.00,488.08,0.00,5612.92,0.08,0.22
