"Geolocation","Commodity","2013 January","2013 February","2013 March","2013 April","2013 May","2013 June","2013 July","2013 August","2013 September","2013 October","2013 November","2013 December","2013 Annual"
"PHILIPPINES","Alumahan [Indian mackerel]",109.52,107.60,95.43,93.54,93.76,93.08,95.58,98.52,96.67,101.96,106.73,106.84,102.05
"PHILIPPINES","Bangus [Milkfish]",109.05,109.19,107.41,105.10,101.88,98.53,93.70,94.67,96.39,100.07,105.13,106.16,102.15
"PHILIPPINES","Bisugo [Threadfin bream]",131.61,128.57,124.84,118.09,120.62,118.04,118.73,119.19,135.95,124.22,127.41,120.50,124.50
"PHILIPPINES","Crab, Alimasag [Blue crab]",168.53,162.86,155.67,150.91,138.83,147.11,141.44,124.39,129.59,138.60,150.42,153.70,148.90
"PHILIPPINES","Dalagang-Bukid, bilog [Caesio]",92.64,98.46,90.13,86.38,91.97,90.10,87.39,96.43,86.84,94.44,101.21,95.49,92.51
"PHILIPPINES","Dalagang-Bukid, lapad [Caesio]",124.74,124.24,123.65,116.84,115.10,116.91,118.22,117.78,118.66,122.97,129.79,127.26,121.21
"PHILIPPINES","Dilis [Anchovies]",67.33,61.34,53.67,54.25,55.82,54.87,52.70,50.89,52.45,54.05,59.90,60.37,56.20
"PHILIPPINES","Espada [Hairtail]",82.89,84.00,82.00,87.86,98.00,101.00,106.67,100.00,100.00,90.00,100.00,101.00,94.45
"PHILIPPINES","Galunggong [Roundscad]",91.21,86.88,78.10,75.94,75.31,77.94,78.47,82.71,82.18,86.49,92.05,93.31,82.80
"PHILIPPINES","Hasa-hasa [Indo-Pacific mackerel]",110.95,116.17,107.16,97.96,98.02,94.05,93.06,91.29,91.28,99.63,101.43,92.76,101.41
"PHILIPPINES","Kalaso [Lizard fish]",66.25,60.83,58.89,61.43,..,55.83,..,56.36,60.00,..,58.89,..,59.81
"PHILIPPINES","Lapu-lapu [Grouper]",246.99,241.02,239.46,227.13,219.67,222.51,233.05,218.62,213.27,223.87,227.71,228.53,228.48
"PHILIPPINES","Lapu-lapu [Grouper], other than red species",..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","Matang-baka [Big-eyed scad]",105.76,105.16,102.53,97.76,95.39,94.25,95.05,94.53,96.88,103.64,104.65,102.45,99.69
