"Gross National Income and Gross Domestic Product, by Expenditure Shares, Implicit Price Index"

"Type of Expenditure","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"....Household Final Consumption Expenditure",49.5,52.7,54.4,56.2,60.0,64.2,67.5,69.8,76.2,77.4,80.3,84.4,86.7,88.6,90.8,91.6,92.9,95.4,100.0,101.9,104.4,108.6,114.8,121.0
"....Government Final Consumption Expenditure",49.4,52.9,56.7,57.1,58.0,60.8,61.3,64.1,68.1,71.2,75.8,80.2,84.1,87.5,90.4,91.4,93.5,96.6,100.0,101.4,103.3,106.4,110.9,115.3
"....Gross capital formation",51.2,55.8,61.1,63.5,71.6,74.5,79.4,81.1,84.1,85.7,86.3,97.0,94.6,91.8,94.2,89.5,92.7,95.0,100.0,100.4,92.7,101.3,118.0,116.2
"......Gross fixed capital formation",56.1,60.4,63.0,63.3,68.1,75.0,81.4,81.2,84.7,84.3,86.3,90.4,91.8,93.2,95.0,93.9,94.8,96.2,100.0,102.4,101.7,104.7,113.4,117.1
"........Construction",44.1,47.3,49.7,49.7,55.1,62.2,68.8,70.1,74.7,77.4,79.5,85.1,87.9,89.5,92.0,92.6,94.1,94.7,100.0,102.6,104.0,107.7,115.9,119.6
"........Durable equipment",94.4,104.2,104.6,104.4,108.8,108.4,115.4,111.6,110.8,104.2,104.9,102.6,102.5,103.8,107.3,101.1,98.7,100.4,100.0,101.9,94.2,95.6,108.1,112.1
"........Breeding Stocks and Orchard Development",45.7,47.6,50.5,52.2,55.1,63.9,71.1,73.6,79.9,78.0,78.0,83.1,82.5,83.5,77.1,77.9,81.8,88.7,100.0,103.6,108.2,113.5,115.6,118.3
"........Intellectual Property Products",123.5,139.0,141.4,145.4,147.4,147.9,137.1,150.8,154.0,154.1,161.0,157.8,158.2,146.2,139.2,119.8,111.1,105.7,100.0,98.7,98.8,99.9,104.4,106.9
"......Changes in Inventories",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"......Valuables",26.0,29.7,34.1,39.4,44.5,46.2,58.5,57.2,62.5,76.6,89.7,105.7,105.4,88.4,82.5,83.8,97.9,100.8,100.0,104.6,133.2,136.7,147.9,151.5
"....Exports of Goods and services",90.5,95.6,95.9,100.6,105.4,102.6,103.3,101.7,104.3,103.3,104.7,100.8,99.2,101.1,103.2,98.6,96.0,99.1,100.0,97.8,95.3,97.4,109.9,112.3
"......Exports of Goods",96.8,105.5,107.9,114.4,122.4,122.2,121.7,117.7,117.2,115.6,116.0,115.2,108.3,111.1,111.2,103.2,97.8,101.2,100.0,94.4,89.6,91.7,106.8,107.0
"......Exports of Services",62.2,65.3,64.8,65.7,67.3,70.2,73.6,76.2,81.4,84.6,87.7,81.0,84.3,87.1,91.8,92.8,93.9,96.6,100.0,102.0,103.8,106.8,114.2,118.4
"....Imports of goods and services",73.5,77.1,78.0,82.9,90.6,91.4,93.6,92.8,95.4,91.0,91.4,95.0,93.0,92.4,93.6,91.1,91.5,95.7,100.0,100.7,96.2,105.5,122.6,124.1
"......Imports of goods",75.6,78.6,79.3,83.6,90.9,91.1,94.3,93.9,97.7,90.4,92.2,95.5,93.3,91.3,92.0,89.3,89.9,94.7,100.0,100.5,95.2,106.3,127.2,128.9
"......Imports of Services",65.7,71.3,73.0,80.3,89.7,92.6,90.6,88.0,87.7,92.7,88.8,93.1,92.0,96.6,99.7,97.6,97.9,99.4,100.0,101.5,100.7,101.1,102.4,107.9
"..Gross Domestic Product",52.9,55.9,58.3,60.1,63.7,67.4,70.9,73.1,78.4,80.5,84.0,87.3,89.1,90.9,93.7,93.0,94.2,96.4,100.0,100.7,102.4,104.7,110.4,115.5
"..Net Primary Income from the Rest of the World",50.6,54.0,56.0,57.5,61.2,65.5,69.1,71.1,76.8,77.9,81.0,85.0,87.3,89.3,91.6,92.0,93.4,95.7,100.0,102.0,103.0,108.0,114.5,120.0
"Gross National Income",52.7,55.7,58.1,59.9,63.5,67.3,70.7,73.0,78.2,80.2,83.7,87.1,88.9,90.7,93.5,92.9,94.1,96.3,100.0,100.8,102.4,104.8,110.7,115.9
