"Gross National Income and Gross Domestic Product, by Industry, Implicit Price Index"

"Industry","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"....Agriculture, forestry, and fishing",48.4,48.4,51.1,51.8,59.2,61.5,64.3,68.3,78.8,82.4,86.2,92.2,90.6,91.4,96.7,90.8,92.4,96.7,100.0,96.5,102.7,110.1,118.0,126.6
"....Industry",57.9,62.1,64.5,66.2,69.6,74.1,78.2,80.8,85.0,86.5,90.5,93.2,94.5,94.5,97.2,94.6,94.3,95.9,100.0,100.5,99.7,101.0,108.8,111.9
"......Mining and quarrying",40.6,41.9,51.0,57.1,63.8,71.9,83.2,90.1,91.9,90.6,101.5,113.6,102.9,96.6,96.2,80.5,80.3,92.5,100.0,95.7,99.7,128.3,184.2,149.6
"......Manufacturing",59.4,63.1,65.3,67.2,70.4,74.3,78.5,81.5,87.1,88.6,93.0,95.8,97.2,97.0,99.4,96.7,96.5,97.3,100.0,99.8,97.0,96.3,101.8,104.4
"......Electricity, steam, water and waste management",59.1,67.7,68.9,67.3,69.8,77.6,81.3,82.2,80.6,84.1,90.3,91.7,97.9,98.0,99.4,96.6,93.2,96.6,100.0,102.8,103.7,105.7,115.3,123.3
"......Construction",53.4,56.8,61.0,62.8,67.1,70.9,73.6,74.7,78.0,79.1,79.8,79.7,82.4,85.0,89.5,89.8,90.6,92.0,100.0,101.9,105.2,109.1,116.6,121.6
"....Services",51.2,54.4,56.7,59.0,61.5,65.3,68.6,70.3,74.6,76.9,80.1,83.2,85.9,89.0,91.3,92.6,94.5,96.6,100.0,101.4,103.6,105.7,110.1,115.7
"......Wholesale and retail trade; repair of motor vehicles and motorcycles",45.8,47.9,49.7,51.5,54.3,58.6,62.6,64.6,70.9,72.8,77.4,81.4,83.7,87.3,89.9,90.9,93.3,95.7,100.0,100.8,101.3,102.6,107.5,113.6
"......Transportation and storage",50.0,57.6,59.5,62.0,68.7,77.1,79.8,81.6,84.4,86.2,90.6,93.1,95.0,95.2,94.8,95.9,96.0,98.3,100.0,102.1,107.0,110.5,118.8,127.3
"......Accommodation and food service activities",42.4,44.3,45.6,46.8,48.6,51.6,54.8,57.0,61.7,65.5,68.0,71.4,75.5,79.8,85.7,88.3,91.6,93.2,100.0,101.4,109.1,114.8,120.4,126.1
"......Information and communication",118.4,118.1,119.6,117.2,116.1,115.7,117.2,112.9,113.5,114.1,113.0,111.2,110.0,107.4,106.7,104.3,102.2,101.4,100.0,101.0,101.3,100.2,100.9,101.9
"......Financial and insurance activities",56.1,60.2,61.8,63.7,67.1,72.0,75.4,75.8,81.3,82.5,84.0,85.9,87.1,88.7,92.1,92.8,93.6,96.0,100.0,100.3,103.1,105.9,112.0,118.7
"......Real estate and ownership of dwellings",54.9,58.9,61.3,63.5,65.2,67.6,69.6,69.9,73.2,75.5,77.0,79.1,81.9,84.7,87.9,90.9,93.2,95.3,100.0,101.4,104.9,108.1,112.5,118.9
"......Professional and business services",41.5,44.2,49.0,54.5,56.2,61.4,66.0,69.3,73.6,76.9,79.7,83.0,86.5,89.8,93.0,95.9,98.1,99.4,100.0,103.2,106.4,107.6,108.9,112.4
"......Public administration and defense; compulsory social activities",55.9,58.4,59.0,59.1,59.6,61.2,65.4,66.2,68.3,72.3,78.0,82.4,87.5,89.7,88.1,88.6,92.1,96.4,100.0,102.2,104.3,107.0,111.6,116.0
"......Education",49.5,52.0,55.4,58.8,60.2,61.4,62.7,66.8,67.6,70.1,72.0,76.1,81.1,86.9,89.7,90.8,94.3,96.7,100.0,101.7,104.6,107.0,110.6,114.7
"......Human health and social work activities",38.6,40.6,41.4,42.5,43.8,45.9,49.1,52.4,56.7,60.7,65.4,69.1,73.6,82.9,85.8,89.6,92.9,93.5,100.0,102.0,106.0,109.8,113.0,117.8
"......Other services",52.4,54.8,57.7,62.3,64.5,67.8,70.4,73.4,76.9,80.8,84.3,87.2,90.8,96.0,97.6,97.7,97.3,98.8,100.0,102.7,105.1,106.5,107.9,113.6
"..Gross Domestic Product",52.9,55.9,58.3,60.1,63.7,67.4,70.9,73.1,78.4,80.5,84.0,87.3,89.1,90.9,93.7,93.0,94.2,96.4,100.0,100.7,102.4,104.7,110.4,115.5
"..Net primary income from the rest of the world",50.6,54.0,56.0,57.5,61.2,65.5,69.1,71.1,76.8,77.9,81.0,85.0,87.3,89.3,91.6,92.0,93.4,95.7,100.0,102.0,103.0,108.0,114.5,120.0
"Gross National Income",52.7,55.7,58.1,59.9,63.5,67.3,70.7,73.0,78.2,80.2,83.7,87.1,88.9,90.7,93.5,92.9,94.1,96.3,100.0,100.8,102.4,104.8,110.7,115.9
