"Gross National Income and Gross Domestic Product, by Industry, Percent Share to GDP and GNI"

"Industry","At Current Prices 2000","At Current Prices 2001","At Current Prices 2002","At Current Prices 2003","At Current Prices 2004","At Current Prices 2005","At Current Prices 2006","At Current Prices 2007","At Current Prices 2008","At Current Prices 2009","At Current Prices 2010","At Current Prices 2011","At Current Prices 2012","At Current Prices 2013","At Current Prices 2014","At Current Prices 2015","At Current Prices 2016","At Current Prices 2017","At Current Prices 2018","At Current Prices 2019","At Current Prices 2020","At Current Prices 2021","At Current Prices 2022","At Current Prices 2023","At Constant 2018 Prices 2000","At Constant 2018 Prices 2001","At Constant 2018 Prices 2002","At Constant 2018 Prices 2003","At Constant 2018 Prices 2004","At Constant 2018 Prices 2005","At Constant 2018 Prices 2006","At Constant 2018 Prices 2007","At Constant 2018 Prices 2008","At Constant 2018 Prices 2009","At Constant 2018 Prices 2010","At Constant 2018 Prices 2011","At Constant 2018 Prices 2012","At Constant 2018 Prices 2013","At Constant 2018 Prices 2014","At Constant 2018 Prices 2015","At Constant 2018 Prices 2016","At Constant 2018 Prices 2017","At Constant 2018 Prices 2018","At Constant 2018 Prices 2019","At Constant 2018 Prices 2020","At Constant 2018 Prices 2021","At Constant 2018 Prices 2022","At Constant 2018 Prices 2023"
"....Agriculture, forestry, and fishing",13.9,13.3,13.4,13.2,14.0,13.5,13.4,13.6,14.5,14.5,13.7,14.1,13.1,12.5,12.3,11.0,10.2,10.2,9.7,8.8,10.2,10.1,9.6,9.4,15.2,15.4,15.3,15.3,15.0,14.8,14.7,14.6,14.4,14.2,13.4,13.3,12.9,12.4,11.9,11.3,10.4,10.1,9.7,9.2,10.2,9.6,8.9,8.6
"....Industry",35.0,34.9,34.8,34.5,33.6,33.8,33.5,33.0,32.8,31.5,32.3,31.3,31.4,30.8,31.0,30.5,30.3,30.1,30.6,30.3,28.4,28.9,29.2,28.2,32.0,31.4,31.4,31.4,30.8,30.8,30.3,29.9,30.2,29.3,30.0,29.4,29.6,29.6,29.9,30.0,30.3,30.3,30.6,30.4,29.2,29.9,29.6,29.1
"......Mining and quarrying",0.6,0.6,1.0,1.1,1.0,1.2,1.2,1.4,1.2,1.3,1.4,1.5,1.2,1.0,1.1,0.9,0.8,0.9,0.9,0.8,0.8,1.0,1.3,1.0,0.8,0.8,1.1,1.2,1.0,1.1,1.0,1.1,1.0,1.2,1.2,1.1,1.0,1.0,1.1,1.0,1.0,0.9,0.9,0.9,0.8,0.8,0.8,0.7
"......Manufacturing",25.3,25.3,25.1,24.8,24.0,24.3,23.8,23.2,23.3,21.7,21.9,21.7,21.3,20.4,20.6,19.9,19.6,19.5,19.1,18.5,17.7,17.6,17.2,16.2,22.5,22.4,22.4,22.2,21.7,22.0,21.5,20.8,20.9,19.8,19.8,19.8,19.6,19.2,19.4,19.2,19.1,19.3,19.1,18.7,18.6,19.2,18.7,18.0
"......Electricity, steam, water and waste management",3.6,4.0,3.8,3.7,3.7,3.7,3.6,3.5,3.3,3.3,3.5,3.3,3.4,3.3,3.2,3.2,3.1,3.1,3.0,3.1,3.4,3.4,3.4,3.5,3.3,3.3,3.2,3.3,3.4,3.2,3.2,3.2,3.2,3.1,3.2,3.1,3.1,3.1,3.0,3.1,3.1,3.0,3.0,3.1,3.4,3.3,3.2,3.3
"......Construction",5.4,5.0,4.9,4.9,4.9,4.6,4.8,4.9,5.0,5.2,5.5,4.8,5.4,6.0,6.2,6.5,6.8,6.7,7.5,7.9,6.6,6.9,7.3,7.5,5.4,5.0,4.7,4.7,4.6,4.4,4.6,4.8,5.0,5.3,5.8,5.3,5.9,6.4,6.4,6.7,7.1,7.0,7.5,7.8,6.4,6.7,6.9,7.2
"....Services",51.1,51.8,51.8,52.3,52.4,52.7,53.2,53.4,52.7,53.9,53.9,54.6,55.5,56.8,56.7,58.5,59.5,59.7,59.8,60.9,61.4,61.0,61.2,62.4,52.8,53.2,53.2,53.3,54.2,54.4,55.0,55.6,55.4,56.4,56.6,57.3,57.5,58.0,58.2,58.8,59.3,59.6,59.8,60.4,60.7,60.5,61.4,62.3
"......Wholesale and retail trade; repair of motor vehicles and motorcycles",15.6,15.7,15.5,15.6,15.6,15.9,16.2,16.5,16.4,16.3,16.7,16.8,17.0,17.2,17.1,17.4,17.6,17.7,17.7,18.0,18.5,18.0,18.1,18.3,18.0,18.3,18.2,18.2,18.2,18.3,18.4,18.7,18.1,18.0,18.2,18.0,18.1,18.0,17.8,17.8,17.8,17.8,17.7,18.0,18.7,18.4,18.6,18.6
"......Transportation and storage",3.6,3.9,3.9,3.9,4.0,4.0,3.9,3.8,3.6,3.5,3.4,3.5,3.5,3.5,3.6,3.8,3.8,3.8,3.8,3.9,3.1,3.1,3.7,4.0,3.8,3.8,3.8,3.8,3.7,3.5,3.4,3.4,3.3,3.3,3.1,3.2,3.3,3.3,3.5,3.7,3.8,3.8,3.8,3.8,2.9,3.0,3.4,3.6
"......Accommodation and food service activities",1.6,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.7,1.7,1.8,1.9,2.0,2.1,2.2,2.2,1.4,1.5,1.8,2.1,2.0,2.1,2.0,2.0,2.0,2.0,1.9,2.0,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.0,2.1,2.2,2.2,2.2,1.3,1.3,1.7,1.9
