"Type of Valuation","Subsector","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Current Prices","CROPS",27265,27658,28484,29596,33652,38386,42112,44287,52525,46682,48732,51715,56710,58833,67126,60644,62230,66387,72261,65489,69502,73141,77395
"Current Prices","..Palay",10919,10763,11221,12092,12965,15419,18256,19133,25628,21127,24030,26462,30010,31904,39419,31753,32390,35689,37270,31995,33976,35346,37440
"Current Prices","..Corn",1333,1504,1312,1348,2308,2418,3504,3782,4177,4533,4371,4807,6041,6189,6256,6589,6907,7193,8470,8702,7723,8605,11552
"Current Prices","..Mango",7465,8127,8397,8386,9867,10218,9986,11140,10842,9111,8755,7198,8342,7155,7596,7565,7968,8247,8887,7586,8538,9237,7179
"Current Prices","..Eggplant",714,868,776,748,1027,901,1250,1178,1306,1417,948,1780,1370,1342,1420,1723,1868,1913,2739,2166,2104,2606,2898
"Current Prices","..Tobacco",1486,1444,1820,1722,1716,1778,1345,1401,1383,1589,1745,1983,2186,2449,2683,2382,2415,2420,2488,2502,2463,2403,2207
"Current Prices","..Tomato",602,507,383,579,914,1284,1000,988,1165,1401,1318,1371,1204,1483,1033,1594,1356,1502,1853,1866,2280,2155,2102
"Current Prices","..Onion",588,620,539,658,625,1214,1028,891,1804,1186,1265,1390,930,1385,984,787,1018,1400,1366,1130,1670,1513,2179
"Current Prices","..Banana",259,318,302,261,344,376,464,537,595,579,574,606,675,706,773,772,779,798,787,944,1099,1083,1130
"Current Prices","..Mongo",300,281,278,224,301,377,429,470,475,493,556,556,542,550,592,633,609,651,747,767,767,792,790
"Current Prices","..Peanut",228,212,240,205,243,286,297,304,275,320,361,410,433,442,485,493,467,478,563,544,694,699,741
"Current Prices","..Coconut",120,113,119,119,145,159,191,249,271,289,273,370,448,495,588,478,443,486,536,547,553,629,727
"Current Prices","..Garlic",525,568,571,442,357,756,880,570,463,558,457,508,378,427,968,518,376,520,471,382,490,494,502
"Current Prices","..Stringbeans",25,24,27,114,140,129,179,179,203,269,233,240,235,246,255,321,322,309,436,338,354,384,396
"Current Prices","..Ampalaya",93,107,97,155,165,189,212,232,315,310,231,308,289,286,263,346,318,304,404,360,382,400,447
"Current Prices","..Sweet Potato",80,94,91,93,124,134,173,185,187,205,204,222,210,241,240,230,257,306,374,378,450,418,404
"Current Prices","..Watermelon",224,258,316,358,379,453,390,366,314,303,238,287,298,261,328,358,323,322,342,464,471,475,501
"Current Prices","..Squash",55,61,42,136,140,183,227,214,245,247,223,237,223,222,207,221,209,221,293,271,272,359,390
"Current Prices","..Cassava",69,73,81,80,88,93,98,119,139,137,137,139,153,162,182,181,173,164,209,228,336,316,293
"Current Prices","..Gourd",17,17,14,106,116,129,134,142,148,150,119,142,140,145,128,166,127,123,174,177,183,167,179
