"Rootcrops: Retail Prices of Agricultural Commodities"

"Region/Province","Commodity","2012 January","2012 February","2012 March","2012 April","2012 May","2012 June","2012 July","2012 August","2012 September","2012 October","2012 November","2012 December","2013 January","2013 February","2013 March","2013 April","2013 May","2013 June","2013 July","2013 August","2013 September","2013 October","2013 November","2013 December","2014 January","2014 February","2014 March","2014 April","2014 May","2014 June","2014 July","2014 August","2014 September","2014 October","2014 November","2014 December","2015 January","2015 February","2015 March","2015 April","2015 May","2015 June","2015 July","2015 August","2015 September","2015 October","2015 November","2015 December","2016 January","2016 February","2016 March","2016 April","2016 May","2016 June","2016 July","2016 August","2016 September","2016 October","2016 November","2016 December","2017 January","2017 February","2017 March","2017 April","2017 May","2017 June","2017 July","2017 August","2017 September","2017 October","2017 November","2017 December"
"PHILIPPINES","CARROTS, 1 KG",74.53,69.19,61.55,59.86,58.64,59.88,67.07,71.06,71.54,68.26,64.17,60.51,58.22,55.37,54.96,56.71,59.38,64.19,64.86,62.25,61.83,63.47,67.70,69.08,72.01,68.61,64.14,62.22,62.23,69.81,84.37,74.85,70.20,68.23,69.80,68.59,68.60,62.89,60.19,62.33,61.58,62.26,67.85,72.15,73.79,76.97,84.06,76.07,71.69,64.66,62.54,65.22,73.94,86.63,91.52,80.96,70.91,69.38,78.27,86.73,86.75,85.79,80.46,75.44,70.67,69.94,69.96,73.14,84.11,99.44,96.73,89.42
"PHILIPPINES","CASSAVA, 1 KG",19.15,19.15,19.21,19.22,19.31,19.19,19.07,19.12,19.21,19.47,19.65,19.64,19.60,19.66,19.60,19.64,19.65,19.91,20.15,20.16,20.14,19.92,20.14,20.35,20.73,20.89,20.84,20.65,20.60,20.79,21.04,20.95,20.81,20.79,20.97,21.05,21.29,20.89,20.90,20.93,21.28,21.46,21.48,21.75,21.87,21.77,21.75,22.00,22.15,22.29,22.00,21.52,22.08,22.14,21.98,21.79,22.12,22.17,21.91,22.07,22.55,22.44,22.39,22.43,22.38,22.59,22.34,22.40,22.33,22.80,23.09,23.59
"PHILIPPINES","GABI TUBERS, CEBU, 1 KG",24.94,24.96,24.69,24.08,24.33,24.54,24.31,24.31,24.74,24.87,25.37,25.40,25.52,25.60,25.52,25.71,25.85,26.36,26.61,26.83,27.38,27.90,27.61,27.66,28.23,28.38,30.82,30.75,31.21,31.64,31.83,32.56,30.65,31.14,30.72,30.98,31.36,31.39,30.89,30.24,30.18,30.76,31.91,32.68,32.68,33.86,34.87,34.64,36.32,35.74,35.88,35.64,36.00,36.74,37.77,37.86,39.39,40.94,42.39,42.53,41.81,42.08,42.56,41.77,41.11,40.88,39.64,39.26,39.70,39.97,41.69,41.01
"PHILIPPINES","GABI TUBERS, TAGALOG, 1 KG",36.11,35.58,35.31,34.03,35.87,36.77,36.68,36.50,36.64,35.92,37.13,36.28,36.80,37.28,36.64,36.74,37.27,37.77,38.26,37.35,37.61,37.96,39.50,40.39,40.89,40.38,39.48,39.89,39.41,40.61,40.68,40.92,42.24,41.53,42.64,41.03,42.06,41.19,41.52,40.38,41.30,42.90,43.40,43.71,43.46,43.17,43.46,43.46,43.78,42.71,41.04,41.09,41.89,41.36,41.78,42.38,44.99,45.11,46.87,45.51,46.53,46.25,43.49,43.58,43.43,44.97,43.51,44.62,45.99,45.21,44.82,45.94
"PHILIPPINES","POTATO, 1 KG",63.04,59.29,56.04,56.55,56.35,56.14,58.34,62.59,64.24,66.13,64.64,61.57,60.07,58.04,58.40,62.03,65.00,65.26,64.45,63.00,63.15,64.72,68.05,74.67,82.17,81.89,76.67,72.55,68.06,66.60,65.96,65.49,67.67,67.79,68.21,67.02,66.03,62.71,60.86,60.39,60.64,60.32,61.40,61.88,62.04,62.97,66.00,69.59,73.68,75.59,73.97,73.49,73.96,76.19,76.32,74.13,76.20,81.33,90.07,91.20,87.20,83.48,77.94,74.82,73.70,73.59,72.91,74.56,76.35,78.60,79.86,78.75
"PHILIPPINES","POTATO, IRISH (WHITE), 1 KG",62.68,45.48,43.22,48.25,45.30,45.89,50.79,65.00,67.74,73.79,73.22,61.15,53.82,49.22,47.77,55.75,62.60,64.30,62.02,58.13,64.98,65.54,69.34,74.43,88.39,86.53,76.89,63.08,55.95,56.79,53.11,55.65,60.20,64.27,63.95,60.49,56.21,52.17,49.90,48.74,51.29,47.20,46.11,48.41,53.44,52.07,62.19,71.44,77.82,70.11,66.95,63.38,58.31,60.90,61.80,62.51,67.60,80.91,91.35,97.67,83.92,67.91,62.04,59.59,60.15,65.04,64.40,69.81,68.53,68.31,69.10,64.58
"PHILIPPINES","SWEET POTATO (CAMOTE), 1 KG",24.43,24.27,24.31,24.18,23.47,23.69,23.38,24.33,24.49,24.56,24.76,24.80,24.91,24.35,23.52,23.71,24.24,24.68,24.98,25.58,26.38,26.84,26.96,26.63,26.35,26.41,26.73,26.75,26.97,27.19,27.80,29.36,30.43,30.27,30.34,30.31,31.00,30.98,30.08,30.34,30.72,31.10,32.42,33.56,33.28,33.51,33.35,33.97,34.40,33.15,32.41,33.34,32.51,32.18,34.28,34.92,35.60,37.05,38.18,38.53,37.64,37.05,35.63,34.85,34.36,35.62,36.54,37.48,38.27,38.95,39.32,39.61
"PHILIPPINES","SWEET POTATO (CAMOTE), NATIVE, 1 KG",39.51,38.57,38.09,37.74,37.10,37.10,37.33,38.37,38.62,38.94,39.73,39.36,39.68,39.28,39.02,39.13,39.55,40.16,40.47,41.23,41.35,41.38,41.86,42.18,42.13,42.90,42.13,42.19,41.76,42.47,43.41,44.94,46.16,45.87,46.07,45.58,45.76,44.94,43.75,44.93,44.08,44.13,45.34,47.17,47.27,47.46,47.83,47.28,47.71,47.90,47.24,47.52,48.15,48.49,49.62,50.56,51.87,52.21,53.55,53.41,53.74,53.50,50.87,50.74,50.87,51.13,51.54,53.73,54.68,56.31,57.44,57.08
"PHILIPPINES","RADDISH (LABANOS), 1 KG",34.51,33.39,34.11,34.05,34.22,34.91,35.01,39.14,40.29,38.90,37.29,35.94,36.32,36.32,36.38,37.35,37.41,38.91,38.29,38.08,39.35,41.25,41.94,41.15,40.04,38.58,37.10,38.27,40.31,43.45,42.71,42.88,42.07,42.43,40.69,40.34,41.77,40.16,39.02,39.86,42.06,41.49,43.71,44.04,45.22,43.41,43.96,43.19,44.48,43.99,43.85,44.52,49.40,52.99,52.30,50.38,50.24,50.64,54.34,52.73,52.32,50.93,47.84,46.28,46.68,48.54,50.58,54.14,53.37,53.63,54.21,55.78
"PHILIPPINES","GABI TUBERS, NATIVE, 1 KG",29.84,29.47,29.42,29.55,28.88,28.37,28.48,28.75,28.98,29.03,29.75,29.42,29.22,29.75,30.19,30.16,30.03,30.33,30.69,30.81,31.95,31.49,32.43,32.63,32.87,32.83,32.91,33.19,33.75,33.31,34.15,35.40,35.11,35.17,35.63,35.73,36.64,35.46,34.60,34.80,35.15,35.16,36.23,36.37,36.69,36.92,38.36,38.28,37.99,38.10,38.15,38.36,39.02,40.35,40.67,41.57,42.21,43.28,45.76,45.04,43.79,43.13,41.88,41.01,40.57,40.14,39.42,40.89,41.04,40.78,41.15,41.16
