"Geolocation","Commodity Description","2023 Feb"
"PHILIPPINES","0 - ALL ITEMS",120.2000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",126.0000000000000
"PHILIPPINES","01.1 - FOOD",128.2000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",123.8000000000000
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",123.7391905023430
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",121.0860124759380
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",124.0083966680470
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",115.5077878654950
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",122.2962968036630
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",126.4535261295170
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",122.6000000000000
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",125.6570806882320
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",140.5900757669470
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",120.8057051938790
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",133.5000000000000
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",147.6368210586400
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",123.3571404906700
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",131.1414092243450
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",134.3323111757430
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",122.8000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",133.9767232832380
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",111.4446287023420
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",109.2739303739690
"PHILIPPINES","01.1.4.5 - Cheese (ND)",118.2950437312170
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",119.2803387838910
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",110.3704862380860
"PHILIPPINES","01.1.4.8 - Eggs (ND)",138.0465433373350
"PHILIPPINES","01.1.5 - Oils and fats (ND)",136.3000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",142.2107963436320
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",124.7978081388730
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",115.6870345681870
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",117.1707183007060
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",129.2000000000000
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",135.3574628552000
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",132.8706024460560
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",122.6841152878220
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",129.3959900340130
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",125.2626595305540
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",125.6285961004080
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",139.6000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",135.8555987473050
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",147.3193907433810
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",151.0117450067880
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",130.4326558605120
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",147.7000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",184.3519112255860
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",121.7298439770010
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",126.6112091849470
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",119.3128350234360
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",115.1077042612080
"PHILIPPINES","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",118.5713010587580
"PHILIPPINES","01.1.9 - Ready-made food and other food products n.e.c. (ND)",123.2000000000000
"PHILIPPINES","01.1.9.2 - Baby food (ND)",115.2828840662130
"PHILIPPINES","01.1.9.3 - Salt, condiments and sauces (ND)",128.2229068412950
"PHILIPPINES","01.1.9.4 - Spices, culinary herbs and seeds (ND)",124.0875419403050
"PHILIPPINES","01.1.9.9 - Other food products n.e.c. (ND)",124.0933673566940
"PHILIPPINES","01.2 - NON-ALCOHOLIC BEVERAGES",116.2000000000000
"PHILIPPINES","01.2.1 - Fruit and vegetable juices (ND)",127.5000000000000
"PHILIPPINES","01.2.1.0 - Fruit and vegetable juices (ND)",127.5154772651810
"PHILIPPINES","01.2.2 - Coffee and coffee substitutes (ND)",112.4000000000000
"PHILIPPINES","01.2.2.0 - Coffee and coffee substitutes (ND)",112.4156797885400
"PHILIPPINES","01.2.3 - Tea, maté and other plant products for infusion (ND)",114.8000000000000
"PHILIPPINES","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",114.7789617121520
"PHILIPPINES","01.2.4 - Cocoa drinks (ND)",122.0000000000000
"PHILIPPINES","01.2.4.0 - Cocoa drinks (ND)",122.0576467124770
"PHILIPPINES","01.2.5 - Water (ND)",109.9000000000000
"PHILIPPINES","01.2.5.0 - Water (ND)",109.9277729309490
"PHILIPPINES","01.2.6 - Soft drinks (ND)",122.3000000000000
"PHILIPPINES","01.2.6.0 - Soft drinks (ND)",122.2935743916070
"PHILIPPINES","01.2.9 - Other non-alcoholic beverages (ND)",126.1000000000000
"PHILIPPINES","01.2.9.0 - Other non-alcoholic beverages (ND)",126.0712669878030
"PHILIPPINES","02 - ALCOHOLIC BEVERAGES AND TOBACCO",162.0000000000000
"PHILIPPINES","02.1 - ALCOHOLIC BEVERAGES",132.1000000000000
"PHILIPPINES","02.1.1 - Spirits and liquors (ND)",134.4000000000000
"PHILIPPINES","02.1.1.0 - Spirits and liquors (ND)",134.4417041189500
"PHILIPPINES","02.1.2 - Wine (ND)",123.2000000000000
"PHILIPPINES","02.1.2.1 - Wine from grapes (ND)",120.8019016596450
"PHILIPPINES","02.1.2.2 - Wine from other sources (ND)",123.8247850959280
"PHILIPPINES","02.1.3 - Beer (ND)",130.4000000000000
"PHILIPPINES","02.1.3.0 - Beer (ND)",130.3427635061730
"PHILIPPINES","02.3 - TOBACCO",182.6000000000000
"PHILIPPINES","02.3.0 - Tobacco (ND)",182.6000000000000
"PHILIPPINES","02.3.0.1 - Cigarettes (ND)",183.1986772461250
"PHILIPPINES","02.3.0.2 - Cigars (ND)",173.7848637745780
"PHILIPPINES","02.3.0.9 - Other tobacco products (ND)",139.7433521383270
"PHILIPPINES","02.4 - OTHER VEGETABLE-BASED TOBACCO PRODUCTS",149.2000000000000
"PHILIPPINES","02.4.0 - Other vegetable-based tobacco products (ND)",149.2000000000000
"PHILIPPINES","02.4.0.0 - Other vegetable-based tobacco products (ND)",149.1667430775880
"PHILIPPINES","02.900 - NON-FOOD",116.7000000000000
"PHILIPPINES","03 - CLOTHING AND FOOTWEAR",113.3000000000000
"PHILIPPINES","03.1 - CLOTHING",113.1000000000000
"PHILIPPINES","03.1.1 - Clothing materials (SD)",110.1000000000000
"PHILIPPINES","03.1.1.0 - Clothing materials (SD)",110.0697584645560
"PHILIPPINES","03.1.2 - Garments (SD)",112.8000000000000
"PHILIPPINES","03.1.2.1 - Garments for men or boys (SD)",112.7850789614270
"PHILIPPINES","03.1.2.2 - Garments for women or girls (SD)",112.6266034986770
"PHILIPPINES","03.1.2.3 - Garments for infants (0 to under 2 years) (SD)",115.0872077401390
"PHILIPPINES","03.1.2.4 - School uniforms (SD)",118.0170355102460
"PHILIPPINES","03.1.3 - Other articles of clothing and clothing accessories (SD)",112.7000000000000
"PHILIPPINES","03.1.3.1 - Other articles of clothing (SD)",112.1639194617280
"PHILIPPINES","03.1.3.2 - Clothing accessories (SD)",116.2696081875570
"PHILIPPINES","03.1.4 - Cleaning, repair, tailoring and hire of clothing (S)",125.9000000000000
"PHILIPPINES","03.1.4.1 - Cleaning of clothing (S)",125.4024227195350
"PHILIPPINES","03.1.4.2 - Repair, tailoring and hire of clothing (S)",127.1645090253410
"PHILIPPINES","03.2 - FOOTWEAR",113.9000000000000
"PHILIPPINES","03.2.1 - Shoes and other footwear (SD)",113.9000000000000
"PHILIPPINES","03.2.1.1 - Footwear for men (SD)",114.8392048224210
"PHILIPPINES","03.2.1.2 - Footwear for women (SD)",112.5647918995750
"PHILIPPINES","03.2.1.3 - Footwear for infants and children (SD)",113.7387282174580
"PHILIPPINES","03.2.2 - Cleaning, repair, and hire of footwear (S)",118.8000000000000
"PHILIPPINES","03.2.2.0 - Cleaning, repair, and hire of footwear (S)",118.8623371314970
"PHILIPPINES","04 - HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",115.3000000000000
"PHILIPPINES","04.1 - ACTUAL RENTALS FOR HOUSING",114.1000000000000
"PHILIPPINES","04.1.1 - Actual rentals paid by tenants for main residence (S)",114.1000000000000
"PHILIPPINES","04.1.1.0 - Actual rentals paid by tenants for main residence (S)",114.0923394505220
"PHILIPPINES","04.3 - MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING",116.8000000000000
"PHILIPPINES","04.3.1 - Security equipment and materials for the maintenance and repair of the dwelling (ND)",114.9000000000000
"PHILIPPINES","04.3.1.1 - Materials for the maintenance and repair of the dwelling (ND)",114.8954049066000
"PHILIPPINES","04.3.2 - Services for the maintenance, repair and security of the dwelling (S)",123.2000000000000
"PHILIPPINES","04.3.2.0 - Services for the maintenance, repair and security of the dwelling (S)",123.2464117581930
"PHILIPPINES","04.4 - WATER SUPPLY AND MISCELLANEOUS SERVICES RELATING TO THE DWELLING",115.4000000000000
"PHILIPPINES","04.4.1 - Water supply (ND)",115.4000000000000
"PHILIPPINES","04.4.1.1 - Water supply through network systems (ND)",115.4642817615560
"PHILIPPINES","04.5 - ELECTRICITY, GAS AND OTHER FUELS",130.6000000000000
"PHILIPPINES","04.5.3 - Liquid fuels (ND)",152.6000000000000
"PHILIPPINES","04.5.3.0 - Liquid fuels (ND)",152.6122056979810
"PHILIPPINES","04.5.4 - Solid fuels (ND)",129.6000000000000
"PHILIPPINES","04.5.4.2 - Wood fuel, including pellets and briquettes (ND)",129.1908096346830
"PHILIPPINES","04.5.4.3 - Charcoal (ND)",130.4244732460600
"PHILIPPINES","05 - FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",116.9000000000000
"PHILIPPINES","05.1 - FURNITURE, FURNISHINGS, AND LOOSE CARPETS",109.8000000000000
"PHILIPPINES","05.1.1 - Furniture, furnishings and loose carpets (D)",109.8000000000000
"PHILIPPINES","05.1.1.1 - Household furniture (D)",109.7243067913990
"PHILIPPINES","05.1.1.3 - Lighting equipment (D)",113.3045882765940
"PHILIPPINES","05.1.1.4 - Furnishings, loose carpets and rugs (D)",109.4617571943290
"PHILIPPINES","05.2 - HOUSEHOLD TEXTILES",109.0000000000000
"PHILIPPINES","05.2.1 - Household textiles (SD)",109.0000000000000
"PHILIPPINES","05.2.1.1 - Furnishing fabrics and curtains (SD)",107.6645968239620
"PHILIPPINES","05.2.1.2 - Bed linen and bedding (SD)",109.3700569651760
