"Geolocation","Commodity Description","2022 Jun"
"PHILIPPINES","0 - ALL ITEMS",113.3000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",114.9000000000000
"PHILIPPINES","01.1 - FOOD",116.0000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",114.4000000000000
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",114.3628582585500
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",112.6001103066650
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",114.1790950660660
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",111.7769302825440
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",113.8690073271570
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",116.8781150999370
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",117.0000000000000
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",116.8594892465770
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",139.1965818480440
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",114.9549966038110
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",124.1000000000000
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",134.8411974297160
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",113.9478748501100
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",124.8159216062450
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",122.9836467714750
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",110.5000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",117.2569000728520
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",105.3934731967700
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",104.0408073809250
"PHILIPPINES","01.1.4.5 - Cheese (ND)",109.7787632000950
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",108.2577269799970
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",108.6573485696370
"PHILIPPINES","01.1.4.8 - Eggs (ND)",117.0487271574460
"PHILIPPINES","01.1.5 - Oils and fats (ND)",126.7000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",131.9416584524460
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",114.2223985505770
