"Geolocation","Commodity Description","2021 Nov"
"PHILIPPINES","0 - ALL ITEMS",110.2000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",109.3000000000000
"PHILIPPINES","01.1 - FOOD",109.4000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",96.7000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",92.6742191647596
"PHILIPPINES","01.1.1.12 - Rice",91.6675152914505
"PHILIPPINES","01.1.1.16 - Corn",111.1744494509260
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",109.4055010571900
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",107.7687561176560
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",109.1677893678790
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",109.4788914102180
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",108.2267021238890
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",113.0146576883490
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",120.1000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",122.4508780455620
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",114.8470980762780
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",125.3788895508610
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",111.5983034867610
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",118.0000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",118.2722942857460
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",128.5246655902970
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",109.0127595499360
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",115.2090661770500
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",118.9926253844910
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",107.5000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",112.0919950279840
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",103.6984472872970
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",103.0580102815310
"PHILIPPINES","01.1.4.5 - Cheese (ND)",106.8248430581740
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",105.2046965122790
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",107.7787166663910
"PHILIPPINES","01.1.4.8 - Eggs (ND)",112.3871477626730
