"Geolocation","Commodity Description","2021 Apr"
"PHILIPPINES","0 - ALL ITEMS",108.1000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",108.4000000000000
"PHILIPPINES","01.1 - FOOD",108.5000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",95.8000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",91.9773954307746
"PHILIPPINES","01.1.1.12 - Rice",91.5096814121966
"PHILIPPINES","01.1.1.16 - Corn",100.5725913778400
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",107.8684861844470
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",106.6184739679920
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",107.7531821097590
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",108.9146580760120
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",106.2886383404160
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",111.3253665607930
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",123.5000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",127.2698850507150
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",109.9540913183710
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",129.1624060377150
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",110.7058638837660
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",117.9000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",118.3372946244500
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",126.2914313633350
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",107.9911435196680
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",116.4983257031610
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",116.9211532748510
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",108.2000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",110.7559438744140
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",103.2005111883520
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",102.2874511556460
"PHILIPPINES","01.1.4.5 - Cheese (ND)",106.5440022819440
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",103.3484591306240
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",106.2807005356490
"PHILIPPINES","01.1.4.8 - Eggs (ND)",114.8008823513920
"PHILIPPINES","01.1.5 - Oils and fats (ND)",108.7000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",110.0207999213420
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",109.5313694514330
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",103.3943737851270
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",95.1385820593683
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",121.3000000000000
"PHILIPPINES","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",122.4370589385830
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",116.4480293582440
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",114.4203022994070
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",120.9480103315170
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",116.9771383772380
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",103.5426050500580
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",108.8279150981540
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",105.6000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",108.3337197016670
"PHILIPPINES","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",100.4367988563160
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",109.4353327590650
"PHILIPPINES","01.1.7.4 - Other vegetables, fresh or chilled (ND)",110.2658485593160
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",103.3897033940510
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",112.1619100184960
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",103.1000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",98.4006334101740
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",106.6358707875110
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",109.8678423391730
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",109.0077604492670
