"Geolocation","Commodity Description","2020 Ave"
"PHILIPPINES","0 - ALL ITEMS",104.8250000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",104.5833333333330
"PHILIPPINES","01.1 - FOOD",104.4250000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",95.7416666666667
"PHILIPPINES","01.1.1.1 - Cereals (ND)",92.4042894420805
"PHILIPPINES","01.1.1.12 - Rice",92.2243798781903
"PHILIPPINES","01.1.1.16 - Corn",95.7104934320508
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",106.2717968398320
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",106.1019263685710
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",106.0700353152720
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",107.2476261028810
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",105.0657393452010
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",109.3492558215730
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",107.1083333333330
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",107.5463857528580
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",105.5868101125860
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",106.9866025801150
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",105.6459706567150
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",110.3333333333330
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",110.2765431158540
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",115.9234023565350
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",106.6717997168410
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",109.2876168031660
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",113.9037024075130
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",106.5166666666670
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",109.8148465339390
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",102.4359131270540
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",100.7507284113850
"PHILIPPINES","01.1.4.5 - Cheese (ND)",105.5591494455750
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",102.3860183756880
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",106.0440307190910
"PHILIPPINES","01.1.4.8 - Eggs (ND)",111.8287755162730
"PHILIPPINES","01.1.5 - Oils and fats (ND)",103.9500000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",103.9656007303630
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",108.2262652107250
