"Geolocation","Commodity Description","2024 Mar"
"PHILIPPINES","0 - ALL ITEMS",..
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",..
"PHILIPPINES","01.1 - FOOD",..
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",..
"PHILIPPINES","01.1.1.1 - Cereals (ND)",..
"PHILIPPINES","01.1.1.12 - Rice",..
"PHILIPPINES","01.1.1.16 - Corn",..
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",..
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",..
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",..
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",..
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",..
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",..
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",..
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",..
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",..
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",..
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",..
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",..
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",..
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",..
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",..
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",..
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",..
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",..
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",..
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",..
"PHILIPPINES","01.1.4.5 - Cheese (ND)",..
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",..
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",..
"PHILIPPINES","01.1.4.8 - Eggs (ND)",..
"PHILIPPINES","01.1.5 - Oils and fats (ND)",..
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",..
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",..
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",..
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",..
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",..
"PHILIPPINES","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",..
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",..
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",..
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",..
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",..
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",..
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",..
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",..
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",..
"PHILIPPINES","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",..
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",..
"PHILIPPINES","01.1.7.4 - Other vegetables, fresh or chilled (ND)",..
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",..
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",..
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",..
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",..
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",..
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",..
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",..
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",..
"PHILIPPINES","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",..
"PHILIPPINES","01.1.9 - Ready-made food and other food products n.e.c. (ND)",..
"PHILIPPINES","01.1.9.2 - Baby food (ND)",..
"PHILIPPINES","01.1.9.3 - Salt, condiments and sauces (ND)",..
"PHILIPPINES","01.1.9.4 - Spices, culinary herbs and seeds (ND)",..
"PHILIPPINES","01.1.9.9 - Other food products n.e.c. (ND)",..
"PHILIPPINES","01.2 - NON-ALCOHOLIC BEVERAGES",..
"PHILIPPINES","01.2.1 - Fruit and vegetable juices (ND)",..
"PHILIPPINES","01.2.1.0 - Fruit and vegetable juices (ND)",..
"PHILIPPINES","01.2.2 - Coffee and coffee substitutes (ND)",..
"PHILIPPINES","01.2.2.0 - Coffee and coffee substitutes (ND)",..
"PHILIPPINES","01.2.3 - Tea, maté and other plant products for infusion (ND)",..
"PHILIPPINES","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",..
"PHILIPPINES","01.2.4 - Cocoa drinks (ND)",..
"PHILIPPINES","01.2.4.0 - Cocoa drinks (ND)",..
"PHILIPPINES","01.2.5 - Water (ND)",..
"PHILIPPINES","01.2.5.0 - Water (ND)",..
"PHILIPPINES","01.2.6 - Soft drinks (ND)",..
"PHILIPPINES","01.2.6.0 - Soft drinks (ND)",..
"PHILIPPINES","01.2.9 - Other non-alcoholic beverages (ND)",..
"PHILIPPINES","01.2.9.0 - Other non-alcoholic beverages (ND)",..
"PHILIPPINES","02 - ALCOHOLIC BEVERAGES AND TOBACCO",..
"PHILIPPINES","02.1 - ALCOHOLIC BEVERAGES",..
"PHILIPPINES","02.1.1 - Spirits and liquors (ND)",..
"PHILIPPINES","02.1.1.0 - Spirits and liquors (ND)",..
"PHILIPPINES","02.1.2 - Wine (ND)",..
"PHILIPPINES","02.1.2.1 - Wine from grapes (ND)",..
"PHILIPPINES","02.1.2.2 - Wine from other sources (ND)",..
"PHILIPPINES","02.1.3 - Beer (ND)",..
"PHILIPPINES","02.1.3.0 - Beer (ND)",..
"PHILIPPINES","02.3 - TOBACCO",..
"PHILIPPINES","02.3.0 - Tobacco (ND)",..
"PHILIPPINES","02.3.0.1 - Cigarettes (ND)",..
"PHILIPPINES","02.3.0.2 - Cigars (ND)",..
"PHILIPPINES","02.3.0.9 - Other tobacco products (ND)",..
"PHILIPPINES","02.4 - OTHER VEGETABLE-BASED TOBACCO PRODUCTS",..
"PHILIPPINES","02.4.0 - Other vegetable-based tobacco products (ND)",..
"PHILIPPINES","02.4.0.0 - Other vegetable-based tobacco products (ND)",..
"PHILIPPINES","02.900 - NON-FOOD",..
"PHILIPPINES","03 - CLOTHING AND FOOTWEAR",..
"PHILIPPINES","03.1 - CLOTHING",..
"PHILIPPINES","03.1.1 - Clothing materials (SD)",..
"PHILIPPINES","03.1.1.0 - Clothing materials (SD)",..
"PHILIPPINES","03.1.2 - Garments (SD)",..
"PHILIPPINES","03.1.2.1 - Garments for men or boys (SD)",..
"PHILIPPINES","03.1.2.2 - Garments for women or girls (SD)",..
"PHILIPPINES","03.1.2.3 - Garments for infants (0 to under 2 years) (SD)",..
"PHILIPPINES","03.1.2.4 - School uniforms (SD)",..
"PHILIPPINES","03.1.3 - Other articles of clothing and clothing accessories (SD)",..
"PHILIPPINES","03.1.3.1 - Other articles of clothing (SD)",..
"PHILIPPINES","03.1.3.2 - Clothing accessories (SD)",..
"PHILIPPINES","03.1.4 - Cleaning, repair, tailoring and hire of clothing (S)",..
"PHILIPPINES","03.1.4.1 - Cleaning of clothing (S)",..
"PHILIPPINES","03.1.4.2 - Repair, tailoring and hire of clothing (S)",..
"PHILIPPINES","03.2 - FOOTWEAR",..
"PHILIPPINES","03.2.1 - Shoes and other footwear (SD)",..
"PHILIPPINES","03.2.1.1 - Footwear for men (SD)",..
"PHILIPPINES","03.2.1.2 - Footwear for women (SD)",..
"PHILIPPINES","03.2.1.3 - Footwear for infants and children (SD)",..
"PHILIPPINES","03.2.2 - Cleaning, repair, and hire of footwear (S)",..
"PHILIPPINES","03.2.2.0 - Cleaning, repair, and hire of footwear (S)",..
"PHILIPPINES","04 - HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",..
