"Geolocation","Commodity Description","2020 Mar"
"PHILIPPINES","0 - ALL ITEMS",103.9000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",103.4000000000000
"PHILIPPINES","01.1 - FOOD",103.2000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",94.1000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",90.4397764237064
"PHILIPPINES","01.1.1.12 - Rice",90.3328432827394
"PHILIPPINES","01.1.1.16 - Corn",92.4048902824710
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",105.5544637856110
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",105.5830128748150
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",105.3406026210290
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",106.3380512589930
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",104.4800582704000
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",108.4567598907870
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",105.3000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",105.5701269979510
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",104.7940453600380
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",103.6909099090880
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",104.7068352559270
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",113.4000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",114.2768161675260
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",116.1703994370500
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",106.0658081766770
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",110.7738736246900
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",112.9939654724420
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",105.9000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",109.0206094021140
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",101.9248221830280
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",99.8735527842248
"PHILIPPINES","01.1.4.5 - Cheese (ND)",105.0388635957390
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",102.0359347413110
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",106.0473734233160
