"Geolocation","Commodity Description","2007 Jan","2007 Feb","2007 Mar","2007 Apr","2007 May","2007 Jun","2007 Jul","2007 Aug","2007 Sep","2007 Oct","2007 Nov","2007 Dec","2007 Ave"
"....Sorsogon","0 - ALL ITEMS",70.151881839306000,70.352890096725200,70.218884591779000,70.285887344252100,70.620901106617500,70.955914868982800,71.290928631348200,71.357931383821300,71.558939641240500,71.625942393713500,72.228967165971200,72.764989185755800,71.117838187459400
"....Sorsogon","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",64.419486358786800,64.776710867245800,64.479023776863300,64.538561194939800,65.014860539551900,65.253010211857900,65.788846974546600,65.907921810699600,65.967459228776100,65.967459228776100,67.098670172229800,67.932194025301000,65.595350365797900
"....Sorsogon","01.1 - FOOD",64.409542585393100,64.825088021427900,64.468906219112400,64.528269852831600,65.062542556304900,65.299997091182000,65.834269794655300,65.952997062093800,66.012360695813000,66.012360695813000,67.199633370198200,68.090087875987000,65.641337985067700
"....Sorsogon","01.1.1 - Cereals and cereal products (ND)",61.878988250768800,61.990081586946100,62.212268259300700,62.434454931655400,62.823281608276000,63.267654952985300,63.323201621074000,63.323201621074000,63.434294957251300,63.545388293428600,64.600774987113200,65.045148331822500,63.156561616808000
"....Sorsogon","01.1.1.1 - Cereals (ND)",64.429631362557800,64.435105656987000,64.549121563217400,64.834161328793600,65.290224953715400,65.917312437982900,65.917312437982900,65.917312437982900,65.984116496918700,66.098132403149200,66.953251699877600,66.953251699877600,65.606577873253600
"....Sorsogon","01.1.1.12 - Rice",64.558961562235300,64.558961562235300,64.673427806140000,64.959593415901700,65.417458391520300,66.047022732996000,66.047022732996000,66.047022732996000,66.104255854948400,66.218722098853100,67.077218928138100,67.077218928138100,65.732240562258200
"....Sorsogon","01.1.1.16 - Corn",31.685979735131600,33.077428768184400,33.077428768184400,33.077428768184400,33.077428768184400,33.077428768184400,33.077428768184400,33.077428768184400,35.567390195752500,35.567390195752500,35.567390195752500,35.567390195752500,33.791461824619300
"....Sorsogon","01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",54.860789460141000,55.221038546652300,55.787144254027100,55.787144254027100,55.993000874890600,55.993000874890600,56.250321650970100,56.301785806186000,56.507642427049600,56.507642427049600,58.205959549174000,60.110133292162000,56.460466951435000
"....Sorsogon","01.1.2 - Meat and other parts of slaughtered land animals (ND)",70.898323463174600,70.967831623432600,70.064225540078400,70.481274501626500,72.288486668334900,72.497011149108900,72.288486668334900,72.357994828592900,72.705535629882900,72.983568270915000,73.817666194011200,75.068813078655400,72.201601468012400
"....Sorsogon","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",72.343503978892700,72.414428982793600,71.279628920379600,71.776103947685700,73.974779068612800,74.187554080315500,73.974779068612800,73.974779068612800,74.329404088117200,74.684029107621600,75.676979162233900,77.237329248053100,73.821108226827600
"....Sorsogon","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Sorsogon","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",64.503889205084400,64.567128312148200,63.555302599127300,63.997976348574000,65.958388667552000,66.148105988743400,65.958388667552000,65.958388667552000,66.274584202871000,66.590779738190100,67.476127237083400,68.867387592487200,65.821370602247100
