"Geolocation","Commodity Description","2019 Mar"
"PHILIPPINES","0 - ALL ITEMS",102.3000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",102.2000000000000
"PHILIPPINES","01.1 - FOOD",102.0000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",102.6000000000000
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",102.6545999351710
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",102.4720785953200
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",102.6676390467530
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",101.7041237894510
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",101.7956261173500
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",104.2535074549470
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",102.2000000000000
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",101.4178769078680
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",101.0242686554050
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",102.3104642093050
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",105.0000000000000
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",108.5325226649800
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",103.2049191401880
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",103.7255124011000
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",106.6253458793370
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",101.3000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",102.4437621581060
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",100.9369395224230
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",101.0219682167930
"PHILIPPINES","01.1.4.5 - Cheese (ND)",102.2147101936540
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",100.1096313239940
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",104.3214379028800
"PHILIPPINES","01.1.4.8 - Eggs (ND)",101.5439583824320
"PHILIPPINES","01.1.5 - Oils and fats (ND)",101.6000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",101.4852336597870
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",104.0134998081720
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",101.4444190894570
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",92.0741925727384
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",101.9000000000000
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",98.4501996442440
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",108.9092091559690
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",94.4624943408278
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",108.8172244115940
