"Geolocation","Commodity Description","2024 Feb"
"PHILIPPINES","0 - ALL ITEMS",125.5000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",129.3000000000000
"PHILIPPINES","01.1 - FOOD",130.1000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",121.0000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",118.0456691932390
"PHILIPPINES","01.1.1.12 - Rice",117.0447577463170
"PHILIPPINES","01.1.1.16 - Corn",136.4394518686290
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",130.1057015366280
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",126.5351611059830
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",130.4486861921490
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",122.1211735273070
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",128.0499606920750
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",133.6315080160060
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",133.7000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",136.1854810913110
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",130.6868948505130
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",142.4963258641350
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",124.7124560266250
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",136.3000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",135.8275091906800
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",148.8445361993690
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",129.2903315991860
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",135.3821534283830
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",141.8818373978020
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",127.1000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",138.8095582457400
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",115.1985550124190
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",118.0463985501930
"PHILIPPINES","01.1.4.5 - Cheese (ND)",122.1520152297760
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",124.1276849023060
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",119.4816380111150
"PHILIPPINES","01.1.4.8 - Eggs (ND)",142.9269361843130
"PHILIPPINES","01.1.5 - Oils and fats (ND)",129.7000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",134.6139718979530
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",124.4808207549130
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",111.7068041778880
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",110.1070625676500
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",142.4000000000000
"PHILIPPINES","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",142.7580276654520
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",144.1202105314680
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",140.5424597667240
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",159.7445662045220
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",139.7382325646860
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",141.1484380336990
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",130.6061590230570
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",142.3000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",129.9775554999360
"PHILIPPINES","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",149.2842789128550
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",134.1851710901440
"PHILIPPINES","01.1.7.4 - Other vegetables, fresh or chilled (ND)",140.1436671179020
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",156.2176625324090
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",138.4306856024010
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",144.2000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",168.5886391368530
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",127.7074740915800
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",136.6359170273160
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",127.0315752983960
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",119.1453549075520
"PHILIPPINES","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",127.3736388115000
"PHILIPPINES","01.1.9 - Ready-made food and other food products n.e.c. (ND)",128.9000000000000
"PHILIPPINES","01.1.9.2 - Baby food (ND)",119.4579500702670
"PHILIPPINES","01.1.9.3 - Salt, condiments and sauces (ND)",133.7131693008420
"PHILIPPINES","01.1.9.4 - Spices, culinary herbs and seeds (ND)",132.4103680289500
"PHILIPPINES","01.1.9.9 - Other food products n.e.c. (ND)",131.6892122749690
"PHILIPPINES","01.2 - NON-ALCOHOLIC BEVERAGES",119.6000000000000
"PHILIPPINES","01.2.1 - Fruit and vegetable juices (ND)",132.6000000000000
"PHILIPPINES","01.2.1.0 - Fruit and vegetable juices (ND)",132.5782676549530
"PHILIPPINES","01.2.2 - Coffee and coffee substitutes (ND)",115.5000000000000
"PHILIPPINES","01.2.2.0 - Coffee and coffee substitutes (ND)",115.5386064308900
"PHILIPPINES","01.2.3 - Tea, maté and other plant products for infusion (ND)",123.1000000000000
"PHILIPPINES","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",123.0748853977170
"PHILIPPINES","01.2.4 - Cocoa drinks (ND)",127.8000000000000
"PHILIPPINES","01.2.4.0 - Cocoa drinks (ND)",127.8089957919930
"PHILIPPINES","01.2.5 - Water (ND)",111.4000000000000
"PHILIPPINES","01.2.5.0 - Water (ND)",111.3996529255430
"PHILIPPINES","01.2.6 - Soft drinks (ND)",125.9000000000000
"PHILIPPINES","01.2.6.0 - Soft drinks (ND)",125.8955794707860
"PHILIPPINES","01.2.9 - Other non-alcoholic beverages (ND)",130.6000000000000
"PHILIPPINES","01.2.9.0 - Other non-alcoholic beverages (ND)",130.5630493900960
"PHILIPPINES","02 - ALCOHOLIC BEVERAGES AND TOBACCO",175.9000000000000
"PHILIPPINES","02.1 - ALCOHOLIC BEVERAGES",139.3000000000000
"PHILIPPINES","02.1.1 - Spirits and liquors (ND)",143.1000000000000
"PHILIPPINES","02.1.1.0 - Spirits and liquors (ND)",143.0999735803800
"PHILIPPINES","02.1.2 - Wine (ND)",127.7000000000000
"PHILIPPINES","02.1.2.1 - Wine from grapes (ND)",125.5988060030630
"PHILIPPINES","02.1.2.2 - Wine from other sources (ND)",128.2282705141070
"PHILIPPINES","02.1.3 - Beer (ND)",136.1000000000000
"PHILIPPINES","02.1.3.0 - Beer (ND)",136.1085183119900
"PHILIPPINES","02.3 - TOBACCO",201.0000000000000
"PHILIPPINES","02.3.0 - Tobacco (ND)",201.0000000000000
"PHILIPPINES","02.3.0.1 - Cigarettes (ND)",201.7411816278530
"PHILIPPINES","02.3.0.2 - Cigars (ND)",189.9285350824470
"PHILIPPINES","02.3.0.9 - Other tobacco products (ND)",147.4081519454360
"PHILIPPINES","02.4 - OTHER VEGETABLE-BASED TOBACCO PRODUCTS",160.1000000000000
"PHILIPPINES","02.4.0 - Other vegetable-based tobacco products (ND)",160.1000000000000
"PHILIPPINES","02.4.0.0 - Other vegetable-based tobacco products (ND)",160.0709153367370
"PHILIPPINES","02.900 - NON-FOOD",121.3000000000000
"PHILIPPINES","03 - CLOTHING AND FOOTWEAR",117.4000000000000
"PHILIPPINES","03.1 - CLOTHING",117.5000000000000
"PHILIPPINES","03.1.1 - Clothing materials (SD)",113.3000000000000
"PHILIPPINES","03.1.1.0 - Clothing materials (SD)",113.2699320806490
"PHILIPPINES","03.1.2 - Garments (SD)",117.1000000000000
"PHILIPPINES","03.1.2.1 - Garments for men or boys (SD)",117.0517828465380
"PHILIPPINES","03.1.2.2 - Garments for women or girls (SD)",117.1052570729540
"PHILIPPINES","03.1.2.3 - Garments for infants (0 to under 2 years) (SD)",118.9589555197620
"PHILIPPINES","03.1.2.4 - School uniforms (SD)",125.0579344291710
"PHILIPPINES","03.1.3 - Other articles of clothing and clothing accessories (SD)",116.4000000000000
"PHILIPPINES","03.1.3.1 - Other articles of clothing (SD)",115.9551181019720
"PHILIPPINES","03.1.3.2 - Clothing accessories (SD)",119.7487714566360
"PHILIPPINES","03.1.4 - Cleaning, repair, tailoring and hire of clothing (S)",130.3000000000000
"PHILIPPINES","03.1.4.1 - Cleaning of clothing (S)",128.5545416623390
"PHILIPPINES","03.1.4.2 - Repair, tailoring and hire of clothing (S)",134.9397956693480
"PHILIPPINES","03.2 - FOOTWEAR",117.4000000000000
"PHILIPPINES","03.2.1 - Shoes and other footwear (SD)",117.4000000000000
"PHILIPPINES","03.2.1.1 - Footwear for men (SD)",117.6654914206080
"PHILIPPINES","03.2.1.2 - Footwear for women (SD)",116.5766011573880
"PHILIPPINES","03.2.1.3 - Footwear for infants and children (SD)",118.0178445321110
"PHILIPPINES","03.2.2 - Cleaning, repair, and hire of footwear (S)",122.6000000000000
"PHILIPPINES","03.2.2.0 - Cleaning, repair, and hire of footwear (S)",122.6768349911330
"PHILIPPINES","04 - HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",119.8000000000000
"PHILIPPINES","04.1 - ACTUAL RENTALS FOR HOUSING",117.6000000000000
"PHILIPPINES","04.1.1 - Actual rentals paid by tenants for main residence (S)",117.6000000000000
"PHILIPPINES","04.1.1.0 - Actual rentals paid by tenants for main residence (S)",117.6495113132440
"PHILIPPINES","04.3 - MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING",120.3000000000000
"PHILIPPINES","04.3.1 - Security equipment and materials for the maintenance and repair of the dwelling (ND)",118.1000000000000
"PHILIPPINES","04.3.1.1 - Materials for the maintenance and repair of the dwelling (ND)",118.0596510319280
"PHILIPPINES","04.3.2 - Services for the maintenance, repair and security of the dwelling (S)",128.2000000000000
"PHILIPPINES","04.3.2.0 - Services for the maintenance, repair and security of the dwelling (S)",128.2054975659230
"PHILIPPINES","04.4 - WATER SUPPLY AND MISCELLANEOUS SERVICES RELATING TO THE DWELLING",124.7000000000000
"PHILIPPINES","04.4.1 - Water supply (ND)",124.7000000000000
"PHILIPPINES","04.4.1.1 - Water supply through network systems (ND)",124.7148020163590
"PHILIPPINES","04.5 - ELECTRICITY, GAS AND OTHER FUELS",122.8000000000000
"PHILIPPINES","04.5.1 - Electricity (ND)",114.4000000000000
"PHILIPPINES","04.5.1.0 - Electricity (ND)",114.4091154308300
"PHILIPPINES","04.5.2 - Gas (ND)",144.1000000000000
"PHILIPPINES","04.5.2.2 - Liquefied hydrocarbons (ND)",144.1400800503800
"PHILIPPINES","04.5.3 - Liquid fuels (ND)",153.7000000000000
"PHILIPPINES","04.5.3.0 - Liquid fuels (ND)",153.6730159262980
