"Geolocation","Commodity Description","2018 Nov"
"PHILIPPINES","0 - ALL ITEMS",102.0000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",102.7000000000000
"PHILIPPINES","01.1 - FOOD",102.7000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",103.0000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",103.3147310755290
"PHILIPPINES","01.1.1.12 - Rice",103.5286914362200
"PHILIPPINES","01.1.1.16 - Corn",99.3827744695618
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",101.6677065720810
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",101.1365380608300
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",101.6720512436690
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",101.9025757734660
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",101.1791974188160
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",102.5625145208340
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",101.6000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",101.6846711843990
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",101.4405702286990
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",101.7266599947810
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",101.6103802827180
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",103.0000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",103.1967034363780
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",105.2163234212450
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",101.7590436290890
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",100.8361716177180
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",104.2868509358600
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",101.2000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",101.1152526099650
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",101.0047116959430
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",100.6040133829680
"PHILIPPINES","01.1.4.5 - Cheese (ND)",101.5108338027140
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",100.0834946159270
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",103.6029066578210
"PHILIPPINES","01.1.4.8 - Eggs (ND)",101.2368672641130
"PHILIPPINES","01.1.5 - Oils and fats (ND)",101.5000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",101.6771262614690
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",102.0017642864230
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",100.8623228389910
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",97.3113865093016
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",99.9000000000000
"PHILIPPINES","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",99.5299414222040
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",105.5088620352700
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",105.6161114422700
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",101.5564203705640
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",106.4621110028000
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",101.7596407997050
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",101.9183851955750
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",107.1000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",111.2417225479080
"PHILIPPINES","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",107.3195657208030
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",104.7215945468940
"PHILIPPINES","01.1.7.4 - Other vegetables, fresh or chilled (ND)",98.3641809157489
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",118.8802235863930
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",102.6019717711180
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",103.8000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",107.0130220884530
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",101.3379051168440
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",102.0208290766740
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",101.9118254254070
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",100.9092834242090
"PHILIPPINES","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",101.3475279795110
"PHILIPPINES","01.1.9 - Ready-made food and other food products n.e.c. (ND)",101.6000000000000
"PHILIPPINES","01.1.9.2 - Baby food (ND)",100.7041926311330
"PHILIPPINES","01.1.9.3 - Salt, condiments and sauces (ND)",101.6702823812540
"PHILIPPINES","01.1.9.4 - Spices, culinary herbs and seeds (ND)",103.3799055252310
"PHILIPPINES","01.1.9.9 - Other food products n.e.c. (ND)",101.1926656709640
"PHILIPPINES","01.2 - NON-ALCOHOLIC BEVERAGES",102.3000000000000
"PHILIPPINES","01.2.1 - Fruit and vegetable juices (ND)",106.0000000000000
"PHILIPPINES","01.2.1.0 - Fruit and vegetable juices (ND)",106.0583894513670
"PHILIPPINES","01.2.2 - Coffee and coffee substitutes (ND)",101.3000000000000
"PHILIPPINES","01.2.2.0 - Coffee and coffee substitutes (ND)",101.3246229467990
"PHILIPPINES","01.2.3 - Tea, maté and other plant products for infusion (ND)",100.6000000000000
"PHILIPPINES","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",100.6211778393700
"PHILIPPINES","01.2.4 - Cocoa drinks (ND)",103.0000000000000
"PHILIPPINES","01.2.4.0 - Cocoa drinks (ND)",102.9845307838890
"PHILIPPINES","01.2.5 - Water (ND)",100.7000000000000
"PHILIPPINES","01.2.5.0 - Water (ND)",100.6670919976220
"PHILIPPINES","01.2.6 - Soft drinks (ND)",103.6000000000000
"PHILIPPINES","01.2.6.0 - Soft drinks (ND)",103.6160436703430
"PHILIPPINES","01.2.9 - Other non-alcoholic beverages (ND)",105.5000000000000
"PHILIPPINES","01.2.9.0 - Other non-alcoholic beverages (ND)",105.5835575429210
"PHILIPPINES","02 - ALCOHOLIC BEVERAGES AND TOBACCO",103.0000000000000
"PHILIPPINES","02.1 - ALCOHOLIC BEVERAGES",101.6000000000000
"PHILIPPINES","02.1.1 - Spirits and liquors (ND)",101.5000000000000
"PHILIPPINES","02.1.1.0 - Spirits and liquors (ND)",101.4339668655960
"PHILIPPINES","02.1.2 - Wine (ND)",102.0000000000000
"PHILIPPINES","02.1.2.1 - Wine from grapes (ND)",101.5061478590560
"PHILIPPINES","02.1.2.2 - Wine from other sources (ND)",102.1447223707960
"PHILIPPINES","02.1.3 - Beer (ND)",101.8000000000000
"PHILIPPINES","02.1.3.0 - Beer (ND)",101.8271252811010
"PHILIPPINES","02.3 - TOBACCO",103.9000000000000
"PHILIPPINES","02.3.0 - Tobacco (ND)",103.9000000000000
"PHILIPPINES","02.3.0.1 - Cigarettes (ND)",103.8429197383130
"PHILIPPINES","02.3.0.2 - Cigars (ND)",102.4864752789320
"PHILIPPINES","02.3.0.9 - Other tobacco products (ND)",102.6056123184700
"PHILIPPINES","02.4 - OTHER VEGETABLE-BASED TOBACCO PRODUCTS",104.5000000000000
"PHILIPPINES","02.4.0 - Other vegetable-based tobacco products (ND)",104.5000000000000
"PHILIPPINES","02.4.0.0 - Other vegetable-based tobacco products (ND)",104.4955307874120
"PHILIPPINES","02.900 - NON-FOOD",101.6000000000000
"PHILIPPINES","03 - CLOTHING AND FOOTWEAR",101.0000000000000
"PHILIPPINES","03.1 - CLOTHING",101.0000000000000
"PHILIPPINES","03.1.1 - Clothing materials (SD)",101.0000000000000
"PHILIPPINES","03.1.1.0 - Clothing materials (SD)",100.9652401364420
"PHILIPPINES","03.1.2 - Garments (SD)",101.0000000000000
"PHILIPPINES","03.1.2.1 - Garments for men or boys (SD)",101.0448408539300
"PHILIPPINES","03.1.2.2 - Garments for women or girls (SD)",100.9340620285600
"PHILIPPINES","03.1.2.3 - Garments for infants (0 to under 2 years) (SD)",101.0235238428200
"PHILIPPINES","03.1.2.4 - School uniforms (SD)",101.4218029959300
"PHILIPPINES","03.1.3 - Other articles of clothing and clothing accessories (SD)",101.4000000000000
"PHILIPPINES","03.1.3.1 - Other articles of clothing (SD)",101.2349133884600
"PHILIPPINES","03.1.3.2 - Clothing accessories (SD)",102.2847864857400
"PHILIPPINES","03.1.4 - Cleaning, repair, tailoring and hire of clothing (S)",102.2000000000000
"PHILIPPINES","03.1.4.1 - Cleaning of clothing (S)",101.9535647580520
"PHILIPPINES","03.1.4.2 - Repair, tailoring and hire of clothing (S)",102.8550727457080
"PHILIPPINES","03.2 - FOOTWEAR",101.0000000000000
"PHILIPPINES","03.2.1 - Shoes and other footwear (SD)",101.0000000000000
"PHILIPPINES","03.2.1.1 - Footwear for men (SD)",100.9948025234070
"PHILIPPINES","03.2.1.2 - Footwear for women (SD)",100.8673926080990
"PHILIPPINES","03.2.1.3 - Footwear for infants and children (SD)",100.8436733175420
"PHILIPPINES","03.2.2 - Cleaning, repair, and hire of footwear (S)",102.0000000000000
"PHILIPPINES","03.2.2.0 - Cleaning, repair, and hire of footwear (S)",102.0408934575530
"PHILIPPINES","04 - HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",101.6000000000000
"PHILIPPINES","04.1 - ACTUAL RENTALS FOR HOUSING",101.4000000000000
"PHILIPPINES","04.1.1 - Actual rentals paid by tenants for main residence (S)",101.4000000000000
"PHILIPPINES","04.1.1.0 - Actual rentals paid by tenants for main residence (S)",101.3348917329170
"PHILIPPINES","04.3 - MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING",101.3000000000000
"PHILIPPINES","04.3.1 - Security equipment and materials for the maintenance and repair of the dwelling (ND)",101.0000000000000
"PHILIPPINES","04.3.1.1 - Materials for the maintenance and repair of the dwelling (ND)",100.9680077374360
"PHILIPPINES","04.3.2 - Services for the maintenance, repair and security of the dwelling (S)",102.4000000000000
"PHILIPPINES","04.3.2.0 - Services for the maintenance, repair and security of the dwelling (S)",102.4110558963160
"PHILIPPINES","04.4 - WATER SUPPLY AND MISCELLANEOUS SERVICES RELATING TO THE DWELLING",101.5000000000000
"PHILIPPINES","04.4.1 - Water supply (ND)",101.5000000000000
"PHILIPPINES","04.4.1.1 - Water supply through network systems (ND)",101.4418557384880
"PHILIPPINES","04.5 - ELECTRICITY, GAS AND OTHER FUELS",102.1000000000000
"PHILIPPINES","04.5.1 - Electricity (ND)",101.3000000000000
"PHILIPPINES","04.5.1.0 - Electricity (ND)",101.2858318421850
"PHILIPPINES","04.5.2 - Gas (ND)",104.8000000000000
"PHILIPPINES","04.5.2.2 - Liquefied hydrocarbons (ND)",104.8039043701560
"PHILIPPINES","04.5.3 - Liquid fuels (ND)",106.2000000000000
"PHILIPPINES","04.5.3.0 - Liquid fuels (ND)",106.1594125480630
"PHILIPPINES","04.5.4 - Solid fuels (ND)",102.3000000000000
"PHILIPPINES","04.5.4.2 - Wood fuel, including pellets and briquettes (ND)",102.2500661849490
"PHILIPPINES","04.5.4.3 - Charcoal (ND)",102.5224177400260
"PHILIPPINES","05 - FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",101.3000000000000
"PHILIPPINES","05.1 - FURNITURE, FURNISHINGS, AND LOOSE CARPETS",100.9000000000000
"PHILIPPINES","05.1.1 - Furniture, furnishings and loose carpets (D)",100.9000000000000
"PHILIPPINES","05.1.1.1 - Household furniture (D)",101.0025147570840
"PHILIPPINES","05.1.1.3 - Lighting equipment (D)",100.5671722189800
"PHILIPPINES","05.1.1.4 - Furnishings, loose carpets and rugs (D)",100.1910232258570
"PHILIPPINES","05.2 - HOUSEHOLD TEXTILES",100.9000000000000
"PHILIPPINES","05.2.1 - Household textiles (SD)",100.9000000000000
"PHILIPPINES","05.2.1.1 - Furnishing fabrics and curtains (SD)",100.8302489525830
"PHILIPPINES","05.2.1.2 - Bed linen and bedding (SD)",100.7531577596990
"PHILIPPINES","05.2.1.3 - Table linen and bathroom linen (SD)",101.2589961180620
"PHILIPPINES","05.2.1.9 - Other household textiles (SD)",101.3657805112370
"PHILIPPINES","05.3 - HOUSEHOLD APPLIANCES",100.9000000000000
"PHILIPPINES","05.3.1 - Major household appliances, whether electric or not (D)",100.8000000000000
"PHILIPPINES","05.3.1.1 - Major kitchen appliances (D)",100.7459065988950
"PHILIPPINES","05.3.1.2 - Major laundry appliances (D)",101.0451560782090
"PHILIPPINES","05.3.1.3 - Heaters, air conditioners (D)",100.5301571070750
"PHILIPPINES","05.3.2 - Small household appliances (SD)",101.3000000000000
"PHILIPPINES","05.3.2.1 - Small appliances for cooking and processing of food (SD)",101.7503362102440
"PHILIPPINES","05.3.2.9 - Other small household appliances (SD)",101.1807360654110
"PHILIPPINES","05.3.3 - Repair, installation and hire of household appliances (S)",101.0000000000000
"PHILIPPINES","05.3.3.0 - Repair, installation and hire of household appliances (S)",101.0519459700580
"PHILIPPINES","05.4 - GLASSWARE, TABLEWARE AND HOUSEHOLD UTENSILS",101.2000000000000
"PHILIPPINES","05.4.0 - Glassware, tableware and household utensils (SD)",101.2000000000000
"PHILIPPINES","05.4.0.1 - Glassware, crystal-ware, ceramic ware and chinaware (SD)",101.3570193311430
"PHILIPPINES","05.4.0.2 - Cutlery, flatware and silverware (SD)",100.8775020269520
"PHILIPPINES","05.4.0.3 - Kitchen utensils and articles (SD)",101.2838594504030
"PHILIPPINES","05.5 - TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN",100.6000000000000
"PHILIPPINES","05.5.1 - Motorized tools and equipment (D)",100.0000000000000
"PHILIPPINES","05.5.1.0 - Motorized tools and equipment (D)",100.0001016627380
"PHILIPPINES","05.5.2 - Non-motorized tools and miscellaneous accessories (SD)",100.8000000000000
"PHILIPPINES","05.5.2.1 - Non-motorized tools (SD)",100.9994517613370
"PHILIPPINES","05.5.2.2 - Miscellaneous accessories (SD)",100.5882926033440
"PHILIPPINES","05.6 - GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE",101.5000000000000
"PHILIPPINES","05.6.1 - Non-durable household goods (ND)",101.3000000000000
"PHILIPPINES","05.6.1.1 - Household cleaning and maintenance products (ND)",101.1446587640410
"PHILIPPINES","05.6.1.9 - Other non-durable household goods (ND)",101.3191957932670
"PHILIPPINES","05.6.2 - Domestic services and household services (S)",101.8000000000000
"PHILIPPINES","05.6.2.1 - Domestic services by paid staff (S)",101.7626424118810
"PHILIPPINES","06 - HEALTH",101.5000000000000
"PHILIPPINES","06.1 - MEDICINES AND HEALTH PRODUCTS",101.1000000000000
"PHILIPPINES","06.1.1 - Medicines (ND)",101.1000000000000
"PHILIPPINES","06.1.1.1 - Medicines, vaccines and other pharmaceutical preparations (ND)",101.0547862493370
"PHILIPPINES","06.1.2 - Medical products (ND)",100.6000000000000
"PHILIPPINES","06.1.2.1 - Medical diagnostic products (ND)",100.5650386219450
"PHILIPPINES","06.1.2.2 - Prevention and protective devices (ND)",100.0014127315080
"PHILIPPINES","06.1.2.3 - Treatment devices for personal use (ND)",101.0780434377170
"PHILIPPINES","06.1.3 - Assistive products (D)",100.9000000000000
"PHILIPPINES","06.1.3.1 - Assistive products for vision (D)",100.9238721432600
"PHILIPPINES","06.2 - OUTPATIENT CARE SERVICES",101.8000000000000
"PHILIPPINES","06.2.1 - Preventive care services (S)",102.0000000000000
"PHILIPPINES","06.2.1.9 - Other preventive services (S)",101.9224810916770
"PHILIPPINES","06.2.2 - Outpatient dental services (S)",101.5000000000000
"PHILIPPINES","06.2.2.1 - Dental preventive services (S)",101.4694316812720
"PHILIPPINES","06.2.3 - Other outpatient care services (S)",100.0000000000000
"PHILIPPINES","06.2.3.1 - Outpatient curative and rehabilitative services (S)",100.0000000000000
"PHILIPPINES","06.3 - INPATIENT CARE SERVICES",102.4000000000000
"PHILIPPINES","06.3.1 - Inpatient curative and rehabilitative services (S)",102.4000000000000
"PHILIPPINES","06.3.1.0 - Inpatient curative and rehabilitative services (S)",102.3373648006880
"PHILIPPINES","06.4 - OTHER HEALTH SERVICES",102.5000000000000
"PHILIPPINES","06.4.1 - Diagnostic imaging services and medical laboratory services (S)",102.5000000000000
"PHILIPPINES","06.4.1.0 - Diagnostic imaging services and medical laboratory services (S)",102.4880961858990
"PHILIPPINES","07 - TRANSPORT",102.3000000000000
"PHILIPPINES","07.1 - PURCHASE OF VEHICLES",100.6000000000000
"PHILIPPINES","07.1.1 - Motor cars (D)",100.4000000000000
"PHILIPPINES","07.1.1.1 - New motor cars (D)",100.4133698864680
"PHILIPPINES","07.1.2 - Motorcycles (D)",100.4000000000000
"PHILIPPINES","07.1.2.0 - Motorcycles (D)",100.3721229758170
"PHILIPPINES","07.1.3 - Bicycles (D)",101.3000000000000
"PHILIPPINES","07.1.3.0 - Bicycles (D)",101.2751913319820
"PHILIPPINES","07.2 - OPERATION OF PERSONAL TRANSPORT EQUIPMENT",102.1000000000000
"PHILIPPINES","07.2.1 - Parts and accessories for personal transport equipment (SD)",100.9000000000000
"PHILIPPINES","07.2.1.1 - Tires (SD)",100.6528487586750
"PHILIPPINES","07.2.1.2 - Parts for personal transport equipment (SD)",101.2863769086180
"PHILIPPINES","07.2.1.3 - Accessories for personal transport equipment (SD)",100.0000000000000
"PHILIPPINES","07.2.2 - Fuels and lubricants for personal transport equipment (ND)",102.3000000000000
"PHILIPPINES","07.2.2.1 - Diesel (ND)",106.3227869397810
"PHILIPPINES","07.2.2.2 - Gasoline (ND)",101.0323412335930
"PHILIPPINES","07.2.2.3 - Other fuels for personal transport equipment (ND)",104.9153105280640
"PHILIPPINES","07.2.2.4 - Lubricants (ND)",100.8920236678990
"PHILIPPINES","07.2.3 - Maintenance and repair of personal transport equipment (S)",101.0000000000000
"PHILIPPINES","07.2.3.0 - Maintenance and repair of personal transport equipment (S)",100.9556893724440
"PHILIPPINES","07.2.4 - Other services in respect of personal transport equipment (S)",100.0000000000000
