"Geolocation","Commodity Description","2021 Mar"
"PHILIPPINES","0 - ALL ITEMS",108.2000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",108.9000000000000
"PHILIPPINES","01.1 - FOOD",109.0000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",95.3000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",91.4508584199538
"PHILIPPINES","01.1.1.12 - Rice",91.2295784727875
"PHILIPPINES","01.1.1.16 - Corn",95.5173273080007
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",107.7116196569560
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",106.4494852908350
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",107.5731817707000
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",108.7934283404520
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",106.1837301058980
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",111.1976131843270
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",123.1000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",126.8839722068920
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",109.3943466031840
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",129.0872458044590
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",110.3137313507380
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",118.2000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",118.6035723817640
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",126.8527132485440
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",108.0287345603700
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",117.0705887215540
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",116.4844874644600
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",108.1000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",110.7399741545040
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",103.1398673138630
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",102.2312022740660
"PHILIPPINES","01.1.4.5 - Cheese (ND)",106.4492360667540
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",103.3484591306240
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",106.2760302018890
"PHILIPPINES","01.1.4.8 - Eggs (ND)",114.8335136656500
"PHILIPPINES","01.1.5 - Oils and fats (ND)",108.4000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",109.6622911867190
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",109.4363274952040
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",103.1744886650720
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",94.8416492142319
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",121.5000000000000
"PHILIPPINES","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",122.5230721598440
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",120.8755456158180
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",114.3437436821910
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",121.5207822460980
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",116.9424849652020
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",104.9374573582670
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",108.7617738010140
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",114.5000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",115.6658562754460
"PHILIPPINES","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",112.5432023888690
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",113.0510261853120
"PHILIPPINES","01.1.7.4 - Other vegetables, fresh or chilled (ND)",117.5788758997720
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",111.2194268573850
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",111.8554663657720
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",102.9000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",98.2218761432562
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",106.2809352910330
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",109.8831312980350
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",109.0944221009560
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",105.2152253366350
