"Geolocation","Commodity Description","2018 Dec"
"PHILIPPINES","0 - ALL ITEMS",101.4000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",101.8000000000000
"PHILIPPINES","01.1 - FOOD",101.8000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",101.3000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",101.1126844509590
"PHILIPPINES","01.1.1.12 - Rice",101.2675167343050
"PHILIPPINES","01.1.1.16 - Corn",98.2673264727325
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",101.9443250459060
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",101.5947748454790
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",101.9446427723270
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",101.9736344940710
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",101.3364334030970
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",103.0653809021580
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",101.7000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",101.7256348142470
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",101.6087155720950
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",101.2183945292250
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",101.8065624008510
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",103.0000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",102.8985212342550
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",106.0129492356560
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",102.0705185839330
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",101.6955169946700
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",104.9813226297320
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",101.2000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",101.8501782136730
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",100.9102175519630
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",100.7808902900580
"PHILIPPINES","01.1.4.5 - Cheese (ND)",101.8802777243860
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",100.1109775992880
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",103.7912581092090
"PHILIPPINES","01.1.4.8 - Eggs (ND)",101.3037600214040
"PHILIPPINES","01.1.5 - Oils and fats (ND)",101.6000000000000
