"Geolocation","Commodity Description","2022 Aug"
"PHILIPPINES","0 - ALL ITEMS",116.3000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",116.1000000000000
"PHILIPPINES","01.1 - FOOD",116.5000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",101.4000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",96.3288675884562
"PHILIPPINES","01.1.1.12 - Rice",94.2307348136348
"PHILIPPINES","01.1.1.16 - Corn",134.8863227987530
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",117.3967496365410
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",115.2164869529150
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",117.4004760156100
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",112.3683963551650
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",116.8004478020730
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",119.5095967756590
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",132.9000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",137.5918962761780
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",120.3166914122590
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",140.7493984728510
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",116.5853917214620
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",125.0000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",125.0976864317100
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",135.9182119531050
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",116.7803342191350
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",122.4549411694170
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",124.9337197951830
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",114.4000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",123.0637779862670
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",106.4189359754810
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",104.0548838659460
"PHILIPPINES","01.1.4.5 - Cheese (ND)",111.4826876267660
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",109.0371023231510
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",109.8415705332360
"PHILIPPINES","01.1.4.8 - Eggs (ND)",124.8903705850490
"PHILIPPINES","01.1.5 - Oils and fats (ND)",132.2000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",138.4907942264200
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",116.5421264501010
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",111.4043835830680
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",112.8446045119490
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",119.4000000000000
"PHILIPPINES","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",118.8119987876850
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",135.9369161771570
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",125.0513834974100
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",137.0460662991580
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",124.7961831836530
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",118.1740064041420
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",119.0351455360290
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",119.7000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",118.7666219850480
"PHILIPPINES","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",115.3115338061290
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",118.6923145174100
"PHILIPPINES","01.1.7.4 - Other vegetables, fresh or chilled (ND)",128.3847600709420
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",116.0623313358770
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",121.1686592841240
