"Geolocation","Commodity Description","2019 Jun"
"PHILIPPINES","0 - ALL ITEMS",103.1000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",103.2000000000000
"PHILIPPINES","01.1 - FOOD",103.1000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",103.3000000000000
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",103.3116073043410
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",102.9933154684810
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",103.2291293392320
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",103.0133159700320
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",102.4221757592450
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",105.4048875792390
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",102.9000000000000
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",101.5915171836720
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",102.0458343699570
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",102.9786016241980
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",105.0000000000000
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",107.4902660867040
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",103.8021302741270
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",103.7091367810130
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",108.4934420904170
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",101.5000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",103.4834201416380
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",101.1275209810230
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",101.5035931582520
"PHILIPPINES","01.1.4.5 - Cheese (ND)",102.7889942824320
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",100.1241089386610
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",104.3126842901460
"PHILIPPINES","01.1.4.8 - Eggs (ND)",101.5445402852770
"PHILIPPINES","01.1.5 - Oils and fats (ND)",101.3000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",101.0199738504930
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",104.5952316423220
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",101.6110772678190
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",91.8086706583110
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",106.8000000000000
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",111.8414247098250
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",113.3338593265000
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",96.3880985328418
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",109.9591716692070
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",102.8166760279020
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",102.9617661164720
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",104.7000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",104.1254933902070
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",105.5270430571630
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",106.2351204890530
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",104.4086692829860
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",101.8000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",100.9315302784190
