"Geolocation","Commodity Description","2021 Aug"
"PHILIPPINES","0 - ALL ITEMS",109.4000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",109.2000000000000
"PHILIPPINES","01.1 - FOOD",109.4000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",96.7000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",92.9423755216869
"PHILIPPINES","01.1.1.12 - Rice",92.1798195864375
"PHILIPPINES","01.1.1.16 - Corn",106.9558910968520
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",108.6623396144030
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",107.3355137098880
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",108.5045310361880
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",109.2905934647510
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",107.2163968113630
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",112.1822624875680
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",121.3000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",124.1514852640660
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",112.4654441700060
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",126.9915671327030
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",111.4290811015810
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",116.6000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",117.3563119005280
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",126.4565481630750
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",108.5060452394090
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",110.8772659479750
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",118.9558269726640
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",107.4000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",111.6833754772750
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",103.5307303722710
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",102.6768343810370
"PHILIPPINES","01.1.4.5 - Cheese (ND)",106.6220321187210
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",104.4617676939460
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",106.2852590794890
"PHILIPPINES","01.1.4.8 - Eggs (ND)",112.3776724998610
"PHILIPPINES","01.1.5 - Oils and fats (ND)",110.5000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",111.8787359469740
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",111.4037588741180
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",105.1261778099870
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",101.1061564067720
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",114.9000000000000
"PHILIPPINES","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",114.9201436700520
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",125.2883391801870
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",112.5491125961840
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",116.2080098099720
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",118.8436644614070
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",105.9935748032910
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",109.6516752101200
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",123.0000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",129.6777094712010
"PHILIPPINES","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",130.0056667225910
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",120.5357846010840
"PHILIPPINES","01.1.7.4 - Other vegetables, fresh or chilled (ND)",115.0650643497200
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",103.3887717458450
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",113.3687057938400
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",104.0000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",99.5976585990608
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",107.2426653881130
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",110.8577570565030
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",109.7762781920330
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",106.0181581754280
"PHILIPPINES","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",106.3337820675930
"PHILIPPINES","01.1.9 - Ready-made food and other food products n.e.c. (ND)",111.2000000000000
"PHILIPPINES","01.1.9.2 - Baby food (ND)",102.8679469432940
"PHILIPPINES","01.1.9.3 - Salt, condiments and sauces (ND)",112.1263327476910
"PHILIPPINES","01.1.9.4 - Spices, culinary herbs and seeds (ND)",123.1733133381080
"PHILIPPINES","01.1.9.9 - Other food products n.e.c. (ND)",111.7691382621550
"PHILIPPINES","01.2 - NON-ALCOHOLIC BEVERAGES",107.6000000000000
"PHILIPPINES","01.2.1 - Fruit and vegetable juices (ND)",117.7000000000000
"PHILIPPINES","01.2.1.0 - Fruit and vegetable juices (ND)",117.7164311247820
"PHILIPPINES","01.2.2 - Coffee and coffee substitutes (ND)",104.8000000000000
"PHILIPPINES","01.2.2.0 - Coffee and coffee substitutes (ND)",104.8071263867720
"PHILIPPINES","01.2.3 - Tea, maté and other plant products for infusion (ND)",106.8000000000000
"PHILIPPINES","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",106.8120080426450
"PHILIPPINES","01.2.4 - Cocoa drinks (ND)",111.3000000000000
