"Geolocation","Commodity Description","2018 Apr"
"PHILIPPINES","0 - ALL ITEMS",99.1000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",98.5000000000000
"PHILIPPINES","01.1 - FOOD",98.3000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",99.0000000000000
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",99.0319046295560
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",99.1838891318428
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",99.0563270251788
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",98.5681422642089
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",99.3443932547102
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",98.3922931943799
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",99.0000000000000
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",99.1959970794035
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",98.2972957645697
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",99.0834888547881
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",99.5000000000000
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",98.3138423140520
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",99.2053675446398
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",100.8282360534440
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",97.6033121468733
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",99.3000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",99.5917660153803
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",99.4100504651908
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",99.5137732584730
"PHILIPPINES","01.1.4.5 - Cheese (ND)",99.3003172066612
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",99.9563524976874
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",96.7405562126276
"PHILIPPINES","01.1.4.8 - Eggs (ND)",99.2918956577738
"PHILIPPINES","01.1.5 - Oils and fats (ND)",99.2000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",99.1048894512304
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",98.9712540761046
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",99.6168560072067
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",101.3786622500100
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",98.7000000000000
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",98.4168469614004
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",98.7889937515393
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",99.3345348034364
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",95.9000361072278
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",99.1397143165620
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",98.9278869686373
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",91.3000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",90.1193846383959
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",92.8650791727321
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",92.5481656001785
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",98.6515361453866
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",96.4000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",92.8388027284345
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",99.2572564247765
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",98.8870464206026
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",98.8211495750021
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",99.4600546596576
"PHILIPPINES","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",99.1750960930307
"PHILIPPINES","01.1.9 - Ready-made food and other food products n.e.c. (ND)",99.0000000000000
"PHILIPPINES","01.1.9.2 - Baby food (ND)",99.5821497281209
"PHILIPPINES","01.1.9.3 - Salt, condiments and sauces (ND)",99.1362990639287
"PHILIPPINES","01.1.9.4 - Spices, culinary herbs and seeds (ND)",97.8049314628954
"PHILIPPINES","01.1.9.9 - Other food products n.e.c. (ND)",99.4537267914214
"PHILIPPINES","01.2 - NON-ALCOHOLIC BEVERAGES",99.2000000000000
"PHILIPPINES","01.2.1 - Fruit and vegetable juices (ND)",99.1000000000000
"PHILIPPINES","01.2.1.0 - Fruit and vegetable juices (ND)",99.0853941048450
"PHILIPPINES","01.2.2 - Coffee and coffee substitutes (ND)",99.2000000000000
"PHILIPPINES","01.2.2.0 - Coffee and coffee substitutes (ND)",99.1900762721305
"PHILIPPINES","01.2.3 - Tea, maté and other plant products for infusion (ND)",99.8000000000000
"PHILIPPINES","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",99.7594566218312
"PHILIPPINES","01.2.4 - Cocoa drinks (ND)",98.4000000000000
"PHILIPPINES","01.2.4.0 - Cocoa drinks (ND)",98.3314886879841
"PHILIPPINES","01.2.5 - Water (ND)",99.9000000000000
"PHILIPPINES","01.2.5.0 - Water (ND)",99.8742502427208
"PHILIPPINES","01.2.6 - Soft drinks (ND)",99.5000000000000
"PHILIPPINES","01.2.6.0 - Soft drinks (ND)",99.4159382321388
"PHILIPPINES","01.2.9 - Other non-alcoholic beverages (ND)",98.3000000000000
"PHILIPPINES","01.2.9.0 - Other non-alcoholic beverages (ND)",98.3344329183065
"PHILIPPINES","02 - ALCOHOLIC BEVERAGES AND TOBACCO",99.3000000000000
"PHILIPPINES","02.1 - ALCOHOLIC BEVERAGES",99.1000000000000
"PHILIPPINES","02.1.1 - Spirits and liquors (ND)",99.2000000000000
"PHILIPPINES","02.1.1.0 - Spirits and liquors (ND)",99.1978271021151
"PHILIPPINES","02.1.2 - Wine (ND)",99.0000000000000
"PHILIPPINES","02.1.2.1 - Wine from grapes (ND)",99.2407362311427
"PHILIPPINES","02.1.2.2 - Wine from other sources (ND)",98.9693787411913
"PHILIPPINES","02.1.3 - Beer (ND)",99.1000000000000
"PHILIPPINES","02.1.3.0 - Beer (ND)",99.1206344891571
"PHILIPPINES","02.3 - TOBACCO",99.5000000000000
"PHILIPPINES","02.3.0 - Tobacco (ND)",99.5000000000000
"PHILIPPINES","02.3.0.1 - Cigarettes (ND)",99.4782473381473
"PHILIPPINES","02.3.0.2 - Cigars (ND)",98.7650104797557
"PHILIPPINES","02.3.0.9 - Other tobacco products (ND)",98.8033004847022
"PHILIPPINES","02.4 - OTHER VEGETABLE-BASED TOBACCO PRODUCTS",97.2000000000000
"PHILIPPINES","02.4.0 - Other vegetable-based tobacco products (ND)",97.2000000000000
"PHILIPPINES","02.4.0.0 - Other vegetable-based tobacco products (ND)",97.2068900360469
"PHILIPPINES","02.900 - NON-FOOD",99.3000000000000
"PHILIPPINES","03 - CLOTHING AND FOOTWEAR",99.5000000000000
"PHILIPPINES","03.1 - CLOTHING",99.4000000000000
"PHILIPPINES","03.1.1 - Clothing materials (SD)",99.5000000000000
"PHILIPPINES","03.1.1.0 - Clothing materials (SD)",99.4747384555971
"PHILIPPINES","03.1.2 - Garments (SD)",99.5000000000000
"PHILIPPINES","03.1.2.1 - Garments for men or boys (SD)",99.4886378272277
"PHILIPPINES","03.1.2.2 - Garments for women or girls (SD)",99.5269850588634
