"Geolocation","Commodity Description","2023 Apr"
"PHILIPPINES","0 - ALL ITEMS",120.9000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",121.4000000000000
"PHILIPPINES","01.1 - FOOD",121.8000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",104.5000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",97.9311571283275
"PHILIPPINES","01.1.1.12 - Rice",95.7228376611656
"PHILIPPINES","01.1.1.16 - Corn",138.5135168182990
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",125.3608882202410
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",122.1345164121860
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",125.5445631097400
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",118.1537904127340
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",124.2170863400980
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",127.9666641663420
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",134.1000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",137.5326994491060
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",127.1274777188370
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",142.1494343355020
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",121.9002454187880
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",132.5000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",131.5299099821910
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",149.4155644307640
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",126.0362650429730
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",131.2508347386900
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",135.9914480299530
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",123.6000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",136.0729690800460
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",112.5042959516530
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",113.3882562020630
"PHILIPPINES","01.1.4.5 - Cheese (ND)",120.5313288768110
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",120.9855504125980
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",115.5643403601880
"PHILIPPINES","01.1.4.8 - Eggs (ND)",138.2492810911590
