"Geolocation","Commodity Description","2019 Aug"
"PHILIPPINES","0 - ALL ITEMS",103.8000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",103.9000000000000
"PHILIPPINES","01.1 - FOOD",103.8000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",104.0000000000000
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",104.0063151478180
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",103.8566955032770
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",103.8929414294840
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",104.0540487619670
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",103.1789063677490
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",106.0767924490480
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",103.6000000000000
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",102.1799318238650
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",103.3490660145610
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",103.7209999488410
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",105.4000000000000
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",108.0723963537670
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",104.4328692974560
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",103.9797883706090
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",110.5436489793380
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",102.8000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",106.8679549472910
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",101.4695407105910
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",99.2238714066310
"PHILIPPINES","01.1.4.5 - Cheese (ND)",103.5437901174710
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",100.1496367418830
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",104.8432132731930
"PHILIPPINES","01.1.4.8 - Eggs (ND)",104.1745742221770
"PHILIPPINES","01.1.5 - Oils and fats (ND)",101.7000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",101.4407028504420
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",105.2425689419430
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",101.8946907371950
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",90.7423023668202
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",107.7000000000000
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",110.2763159995690
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",120.0566732978200
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",100.9542813999410
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",111.4875950850600
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",103.5183216560640
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",103.4161912159500
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",104.1000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",101.0099305674060
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",103.4626523256870
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",111.9200608240100
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",104.3994637222910
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",101.7000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",99.6916590417943
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",103.3274281525790
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",105.1553349367240
