"Geolocation","Commodity Description","2020 Aug"
"PHILIPPINES","0 - ALL ITEMS",107.4000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",106.9000000000000
"PHILIPPINES","01.1 - FOOD",107.0000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",106.7000000000000
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",106.7231140436220
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",106.5215300644110
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",106.5078385770440
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",107.7078926030820
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",105.4484034765990
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",109.9969463786040
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",106.1000000000000
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",105.9687323352620
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",108.3732323412970
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",105.8801696558120
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",109.3000000000000
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",115.7571515924540
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",107.0376681547180
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",105.8482614191980
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",114.2784718592280
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",106.9000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",110.2282038893480
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",102.7132053836510
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",101.1550810064650
"PHILIPPINES","01.1.4.5 - Cheese (ND)",105.9888401621710
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",102.7480042865490
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",106.0686053345680
"PHILIPPINES","01.1.4.8 - Eggs (ND)",112.3256924754050
"PHILIPPINES","01.1.5 - Oils and fats (ND)",104.6000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",104.6250857933290
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",108.7114685595060
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",102.9882294868940
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",94.0913967646403
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",113.4000000000000
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",117.0060825725540
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",133.2528723083700
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",107.2017027303510
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",115.2761065414020
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",106.0387122514360
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",107.9611889953280
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",106.2000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",102.8991855240570
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",100.1275216098970
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",114.2731476258590
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",109.2346284136010
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",102.8000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",99.0693003806256
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",105.4963748616030
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",109.2499549061920
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",107.8036945645730
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",104.5378537473790
"PHILIPPINES","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",103.5747235922500
"PHILIPPINES","01.1.9 - Ready-made food and other food products n.e.c. (ND)",110.2000000000000
"PHILIPPINES","01.1.9.2 - Baby food (ND)",102.4414483066810
"PHILIPPINES","01.1.9.3 - Salt, condiments and sauces (ND)",108.9523473414230
"PHILIPPINES","01.1.9.4 - Spices, culinary herbs and seeds (ND)",127.1175636553390
"PHILIPPINES","01.1.9.9 - Other food products n.e.c. (ND)",110.2680467931690
"PHILIPPINES","01.2 - NON-ALCOHOLIC BEVERAGES",106.5000000000000
"PHILIPPINES","01.2.1 - Fruit and vegetable juices (ND)",114.8000000000000
"PHILIPPINES","01.2.1.0 - Fruit and vegetable juices (ND)",114.7710418880440
"PHILIPPINES","01.2.2 - Coffee and coffee substitutes (ND)",104.4000000000000
"PHILIPPINES","01.2.2.0 - Coffee and coffee substitutes (ND)",104.3659542340400
"PHILIPPINES","01.2.3 - Tea, maté and other plant products for infusion (ND)",104.6000000000000
"PHILIPPINES","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",104.6422798453000
"PHILIPPINES","01.2.4 - Cocoa drinks (ND)",109.9000000000000
"PHILIPPINES","01.2.4.0 - Cocoa drinks (ND)",109.8813285577000
"PHILIPPINES","01.2.5 - Water (ND)",103.5000000000000
"PHILIPPINES","01.2.5.0 - Water (ND)",103.4444338747450
"PHILIPPINES","01.2.6 - Soft drinks (ND)",108.1000000000000
"PHILIPPINES","01.2.6.0 - Soft drinks (ND)",108.1347519215050
"PHILIPPINES","01.2.9 - Other non-alcoholic beverages (ND)",113.2000000000000
"PHILIPPINES","01.2.9.0 - Other non-alcoholic beverages (ND)",113.2769044806940
"PHILIPPINES","02 - ALCOHOLIC BEVERAGES AND TOBACCO",130.4000000000000
"PHILIPPINES","02.1 - ALCOHOLIC BEVERAGES",114.2000000000000
"PHILIPPINES","02.1.1 - Spirits and liquors (ND)",115.6000000000000
"PHILIPPINES","02.1.1.0 - Spirits and liquors (ND)",115.5485952877700
"PHILIPPINES","02.1.2 - Wine (ND)",109.9000000000000
"PHILIPPINES","02.1.2.1 - Wine from grapes (ND)",108.5082521658170
"PHILIPPINES","02.1.2.2 - Wine from other sources (ND)",110.2449168850470
"PHILIPPINES","02.1.3 - Beer (ND)",113.2000000000000
"PHILIPPINES","02.1.3.0 - Beer (ND)",113.2253280903820
"PHILIPPINES","02.3 - TOBACCO",141.5000000000000
"PHILIPPINES","02.3.0 - Tobacco (ND)",141.5000000000000
"PHILIPPINES","02.3.0.1 - Cigarettes (ND)",141.7031260525910
"PHILIPPINES","02.3.0.2 - Cigars (ND)",139.7261285561420
"PHILIPPINES","02.3.0.9 - Other tobacco products (ND)",125.2941311599050
"PHILIPPINES","02.4 - OTHER VEGETABLE-BASED TOBACCO PRODUCTS",118.1000000000000
"PHILIPPINES","02.4.0 - Other vegetable-based tobacco products (ND)",118.1000000000000
"PHILIPPINES","02.4.0.0 - Other vegetable-based tobacco products (ND)",118.1426283752660
"PHILIPPINES","02.900 - NON-FOOD",106.5000000000000
"PHILIPPINES","03 - CLOTHING AND FOOTWEAR",105.3000000000000
"PHILIPPINES","03.1 - CLOTHING",105.3000000000000
"PHILIPPINES","03.1.1 - Clothing materials (SD)",104.9000000000000
"PHILIPPINES","03.1.1.0 - Clothing materials (SD)",104.8127388947670
"PHILIPPINES","03.1.2 - Garments (SD)",105.1000000000000
"PHILIPPINES","03.1.2.1 - Garments for men or boys (SD)",105.1755295419760
"PHILIPPINES","03.1.2.2 - Garments for women or girls (SD)",105.0459662056970
"PHILIPPINES","03.1.2.3 - Garments for infants (0 to under 2 years) (SD)",105.8008552667870
"PHILIPPINES","03.1.2.4 - School uniforms (SD)",107.0701363626720
"PHILIPPINES","03.1.3 - Other articles of clothing and clothing accessories (SD)",106.5000000000000
"PHILIPPINES","03.1.3.1 - Other articles of clothing (SD)",105.9627324750880
"PHILIPPINES","03.1.3.2 - Clothing accessories (SD)",110.5338884501800
"PHILIPPINES","03.1.4 - Cleaning, repair, tailoring and hire of clothing (S)",111.1000000000000
"PHILIPPINES","03.1.4.1 - Cleaning of clothing (S)",109.9872641241590
"PHILIPPINES","03.1.4.2 - Repair, tailoring and hire of clothing (S)",113.9501213612980
"PHILIPPINES","03.2 - FOOTWEAR",105.4000000000000
"PHILIPPINES","03.2.1 - Shoes and other footwear (SD)",105.3000000000000
"PHILIPPINES","03.2.1.1 - Footwear for men (SD)",105.4621476757390
"PHILIPPINES","03.2.1.2 - Footwear for women (SD)",104.3289377585380
"PHILIPPINES","03.2.1.3 - Footwear for infants and children (SD)",106.0731232986810
"PHILIPPINES","03.2.2 - Cleaning, repair, and hire of footwear (S)",109.6000000000000
"PHILIPPINES","03.2.2.0 - Cleaning, repair, and hire of footwear (S)",109.5600181981770
"PHILIPPINES","04 - HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",106.7000000000000
"PHILIPPINES","04.1 - ACTUAL RENTALS FOR HOUSING",106.4000000000000
"PHILIPPINES","04.1.1 - Actual rentals paid by tenants for main residence (S)",106.4000000000000
"PHILIPPINES","04.1.1.0 - Actual rentals paid by tenants for main residence (S)",106.3898927745120
"PHILIPPINES","04.3 - MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING",106.3000000000000
"PHILIPPINES","04.3.1 - Security equipment and materials for the maintenance and repair of the dwelling (ND)",104.9000000000000
"PHILIPPINES","04.3.1.1 - Materials for the maintenance and repair of the dwelling (ND)",104.9433062520360
"PHILIPPINES","04.3.2 - Services for the maintenance, repair and security of the dwelling (S)",110.9000000000000
"PHILIPPINES","04.3.2.0 - Services for the maintenance, repair and security of the dwelling (S)",110.8959128394090
"PHILIPPINES","04.4 - WATER SUPPLY AND MISCELLANEOUS SERVICES RELATING TO THE DWELLING",105.3000000000000
"PHILIPPINES","04.4.1 - Water supply (ND)",105.3000000000000
"PHILIPPINES","04.4.1.1 - Water supply through network systems (ND)",105.2773504565260
"PHILIPPINES","04.5 - ELECTRICITY, GAS AND OTHER FUELS",113.5000000000000
"PHILIPPINES","04.5.3 - Liquid fuels (ND)",81.0000000000000
"PHILIPPINES","04.5.3.0 - Liquid fuels (ND)",80.9642339679907
"PHILIPPINES","04.5.4 - Solid fuels (ND)",115.2000000000000
"PHILIPPINES","04.5.4.2 - Wood fuel, including pellets and briquettes (ND)",115.3764838243540
"PHILIPPINES","04.5.4.3 - Charcoal (ND)",114.5195671665590
"PHILIPPINES","05 - FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",106.6000000000000
"PHILIPPINES","05.1 - FURNITURE, FURNISHINGS, AND LOOSE CARPETS",104.0000000000000
"PHILIPPINES","05.1.1 - Furniture, furnishings and loose carpets (D)",104.0000000000000
"PHILIPPINES","05.1.1.1 - Household furniture (D)",103.9163608363680
"PHILIPPINES","05.1.1.3 - Lighting equipment (D)",106.6968283779130
"PHILIPPINES","05.1.1.4 - Furnishings, loose carpets and rugs (D)",104.5928321962470
"PHILIPPINES","05.2 - HOUSEHOLD TEXTILES",103.4000000000000
"PHILIPPINES","05.2.1 - Household textiles (SD)",103.4000000000000
"PHILIPPINES","05.2.1.1 - Furnishing fabrics and curtains (SD)",102.5232189446300
"PHILIPPINES","05.2.1.2 - Bed linen and bedding (SD)",103.7713422107920
"PHILIPPINES","05.2.1.3 - Table linen and bathroom linen (SD)",103.7366243844060
"PHILIPPINES","05.2.1.9 - Other household textiles (SD)",105.4241466954780
"PHILIPPINES","05.3 - HOUSEHOLD APPLIANCES",103.7000000000000
"PHILIPPINES","05.3.1 - Major household appliances, whether electric or not (D)",103.3000000000000
