"Geolocation","Commodity Description","2009 Jan","2009 Feb","2009 Mar","2009 Apr","2009 May","2009 Jun","2009 Jul","2009 Aug","2009 Sep","2009 Oct","2009 Nov","2009 Dec","2009 Ave"
"....Lanao del Norte","0 - ALL ITEMS",72.430519547536200,72.990068625585800,73.300929224502300,73.860478302551900,74.171338901468400,74.420027380601600,74.730887979518000,74.606543739951400,74.171338901468400,74.357855260818300,74.730887979518000,75.663469776267400,74.119528801649000
"....Lanao del Norte","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",74.733918367936400,75.817018634138400,76.178052056205700,76.900118900340300,77.562013507463800,77.140807848385200,77.381496796430100,77.020463374362800,76.178052056205700,76.599257715284200,77.381496796430100,79.246836143777900,76.844961016413400
"....Lanao del Norte","01.1 - FOOD",74.176604202157900,75.359644141586200,75.773708120386100,76.542684081014600,77.252508044671600,76.779292068900300,77.015900056785900,76.660988074957400,75.773708120386100,76.246924096157500,77.134204050728800,79.027067953814100,76.478602750962200
"....Lanao del Norte","01.1.1 - Cereals and cereal products (ND)",75.503098028375100,77.234308116303800,78.686290770695600,81.478565106064600,82.539629353504700,82.037019973138300,81.255183159235000,80.920110238990800,78.742136257403000,78.797981744110400,79.691509531428400,81.478565106064600,79.863699782109500
"....Lanao del Norte","01.1.1.1 - Cereals (ND)",77.014188898815100,79.069708394798400,80.727585938957800,84.373890708837200,85.588859845087700,84.909606225050800,83.886111465886300,83.641849363748300,81.186545593488000,81.247250208550200,82.279973625933000,84.353205477027600,82.356564645515000
"....Lanao del Norte","01.1.1.12 - Rice",75.030769578939900,77.932191449741900,80.543471133463700,82.922637067521300,84.721518627418600,84.721518627418600,84.373348002922300,84.083205815842100,81.878125194032600,81.820096756616600,82.864608630105300,85.127717689330900,82.168267381112800
"....Lanao del Norte","01.1.1.16 - Corn",87.573763343913600,85.125762575333800,81.707799238071300,92.100255331099000,90.206518887480700,85.910970369029200,81.292100994350200,81.292100994350200,77.504628107113400,78.197458513315300,79.167421081997900,80.229761038174000,83.359045039519100
"....Lanao del Norte","01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",69.651805465087000,69.813036496256200,69.974267527425400,69.866780173312600,69.974267527425400,70.189242235651000,70.189242235651000,69.383087079805100,68.361957215733600,68.469444569846400,68.684419278071900,69.221856048635900,69.481617154408400
"....Lanao del Norte","01.1.2 - Meat and other parts of slaughtered land animals (ND)",71.965525911924600,72.151323311008700,72.584850575538400,72.894512907345300,73.328040171875000,73.575770037320500,74.380892100018400,74.318959633657100,74.442824566379800,74.876351830909500,76.300798557221300,78.592299812592400,74.117679117982600
"....Lanao del Norte","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",72.702280064568200,72.765334947538300,73.143664245359200,73.458938660209800,73.963377723971000,74.215597255851500,74.972255851493100,74.909200968523000,75.161420500403600,75.539749798224400,77.431396287328500,80.079701372074300,74.861909806295400
"....Lanao del Norte","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",71.669749771253500,71.731909137924200,72.104865337948000,72.415662171301300,72.912937104666400,73.161574571349000,73.907486971396800,73.845327604726100,74.093965071408700,74.466921271432500,76.331702271551900,78.942395671719000,73.798708079723100
"....Lanao del Norte","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",79.788597819658600,79.925339204096800,80.403934049630300,80.677416818506600,81.156011664040100,81.429494432916400,82.660166892859700,82.523425508421600,81.908089278449900,83.002020353955100,83.002020353955100,85.600106658279900,81.839718586230800
"....Lanao del Norte","01.1.3 - Fish and other seafood (ND)",74.404761904761900,75.093694885361600,73.778459195125900,73.841089466089500,72.839005130671800,72.525853775853800,73.841089466089500,74.467392175725500,76.972603014269700,75.406846240179600,75.782627865961200,78.037317620651000,74.749228395061700
"....Lanao del Norte","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",67.588576874308500,68.598114990429600,65.771408265290500,67.891438309144800,65.216162301423900,64.559962525945100,64.761870149169400,66.730469475605500,67.235238533666100,65.115208489811700,65.619977547872300,69.052407142684100,66.511736217112600
"....Lanao del Norte","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",65.906920745630400,65.733936701678600,65.214984569823300,65.214984569823300,64.811355133935800,65.042000525871500,65.733936701678600,65.964582093614400,67.809745229100100,67.348454445228600,68.271036012971500,67.060147705309000,66.176007036222100
"....Lanao del Norte","01.1.3.3 - Fish preparations (ND)",70.782457146446900,70.969054133652000,70.720258150711900,70.658059154976900,70.160467189096800,70.720258150711900,70.720258150711900,70.844656142181900,71.031253129387000,71.715442082472100,71.280049112327000,71.466646099532100,70.922404886850700
"....Lanao del Norte","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",83.988355167394500,84.934497816593900,83.842794759825300,82.969432314410500,82.459970887918500,82.096069868995600,84.352256186317300,84.570596797671000,88.646288209607000,86.681222707423600,86.972343522561900,90.101892285298400,85.134643377001500
"....Lanao del Norte","01.1.3.6 - Other seafood preparations (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.4 - Milk, other dairy products and eggs (ND)",81.456196542262100,81.118764079369500,80.983791094212500,80.443899153584400,80.578872138741400,80.308926168427400,80.781331616476900,80.916304601634000,76.732142061766300,80.578872138741400,81.186250571948000,81.321223557105000,80.533881143689100
"....Lanao del Norte","01.1.4.1 - Raw and whole milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.4.3 - Other milk and cream (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.4.4 - Non-animal milk (ND)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Lanao del Norte","01.1.4.5 - Cheese (ND)",79.809849767133100,79.249998911401100,78.627942405032200,78.627942405032200,78.627942405032200,77.135006789746800,78.565736754395300,78.752353706306000,78.752353706306000,78.752353706306000,78.814559356942900,78.814559356942900,78.710883272548000
