"Geolocation","Commodity Description","2022 Sep"
"PHILIPPINES","0 - ALL ITEMS",116.0000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",119.3000000000000
"PHILIPPINES","01.1 - FOOD",120.9000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",118.7000000000000
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",118.7242201737740
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",116.4992815435690
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",118.8007359277890
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",112.6136800692000
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",118.0666730084150
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",120.7159191751170
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",119.0000000000000
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",121.5397878068240
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",138.4510303689030
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",117.0467839779800
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",125.8000000000000
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",137.9331328541800
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",118.0630391229930
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",123.0177413959180
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",126.8215289286260
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",115.4000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",125.0080265465760
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",107.0013134041870
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",104.1211564281140
"PHILIPPINES","01.1.4.5 - Cheese (ND)",112.2705341689400
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",110.7347569336940
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",110.2403295894550
"PHILIPPINES","01.1.4.8 - Eggs (ND)",126.4209793845480
"PHILIPPINES","01.1.5 - Oils and fats (ND)",133.4000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",139.7083444743790
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",118.0431766294630
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",112.5230445207590
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",116.5593946291760
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",125.3000000000000
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",135.9100158032050
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",124.0456248096510
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",132.0216415842440
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",125.4016216725380
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",119.1745264616140
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",120.1963741996910
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",120.1000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",121.4731868124050
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",117.1113201907010
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",115.9845599429740
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",122.5172524415520
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",135.7000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",163.4577896385240
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",115.2384481651450
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",119.6216745930390
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",114.6990454435290
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",111.5475183173920
"PHILIPPINES","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",110.8732234253810
"PHILIPPINES","01.1.9 - Ready-made food and other food products n.e.c. (ND)",118.6000000000000
"PHILIPPINES","01.1.9.2 - Baby food (ND)",110.3484363347690
"PHILIPPINES","01.1.9.3 - Salt, condiments and sauces (ND)",123.3250814240410
"PHILIPPINES","01.1.9.4 - Spices, culinary herbs and seeds (ND)",121.4623799464140
"PHILIPPINES","01.1.9.9 - Other food products n.e.c. (ND)",118.2230623264460
"PHILIPPINES","01.2 - NON-ALCOHOLIC BEVERAGES",112.2000000000000
"PHILIPPINES","01.2.1 - Fruit and vegetable juices (ND)",123.8000000000000
"PHILIPPINES","01.2.1.0 - Fruit and vegetable juices (ND)",123.8003783120470
"PHILIPPINES","01.2.2 - Coffee and coffee substitutes (ND)",108.8000000000000
"PHILIPPINES","01.2.2.0 - Coffee and coffee substitutes (ND)",108.7831447084660
"PHILIPPINES","01.2.3 - Tea, maté and other plant products for infusion (ND)",112.7000000000000
"PHILIPPINES","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",112.7008952078200
"PHILIPPINES","01.2.4 - Cocoa drinks (ND)",117.3000000000000
"PHILIPPINES","01.2.4.0 - Cocoa drinks (ND)",117.2135048043950
"PHILIPPINES","01.2.5 - Water (ND)",107.4000000000000
"PHILIPPINES","01.2.5.0 - Water (ND)",107.4039484655750
"PHILIPPINES","01.2.6 - Soft drinks (ND)",115.5000000000000
"PHILIPPINES","01.2.6.0 - Soft drinks (ND)",115.4576577362820
"PHILIPPINES","01.2.9 - Other non-alcoholic beverages (ND)",121.3000000000000
"PHILIPPINES","01.2.9.0 - Other non-alcoholic beverages (ND)",121.3029787944040
"PHILIPPINES","02 - ALCOHOLIC BEVERAGES AND TOBACCO",156.8000000000000
"PHILIPPINES","02.1 - ALCOHOLIC BEVERAGES",127.5000000000000
"PHILIPPINES","02.1.1 - Spirits and liquors (ND)",128.6000000000000
"PHILIPPINES","02.1.1.0 - Spirits and liquors (ND)",128.6243089702110
"PHILIPPINES","02.1.2 - Wine (ND)",119.8000000000000
"PHILIPPINES","02.1.2.1 - Wine from grapes (ND)",115.9361314955730
"PHILIPPINES","02.1.2.2 - Wine from other sources (ND)",120.6992694364050
"PHILIPPINES","02.1.3 - Beer (ND)",127.0000000000000
"PHILIPPINES","02.1.3.0 - Beer (ND)",126.9810962155620
"PHILIPPINES","02.3 - TOBACCO",177.2000000000000
"PHILIPPINES","02.3.0 - Tobacco (ND)",177.2000000000000
"PHILIPPINES","02.3.0.1 - Cigarettes (ND)",177.7055988123390
"PHILIPPINES","02.3.0.2 - Cigars (ND)",166.1298187294000
"PHILIPPINES","02.3.0.9 - Other tobacco products (ND)",138.2339332558620
"PHILIPPINES","02.4 - OTHER VEGETABLE-BASED TOBACCO PRODUCTS",148.7000000000000
"PHILIPPINES","02.4.0 - Other vegetable-based tobacco products (ND)",148.7000000000000
"PHILIPPINES","02.4.0.0 - Other vegetable-based tobacco products (ND)",148.7165118056010
"PHILIPPINES","02.900 - NON-FOOD",113.3000000000000
"PHILIPPINES","03 - CLOTHING AND FOOTWEAR",110.5000000000000
"PHILIPPINES","03.1 - CLOTHING",110.1000000000000
"PHILIPPINES","03.1.1 - Clothing materials (SD)",108.2000000000000
"PHILIPPINES","03.1.1.0 - Clothing materials (SD)",108.1185933093130
"PHILIPPINES","03.1.2 - Garments (SD)",109.8000000000000
"PHILIPPINES","03.1.2.1 - Garments for men or boys (SD)",109.8214971215090
"PHILIPPINES","03.1.2.2 - Garments for women or girls (SD)",109.6961886296340
"PHILIPPINES","03.1.2.3 - Garments for infants (0 to under 2 years) (SD)",111.6562011490470
"PHILIPPINES","03.1.2.4 - School uniforms (SD)",115.4340162550240
"PHILIPPINES","03.1.3 - Other articles of clothing and clothing accessories (SD)",110.4000000000000
"PHILIPPINES","03.1.3.1 - Other articles of clothing (SD)",109.8568590425810
"PHILIPPINES","03.1.3.2 - Clothing accessories (SD)",114.8167812246580
"PHILIPPINES","03.1.4 - Cleaning, repair, tailoring and hire of clothing (S)",119.7000000000000
"PHILIPPINES","03.1.4.1 - Cleaning of clothing (S)",119.4304283577490
"PHILIPPINES","03.1.4.2 - Repair, tailoring and hire of clothing (S)",120.5745815608210
"PHILIPPINES","03.2 - FOOTWEAR",111.5000000000000
"PHILIPPINES","03.2.1 - Shoes and other footwear (SD)",111.5000000000000
"PHILIPPINES","03.2.1.1 - Footwear for men (SD)",112.2801776771180
"PHILIPPINES","03.2.1.2 - Footwear for women (SD)",110.3895656378080
"PHILIPPINES","03.2.1.3 - Footwear for infants and children (SD)",111.5313735135330
"PHILIPPINES","03.2.2 - Cleaning, repair, and hire of footwear (S)",115.7000000000000
"PHILIPPINES","03.2.2.0 - Cleaning, repair, and hire of footwear (S)",115.7383055075130
"PHILIPPINES","04 - HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",111.9000000000000
"PHILIPPINES","04.1 - ACTUAL RENTALS FOR HOUSING",111.4000000000000
"PHILIPPINES","04.1.1 - Actual rentals paid by tenants for main residence (S)",111.4000000000000
"PHILIPPINES","04.1.1.0 - Actual rentals paid by tenants for main residence (S)",111.3448765998040
"PHILIPPINES","04.3 - MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING",114.1000000000000
"PHILIPPINES","04.3.1 - Security equipment and materials for the maintenance and repair of the dwelling (ND)",112.4000000000000
"PHILIPPINES","04.3.1.1 - Materials for the maintenance and repair of the dwelling (ND)",112.3623082814040
"PHILIPPINES","04.3.2 - Services for the maintenance, repair and security of the dwelling (S)",120.4000000000000
"PHILIPPINES","04.3.2.0 - Services for the maintenance, repair and security of the dwelling (S)",120.4305746310130
"PHILIPPINES","04.4 - WATER SUPPLY AND MISCELLANEOUS SERVICES RELATING TO THE DWELLING",104.8000000000000
"PHILIPPINES","04.4.1 - Water supply (ND)",104.8000000000000
"PHILIPPINES","04.4.1.1 - Water supply through network systems (ND)",104.8085546483960
"PHILIPPINES","04.5 - ELECTRICITY, GAS AND OTHER FUELS",126.9000000000000
"PHILIPPINES","04.5.3 - Liquid fuels (ND)",164.4000000000000
"PHILIPPINES","04.5.3.0 - Liquid fuels (ND)",164.4376061903220
"PHILIPPINES","04.5.4 - Solid fuels (ND)",125.1000000000000
"PHILIPPINES","04.5.4.2 - Wood fuel, including pellets and briquettes (ND)",123.8800180245930
"PHILIPPINES","04.5.4.3 - Charcoal (ND)",128.1417686218980
"PHILIPPINES","05 - FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",112.9000000000000
"PHILIPPINES","05.1 - FURNITURE, FURNISHINGS, AND LOOSE CARPETS",108.0000000000000
"PHILIPPINES","05.1.1 - Furniture, furnishings and loose carpets (D)",108.0000000000000
"PHILIPPINES","05.1.1.1 - Household furniture (D)",107.7681675483310
"PHILIPPINES","05.1.1.3 - Lighting equipment (D)",112.5700211721850
"PHILIPPINES","05.1.1.4 - Furnishings, loose carpets and rugs (D)",108.6783174810950
"PHILIPPINES","05.2 - HOUSEHOLD TEXTILES",106.8000000000000
"PHILIPPINES","05.2.1 - Household textiles (SD)",106.8000000000000
"PHILIPPINES","05.2.1.1 - Furnishing fabrics and curtains (SD)",105.5156458342300
"PHILIPPINES","05.2.1.2 - Bed linen and bedding (SD)",107.2408611384860
"PHILIPPINES","05.2.1.3 - Table linen and bathroom linen (SD)",107.9255776909060
"PHILIPPINES","05.2.1.9 - Other household textiles (SD)",108.4638131996780
"PHILIPPINES","05.3 - HOUSEHOLD APPLIANCES",107.3000000000000
"PHILIPPINES","05.3.1 - Major household appliances, whether electric or not (D)",106.8000000000000
"PHILIPPINES","05.3.1.1 - Major kitchen appliances (D)",108.3060360961630
"PHILIPPINES","05.3.1.2 - Major laundry appliances (D)",105.0059771286750
"PHILIPPINES","05.3.1.3 - Heaters, air conditioners (D)",104.7836381607240
"PHILIPPINES","05.3.2 - Small household appliances (SD)",110.4000000000000
"PHILIPPINES","05.3.2.1 - Small appliances for cooking and processing of food (SD)",110.7312298747230
"PHILIPPINES","05.3.2.9 - Other small household appliances (SD)",110.3312507666150
"PHILIPPINES","05.3.3 - Repair, installation and hire of household appliances (S)",107.9000000000000
"PHILIPPINES","05.3.3.0 - Repair, installation and hire of household appliances (S)",107.8767611975140
"PHILIPPINES","05.4 - GLASSWARE, TABLEWARE AND HOUSEHOLD UTENSILS",110.9000000000000
"PHILIPPINES","05.4.0 - Glassware, tableware and household utensils (SD)",110.9000000000000
"PHILIPPINES","05.4.0.1 - Glassware, crystal-ware, ceramic ware and chinaware (SD)",112.0621647676320
"PHILIPPINES","05.4.0.2 - Cutlery, flatware and silverware (SD)",108.1993679430550
"PHILIPPINES","05.4.0.3 - Kitchen utensils and articles (SD)",109.9053804349880
"PHILIPPINES","05.5 - TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN",108.0000000000000
"PHILIPPINES","05.5.1 - Motorized tools and equipment (D)",103.6000000000000
"PHILIPPINES","05.5.1.0 - Motorized tools and equipment (D)",103.6418483798300
"PHILIPPINES","05.5.2 - Non-motorized tools and miscellaneous accessories (SD)",109.3000000000000
"PHILIPPINES","05.5.2.1 - Non-motorized tools (SD)",110.6518408979820
"PHILIPPINES","05.5.2.2 - Miscellaneous accessories (SD)",108.1634704717220
"PHILIPPINES","05.6 - GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE",115.4000000000000
"PHILIPPINES","05.6.1 - Non-durable household goods (ND)",112.0000000000000
"PHILIPPINES","05.6.1.1 - Household cleaning and maintenance products (ND)",112.6004603108030
"PHILIPPINES","05.6.1.9 - Other non-durable household goods (ND)",111.8683610112530
"PHILIPPINES","05.6.2 - Domestic services and household services (S)",121.6000000000000
"PHILIPPINES","05.6.2.1 - Domestic services by paid staff (S)",121.5617349394260
"PHILIPPINES","06 - HEALTH",115.7000000000000
"PHILIPPINES","06.1 - MEDICINES AND HEALTH PRODUCTS",113.6000000000000
"PHILIPPINES","06.1.1 - Medicines (ND)",113.8000000000000
"PHILIPPINES","06.1.1.1 - Medicines, vaccines and other pharmaceutical preparations (ND)",113.7671268174620
"PHILIPPINES","06.1.2 - Medical products (ND)",105.7000000000000
"PHILIPPINES","06.1.2.1 - Medical diagnostic products (ND)",112.6089348060820
"PHILIPPINES","06.1.2.2 - Prevention and protective devices (ND)",93.7257305482326
"PHILIPPINES","06.1.2.3 - Treatment devices for personal use (ND)",111.8227692353040
"PHILIPPINES","06.1.3 - Assistive products (D)",110.4000000000000
"PHILIPPINES","06.1.3.1 - Assistive products for vision (D)",110.4182918614150
"PHILIPPINES","06.2 - OUTPATIENT CARE SERVICES",124.4000000000000
"PHILIPPINES","06.2.1 - Preventive care services (S)",117.6000000000000
"PHILIPPINES","06.2.1.9 - Other preventive services (S)",117.6550764614610
"PHILIPPINES","06.2.2 - Outpatient dental services (S)",137.2000000000000
"PHILIPPINES","06.2.2.1 - Dental preventive services (S)",137.1341125719040
"PHILIPPINES","06.2.3 - Other outpatient care services (S)",128.6000000000000
"PHILIPPINES","06.2.3.1 - Outpatient curative and rehabilitative services (S)",128.5732653323620
"PHILIPPINES","06.3 - INPATIENT CARE SERVICES",115.5000000000000
"PHILIPPINES","06.3.1 - Inpatient curative and rehabilitative services (S)",115.5000000000000
"PHILIPPINES","06.3.1.0 - Inpatient curative and rehabilitative services (S)",115.5600151271410
"PHILIPPINES","06.4 - OTHER HEALTH SERVICES",119.6000000000000
"PHILIPPINES","06.4.1 - Diagnostic imaging services and medical laboratory services (S)",119.6000000000000
"PHILIPPINES","06.4.1.0 - Diagnostic imaging services and medical laboratory services (S)",119.5477304432150
"PHILIPPINES","07 - TRANSPORT",122.5000000000000
"PHILIPPINES","07.1 - PURCHASE OF VEHICLES",110.6000000000000
"PHILIPPINES","07.1.1 - Motor cars (D)",102.9000000000000
"PHILIPPINES","07.1.1.1 - New motor cars (D)",102.8507859370330
"PHILIPPINES","07.1.2 - Motorcycles (D)",109.0000000000000
"PHILIPPINES","07.1.2.0 - Motorcycles (D)",108.9971237218900
"PHILIPPINES","07.1.3 - Bicycles (D)",128.4000000000000
"PHILIPPINES","07.1.3.0 - Bicycles (D)",128.4017261631890
"PHILIPPINES","07.2 - OPERATION OF PERSONAL TRANSPORT EQUIPMENT",108.3000000000000
"PHILIPPINES","07.2.1 - Parts and accessories for personal transport equipment (SD)",109.1000000000000
"PHILIPPINES","07.2.1.1 - Tires (SD)",108.2951682902560
"PHILIPPINES","07.2.1.2 - Parts for personal transport equipment (SD)",109.8607173015680
"PHILIPPINES","07.2.1.3 - Accessories for personal transport equipment (SD)",98.4557348101774
"PHILIPPINES","07.2.2 - Fuels and lubricants for personal transport equipment (ND)",113.5000000000000
"PHILIPPINES","07.2.2.3 - Other fuels for personal transport equipment (ND)",134.7725008302890
"PHILIPPINES","07.2.2.4 - Lubricants (ND)",109.5235150413180
"PHILIPPINES","07.2.3 - Maintenance and repair of personal transport equipment (S)",108.5000000000000
"PHILIPPINES","07.2.3.0 - Maintenance and repair of personal transport equipment (S)",108.4975475136300
"PHILIPPINES","07.2.4 - Other services in respect of personal transport equipment (S)",102.6000000000000
"PHILIPPINES","07.2.4.2 - Toll facilities (S)",102.8555523487180
"PHILIPPINES","07.2.4.3 - Driving lessons, tests, licences, and road worthiness tests (S)",100.1672016787300
"PHILIPPINES","07.3 - PASSENGER TRANSPORT SERVICES",128.4000000000000
"PHILIPPINES","07.3.1 - Passenger transport by railway (S)",100.0000000000000
"PHILIPPINES","07.3.1.1 - Passenger transport by train (S)",100.0000000000000
"PHILIPPINES","07.3.1.2 - Passenger transport by rapid transit and tram (S)",100.0000000000000
"PHILIPPINES","07.3.2 - Passenger transport by road (S)",129.0000000000000
"PHILIPPINES","07.3.2.1 - Passenger transport by bus and coach (S)",111.3389518490910
