"Geolocation","Commodity Description","2019 Oct"
"PHILIPPINES","0 - ALL ITEMS",102.9000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",102.1000000000000
"PHILIPPINES","01.1 - FOOD",101.9000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",95.6000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",92.9090629816634
"PHILIPPINES","01.1.1.12 - Rice",92.6794983642577
"PHILIPPINES","01.1.1.16 - Corn",97.1277795279720
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",104.3835599324600
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",104.1673988341080
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",104.2151987514290
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",104.6638243824390
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",103.5418269090200
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",106.7507567498800
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",105.7000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",106.3569810896300
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",103.3250379135220
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",105.5325365899410
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",103.8724698431100
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",103.2000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",102.1332369846590
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",108.8724357671810
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",104.9893452310510
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",105.0602775828350
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",111.5909578542960
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",104.1000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",107.6062910391140
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",101.7173894135750
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",99.6066973874006
"PHILIPPINES","01.1.4.5 - Cheese (ND)",104.0293027365140
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",100.1694975710130
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",105.5220159275050
"PHILIPPINES","01.1.4.8 - Eggs (ND)",107.0191195478810
"PHILIPPINES","01.1.5 - Oils and fats (ND)",101.9000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",101.5107627906450
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",106.4321812425870
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",102.0463936752410
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",91.8467487544427
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",111.4000000000000
"PHILIPPINES","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",111.8517787356940
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",107.1895799209500
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",122.8259110668600
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",109.0522898581900
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",112.4120163606400
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",104.1829853514940
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",103.8014321871280
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",108.4000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",109.3355993698420
"PHILIPPINES","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",106.6048045777060
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",108.6997863778350
"PHILIPPINES","01.1.7.4 - Other vegetables, fresh or chilled (ND)",104.0227891730410
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",123.8131127427810
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",104.9436464986230
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",101.9000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",99.5328010039136
