"Geolocation","Commodity Description","2020 Jul"
"PHILIPPINES","0 - ALL ITEMS",107.3000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",106.9000000000000
"PHILIPPINES","01.1 - FOOD",107.0000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",106.5000000000000
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",106.5492774286610
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",106.4824272140950
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",106.3372013418710
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",107.6502943155170
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",105.2778212722390
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",109.7601137121930
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",106.1000000000000
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",105.7776252240000
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",108.8965082073750
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",105.8460817762510
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",108.9000000000000
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",115.2023929308270
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",106.8652657451570
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",105.4340577188290
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",114.1976101125950
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",106.8000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",110.1996346663110
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",102.6023571246860
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",101.1485428165350
"PHILIPPINES","01.1.4.5 - Cheese (ND)",105.8357436444880
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",102.6357512206100
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",106.1078118909440
"PHILIPPINES","01.1.4.8 - Eggs (ND)",112.2487614642580
"PHILIPPINES","01.1.5 - Oils and fats (ND)",104.4000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",104.4893353833520
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",108.5173380993700
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",102.8389275419810
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",93.9073128386750
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",112.6000000000000
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",116.6340224016750
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",130.1018736678290
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",104.5892479541370
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",115.1869830906480
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",105.3529873549450
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",107.7782111211360
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",108.3000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",105.5437882414450
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",101.5711288920750
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",115.6972616804750
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",108.9492225855920
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",102.8000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",99.1798788104556
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",105.2411511022120
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",109.0621202382880
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",107.5290314577840
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",104.4570371022380
"PHILIPPINES","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",103.4326113803340
"PHILIPPINES","01.1.9 - Ready-made food and other food products n.e.c. (ND)",110.1000000000000
"PHILIPPINES","01.1.9.2 - Baby food (ND)",102.4560329239160
"PHILIPPINES","01.1.9.3 - Salt, condiments and sauces (ND)",108.6838142106290
"PHILIPPINES","01.1.9.4 - Spices, culinary herbs and seeds (ND)",127.2700308725220
"PHILIPPINES","01.1.9.9 - Other food products n.e.c. (ND)",109.3272765590680
"PHILIPPINES","01.2 - NON-ALCOHOLIC BEVERAGES",106.4000000000000
"PHILIPPINES","01.2.1 - Fruit and vegetable juices (ND)",114.5000000000000
"PHILIPPINES","01.2.1.0 - Fruit and vegetable juices (ND)",114.4207197217080
"PHILIPPINES","01.2.2 - Coffee and coffee substitutes (ND)",104.1000000000000
"PHILIPPINES","01.2.2.0 - Coffee and coffee substitutes (ND)",104.1129949267560
"PHILIPPINES","01.2.3 - Tea, maté and other plant products for infusion (ND)",104.6000000000000
"PHILIPPINES","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",104.5631178224700
"PHILIPPINES","01.2.4 - Cocoa drinks (ND)",109.8000000000000
"PHILIPPINES","01.2.4.0 - Cocoa drinks (ND)",109.8044500083860
"PHILIPPINES","01.2.5 - Water (ND)",103.4000000000000
"PHILIPPINES","01.2.5.0 - Water (ND)",103.3252548110380
"PHILIPPINES","01.2.6 - Soft drinks (ND)",108.1000000000000
"PHILIPPINES","01.2.6.0 - Soft drinks (ND)",108.1091926892370
"PHILIPPINES","01.2.9 - Other non-alcoholic beverages (ND)",113.0000000000000
"PHILIPPINES","01.2.9.0 - Other non-alcoholic beverages (ND)",113.0236974962540
"PHILIPPINES","02 - ALCOHOLIC BEVERAGES AND TOBACCO",130.1000000000000
"PHILIPPINES","02.1 - ALCOHOLIC BEVERAGES",113.7000000000000
"PHILIPPINES","02.1.1 - Spirits and liquors (ND)",114.8000000000000
"PHILIPPINES","02.1.1.0 - Spirits and liquors (ND)",114.8224648892390
"PHILIPPINES","02.1.2 - Wine (ND)",109.6000000000000
"PHILIPPINES","02.1.2.1 - Wine from grapes (ND)",108.3161374627630
"PHILIPPINES","02.1.2.2 - Wine from other sources (ND)",109.9007905964460
"PHILIPPINES","02.1.3 - Beer (ND)",112.7000000000000
"PHILIPPINES","02.1.3.0 - Beer (ND)",112.7043641502640
"PHILIPPINES","02.3 - TOBACCO",141.5000000000000
"PHILIPPINES","02.3.0 - Tobacco (ND)",141.5000000000000
"PHILIPPINES","02.3.0.1 - Cigarettes (ND)",141.6683544992150
"PHILIPPINES","02.3.0.2 - Cigars (ND)",139.7261285561420
"PHILIPPINES","02.3.0.9 - Other tobacco products (ND)",124.4165349301430
"PHILIPPINES","02.4 - OTHER VEGETABLE-BASED TOBACCO PRODUCTS",118.1000000000000
"PHILIPPINES","02.4.0 - Other vegetable-based tobacco products (ND)",118.1000000000000
"PHILIPPINES","02.4.0.0 - Other vegetable-based tobacco products (ND)",118.1172871166230
"PHILIPPINES","02.900 - NON-FOOD",106.4000000000000
"PHILIPPINES","03 - CLOTHING AND FOOTWEAR",105.1000000000000
"PHILIPPINES","03.1 - CLOTHING",105.1000000000000
"PHILIPPINES","03.1.1 - Clothing materials (SD)",104.9000000000000
"PHILIPPINES","03.1.1.0 - Clothing materials (SD)",104.9259961458670
"PHILIPPINES","03.1.2 - Garments (SD)",105.0000000000000
"PHILIPPINES","03.1.2.1 - Garments for men or boys (SD)",105.0553633655460
"PHILIPPINES","03.1.2.2 - Garments for women or girls (SD)",104.9090498207060
"PHILIPPINES","03.1.2.3 - Garments for infants (0 to under 2 years) (SD)",105.5992971694940
"PHILIPPINES","03.1.2.4 - School uniforms (SD)",106.7300336336160
"PHILIPPINES","03.1.3 - Other articles of clothing and clothing accessories (SD)",106.4000000000000
"PHILIPPINES","03.1.3.1 - Other articles of clothing (SD)",105.8905877612500
"PHILIPPINES","03.1.3.2 - Clothing accessories (SD)",110.3998973408300
"PHILIPPINES","03.1.4 - Cleaning, repair, tailoring and hire of clothing (S)",111.0000000000000
"PHILIPPINES","03.1.4.1 - Cleaning of clothing (S)",109.9671274913540
"PHILIPPINES","03.1.4.2 - Repair, tailoring and hire of clothing (S)",113.7114567281790
"PHILIPPINES","03.2 - FOOTWEAR",105.2000000000000
"PHILIPPINES","03.2.1 - Shoes and other footwear (SD)",105.1000000000000
"PHILIPPINES","03.2.1.1 - Footwear for men (SD)",105.3363583197750
"PHILIPPINES","03.2.1.2 - Footwear for women (SD)",104.1192151026760
"PHILIPPINES","03.2.1.3 - Footwear for infants and children (SD)",105.8428150679440
"PHILIPPINES","03.2.2 - Cleaning, repair, and hire of footwear (S)",109.3000000000000
"PHILIPPINES","03.2.2.0 - Cleaning, repair, and hire of footwear (S)",109.3317511139860
"PHILIPPINES","04 - HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",106.7000000000000
"PHILIPPINES","04.1 - ACTUAL RENTALS FOR HOUSING",106.3000000000000
"PHILIPPINES","04.1.1 - Actual rentals paid by tenants for main residence (S)",106.3000000000000
"PHILIPPINES","04.1.1.0 - Actual rentals paid by tenants for main residence (S)",106.3304875004360
"PHILIPPINES","04.3 - MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING",106.1000000000000
"PHILIPPINES","04.3.1 - Security equipment and materials for the maintenance and repair of the dwelling (ND)",104.8000000000000
"PHILIPPINES","04.3.1.1 - Materials for the maintenance and repair of the dwelling (ND)",104.8054552242300
"PHILIPPINES","04.3.2 - Services for the maintenance, repair and security of the dwelling (S)",110.7000000000000
"PHILIPPINES","04.3.2.0 - Services for the maintenance, repair and security of the dwelling (S)",110.6801357263220
"PHILIPPINES","04.4 - WATER SUPPLY AND MISCELLANEOUS SERVICES RELATING TO THE DWELLING",105.3000000000000
