"Geolocation","Commodity Description","2019 Dec"
"PHILIPPINES","0 - ALL ITEMS",103.8000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",103.6000000000000
"PHILIPPINES","01.1 - FOOD",103.5000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",94.9000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",91.7054666682080
"PHILIPPINES","01.1.1.12 - Rice",91.4963991736750
"PHILIPPINES","01.1.1.16 - Corn",95.5475069113814
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",104.8449449964330
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",104.7800732014500
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",104.6483214884190
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",105.5777684859940
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",103.9035204476190
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",107.4467651648160
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",106.8000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",107.5357382087000
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",103.8353633498150
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",106.5723962198160
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",104.1000647210300
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",110.5000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",111.0770749268510
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",112.0370580041470
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",105.6604639686500
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",109.3630482421230
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",112.2484832943480
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",104.8000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",108.2181127495480
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",101.6008610241610
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",99.6988595481960
"PHILIPPINES","01.1.4.5 - Cheese (ND)",104.3272874951800
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",100.2111913730370
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",105.9612883289740
"PHILIPPINES","01.1.4.8 - Eggs (ND)",108.7824383478270
"PHILIPPINES","01.1.5 - Oils and fats (ND)",102.0000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",101.6442796069670
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",106.8303151448020
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",102.0437345649380
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",92.5540034824021
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",110.0000000000000
"PHILIPPINES","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",109.7985530171720
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",114.4912872641990
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",131.4501619308800
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",109.4003294671020
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",113.8825386400420
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",106.3511053337600
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",104.3429618868380
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",114.8000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",103.8705321646380
"PHILIPPINES","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",112.2460075896180
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",107.7227997037260
"PHILIPPINES","01.1.7.4 - Other vegetables, fresh or chilled (ND)",129.6310690018820
