"Geolocation","Commodity Description","2021 Jul"
"PHILIPPINES","0 - ALL ITEMS",108.8000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",107.9000000000000
"PHILIPPINES","01.1 - FOOD",108.0000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",96.3000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",92.4306402884508
"PHILIPPINES","01.1.1.12 - Rice",91.7866623878304
"PHILIPPINES","01.1.1.16 - Corn",104.2650434099160
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",108.4189329390700
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",107.1297488741830
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",108.2850683728710
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",109.2457447762830
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",106.9107728596050
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",111.8863343508140
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",122.4000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",125.5948570586480
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",112.4293230334260
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",128.2638566165410
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",111.3012034111320
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",114.7000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",114.5897157966000
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",126.0338709764310
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",108.3107215941150
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",112.5048294934090
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",118.6140679534480
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",107.3000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",111.4636969187250
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",103.3433969984320
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",102.6086733144280
"PHILIPPINES","01.1.4.5 - Cheese (ND)",106.5751291229800
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",104.2694649768810
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",106.2244866746150
"PHILIPPINES","01.1.4.8 - Eggs (ND)",112.5456320914250
"PHILIPPINES","01.1.5 - Oils and fats (ND)",110.2000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",111.5507131996580
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",111.1575835622970
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",104.7650033673330
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",101.9818007165550
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",114.0000000000000
"PHILIPPINES","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",114.2500914804650
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",119.7696012810570
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",112.8847651971790
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",114.8916477103510
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",116.9661973724510
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",104.2909493020140
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",109.2477239530860
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",110.4000000000000
