"Geolocation","Commodity Description","2018 Aug"
"PHILIPPINES","0 - ALL ITEMS",101.1000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",101.6000000000000
"PHILIPPINES","01.1 - FOOD",101.6000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",101.6000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",102.0178822922380
"PHILIPPINES","01.1.1.12 - Rice",102.0515773125410
"PHILIPPINES","01.1.1.16 - Corn",101.3986677926920
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",100.5765554235400
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",100.2338200838000
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",100.5622768624260
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",100.4648031981020
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",100.4430372732210
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",100.9631113546080
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",101.7000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",102.0575178046980
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",100.3569883851460
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",102.2177768174160
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",100.4672628233720
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",100.3000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",100.3839108663600
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",100.5285680231170
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",100.4584252750540
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",98.8741825465602
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",101.1764425406200
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",100.3000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",99.9817798647151
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",100.6561753427350
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",100.0952976185110
"PHILIPPINES","01.1.4.5 - Cheese (ND)",100.9413090634020
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",100.1635793580300
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",102.4841135015950
"PHILIPPINES","01.1.4.8 - Eggs (ND)",99.8188642303792
"PHILIPPINES","01.1.5 - Oils and fats (ND)",100.5000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",100.5214427850410
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",100.8970296059040
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",100.2312247655000
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",99.0194272755261
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",98.0000000000000
"PHILIPPINES","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",97.7884053226627
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",100.7543972626420
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",99.7230397799568
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",101.9553565573320
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",102.0550746417760
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",99.9446613578407
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",100.6021421960090
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",107.7000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",104.4031394117380
"PHILIPPINES","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",116.1195437468560
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",100.7106865198880
"PHILIPPINES","01.1.7.4 - Other vegetables, fresh or chilled (ND)",103.6632702697130
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",98.1159824510946
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",100.8723820342990
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",103.1000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",106.3053876011880
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",100.7320767854650
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",100.6603812584480
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",100.6049965067280
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",100.3186729524630
"PHILIPPINES","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",100.4671893857130
