"Geolocation","Commodity Description","2018 Jan"
"PHILIPPINES","0 - ALL ITEMS",97.9000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",97.4000000000000
"PHILIPPINES","01.1 - FOOD",97.7000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",98.2000000000000
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",98.2404632446556
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",98.6823790674476
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",98.3705828536273
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",97.5642364879893
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",98.5433854066538
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",97.0338200738547
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",98.0000000000000
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",98.4473006565208
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",96.4909511512352
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",98.0807132440289
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",98.2000000000000
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",94.5058512716380
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",98.2024923784264
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",101.4069652807240
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",96.2364750136416
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",98.9000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",99.0025979273558
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",98.7707307490155
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",99.4965584953267
"PHILIPPINES","01.1.4.5 - Cheese (ND)",96.9995870027855
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",99.5180452310613
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",96.1225977955319
"PHILIPPINES","01.1.4.8 - Eggs (ND)",99.4499325346972
"PHILIPPINES","01.1.5 - Oils and fats (ND)",98.3000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",98.2980546489235
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",96.7687599738686
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",98.5958611859759
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",102.3283860544000
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",95.7000000000000
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",90.9415633310831
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",96.0743738195588
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",100.7747131606180
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",93.3406490651675
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",98.5241473497270
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",97.4735744847286
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",93.1000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",90.9081270370296
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",99.3073017023096
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",97.2464719633801
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",97.1575692641195
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",95.6000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",91.6994810569149
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",97.9939751877171
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",98.2221433509509
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",98.0587896930641
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",98.8462984461836
