"Geolocation","Commodity Description","2022 May"
"PHILIPPINES","0 - ALL ITEMS",113.9000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",113.2000000000000
"PHILIPPINES","01.1 - FOOD",113.5000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",99.4000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",94.9990314501711
"PHILIPPINES","01.1.1.12 - Rice",93.0850183723813
"PHILIPPINES","01.1.1.16 - Corn",130.1729129148850
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",113.2972528843010
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",111.5192347807190
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",113.1611288090000
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",111.2737145057580
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",112.6340276586980
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",115.7807862574850
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",129.8000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",134.3788640750140
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",116.1983157626850
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",135.4966473751710
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",114.1879306056920
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",124.4000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",124.5985423048670
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",134.7842793215440
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",112.8935555261990
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",124.6761793740790
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",120.8991119510880
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",109.8000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",116.4797876307110
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",104.9736177902980
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",103.9686361558560
"PHILIPPINES","01.1.4.5 - Cheese (ND)",109.1446892421950
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",108.3058564137370
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",108.1241938458620
"PHILIPPINES","01.1.4.8 - Eggs (ND)",115.9447108357190
"PHILIPPINES","01.1.5 - Oils and fats (ND)",124.0000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",128.6234435342360
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",113.2850956294040
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",108.3838388229240
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",106.0683575086160
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",115.4000000000000
"PHILIPPINES","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",114.9461247990540
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",128.1816059467400
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",122.4179084868980
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",130.5773027753490
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",121.7305128463670
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",112.0375509733920
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",114.9745006190460
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",116.9000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",119.3581901553350
"PHILIPPINES","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",126.6140062236330
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",112.5861799492760
"PHILIPPINES","01.1.7.4 - Other vegetables, fresh or chilled (ND)",102.9096135654140
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",110.3535479028690
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",115.9512846919370
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",112.3000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",114.9606564641250
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",111.1251769740500
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",115.5298208693590
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",111.4357006997090
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",108.0562376937730
"PHILIPPINES","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",107.5913257750990
"PHILIPPINES","01.1.9 - Ready-made food and other food products n.e.c. (ND)",114.3000000000000
"PHILIPPINES","01.1.9.2 - Baby food (ND)",106.5460140436780
"PHILIPPINES","01.1.9.3 - Salt, condiments and sauces (ND)",117.5586097145820
"PHILIPPINES","01.1.9.4 - Spices, culinary herbs and seeds (ND)",119.8031470262820
"PHILIPPINES","01.1.9.9 - Other food products n.e.c. (ND)",115.3010047690210
"PHILIPPINES","01.2 - NON-ALCOHOLIC BEVERAGES",109.6000000000000
"PHILIPPINES","01.2.1 - Fruit and vegetable juices (ND)",120.9000000000000
"PHILIPPINES","01.2.1.0 - Fruit and vegetable juices (ND)",120.9602825057390
"PHILIPPINES","01.2.2 - Coffee and coffee substitutes (ND)",106.3000000000000
"PHILIPPINES","01.2.2.0 - Coffee and coffee substitutes (ND)",106.2505553543240
"PHILIPPINES","01.2.3 - Tea, maté and other plant products for infusion (ND)",109.7000000000000
"PHILIPPINES","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",109.7174086810380
"PHILIPPINES","01.2.4 - Cocoa drinks (ND)",114.3000000000000
"PHILIPPINES","01.2.4.0 - Cocoa drinks (ND)",114.3624424763280
"PHILIPPINES","01.2.5 - Water (ND)",106.2000000000000
"PHILIPPINES","01.2.5.0 - Water (ND)",106.1289196875300
"PHILIPPINES","01.2.6 - Soft drinks (ND)",111.0000000000000
"PHILIPPINES","01.2.6.0 - Soft drinks (ND)",110.9569893850430
"PHILIPPINES","01.2.9 - Other non-alcoholic beverages (ND)",118.4000000000000
"PHILIPPINES","01.2.9.0 - Other non-alcoholic beverages (ND)",118.4286840401630
"PHILIPPINES","02 - ALCOHOLIC BEVERAGES AND TOBACCO",151.0000000000000
"PHILIPPINES","02.1 - ALCOHOLIC BEVERAGES",124.7000000000000
"PHILIPPINES","02.1.1 - Spirits and liquors (ND)",125.8000000000000
"PHILIPPINES","02.1.1.0 - Spirits and liquors (ND)",125.8798339991600
"PHILIPPINES","02.1.2 - Wine (ND)",117.1000000000000
"PHILIPPINES","02.1.2.1 - Wine from grapes (ND)",113.0824582850130
"PHILIPPINES","02.1.2.2 - Wine from other sources (ND)",118.0767704270610
"PHILIPPINES","02.1.3 - Beer (ND)",124.1000000000000
"PHILIPPINES","02.1.3.0 - Beer (ND)",124.1143301706810
"PHILIPPINES","02.3 - TOBACCO",169.1000000000000
"PHILIPPINES","02.3.0 - Tobacco (ND)",169.1000000000000
"PHILIPPINES","02.3.0.1 - Cigarettes (ND)",169.6346788964220
"PHILIPPINES","02.3.0.2 - Cigars (ND)",156.7944997062020
"PHILIPPINES","02.3.0.9 - Other tobacco products (ND)",133.3943149394990
"PHILIPPINES","02.4 - OTHER VEGETABLE-BASED TOBACCO PRODUCTS",151.6000000000000
"PHILIPPINES","02.4.0 - Other vegetable-based tobacco products (ND)",151.6000000000000
"PHILIPPINES","02.4.0.0 - Other vegetable-based tobacco products (ND)",151.6017107610900
"PHILIPPINES","02.900 - NON-FOOD",113.1000000000000
"PHILIPPINES","03 - CLOTHING AND FOOTWEAR",108.9000000000000
"PHILIPPINES","03.1 - CLOTHING",108.5000000000000
"PHILIPPINES","03.1.1 - Clothing materials (SD)",107.0000000000000
"PHILIPPINES","03.1.1.0 - Clothing materials (SD)",106.9073292264010
"PHILIPPINES","03.1.2 - Garments (SD)",108.3000000000000
"PHILIPPINES","03.1.2.1 - Garments for men or boys (SD)",108.3040106902510
"PHILIPPINES","03.1.2.2 - Garments for women or girls (SD)",108.1468103341300
"PHILIPPINES","03.1.2.3 - Garments for infants (0 to under 2 years) (SD)",109.7603971654550
"PHILIPPINES","03.1.2.4 - School uniforms (SD)",112.5341617497280
"PHILIPPINES","03.1.3 - Other articles of clothing and clothing accessories (SD)",109.2000000000000
"PHILIPPINES","03.1.3.1 - Other articles of clothing (SD)",108.7398405066740
"PHILIPPINES","03.1.3.2 - Clothing accessories (SD)",112.3201879191820
"PHILIPPINES","03.1.4 - Cleaning, repair, tailoring and hire of clothing (S)",117.1000000000000
"PHILIPPINES","03.1.4.1 - Cleaning of clothing (S)",116.2592823566330
"PHILIPPINES","03.1.4.2 - Repair, tailoring and hire of clothing (S)",119.3495277940810
"PHILIPPINES","03.2 - FOOTWEAR",109.7000000000000
"PHILIPPINES","03.2.1 - Shoes and other footwear (SD)",109.7000000000000
"PHILIPPINES","03.2.1.1 - Footwear for men (SD)",109.9879076683220
"PHILIPPINES","03.2.1.2 - Footwear for women (SD)",108.6878789652790
"PHILIPPINES","03.2.1.3 - Footwear for infants and children (SD)",110.1851146235460
"PHILIPPINES","03.2.2 - Cleaning, repair, and hire of footwear (S)",113.9000000000000
"PHILIPPINES","03.2.2.0 - Cleaning, repair, and hire of footwear (S)",113.9086678601890
"PHILIPPINES","04 - HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",111.5000000000000
"PHILIPPINES","04.1 - ACTUAL RENTALS FOR HOUSING",108.7000000000000
"PHILIPPINES","04.1.1 - Actual rentals paid by tenants for main residence (S)",108.7000000000000
"PHILIPPINES","04.1.1.0 - Actual rentals paid by tenants for main residence (S)",108.7475073613670
"PHILIPPINES","04.3 - MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING",112.1000000000000
"PHILIPPINES","04.3.1 - Security equipment and materials for the maintenance and repair of the dwelling (ND)",110.3000000000000
"PHILIPPINES","04.3.1.1 - Materials for the maintenance and repair of the dwelling (ND)",110.2886794050770
"PHILIPPINES","04.3.2 - Services for the maintenance, repair and security of the dwelling (S)",118.5000000000000
"PHILIPPINES","04.3.2.0 - Services for the maintenance, repair and security of the dwelling (S)",118.4453941688760
"PHILIPPINES","04.4 - WATER SUPPLY AND MISCELLANEOUS SERVICES RELATING TO THE DWELLING",104.6000000000000
"PHILIPPINES","04.4.1 - Water supply (ND)",104.6000000000000
"PHILIPPINES","04.4.1.1 - Water supply through network systems (ND)",104.6255657341050
"PHILIPPINES","04.5 - ELECTRICITY, GAS AND OTHER FUELS",117.8000000000000
"PHILIPPINES","04.5.1 - Electricity (ND)",109.4000000000000
"PHILIPPINES","04.5.1.0 - Electricity (ND)",109.4017603456540
"PHILIPPINES","04.5.2 - Gas (ND)",143.8000000000000
"PHILIPPINES","04.5.2.2 - Liquefied hydrocarbons (ND)",143.8460689142790
"PHILIPPINES","04.5.3 - Liquid fuels (ND)",155.0000000000000
"PHILIPPINES","04.5.3.0 - Liquid fuels (ND)",155.0353276298830
"PHILIPPINES","04.5.4 - Solid fuels (ND)",121.7000000000000
"PHILIPPINES","04.5.4.2 - Wood fuel, including pellets and briquettes (ND)",120.6310429859690
