"Geolocation","Commodity Description","2018 Sep"
"PHILIPPINES","0 - ALL ITEMS",102.1000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",103.7000000000000
"PHILIPPINES","01.1 - FOOD",103.9000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",104.9000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",106.1728343049170
"PHILIPPINES","01.1.1.12 - Rice",106.4138751681960
"PHILIPPINES","01.1.1.16 - Corn",101.7432184096450
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",100.9729359364850
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",100.5871461755520
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",100.9157366571330
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",101.0581122698950
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",100.6849209792340
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",101.8382217405360
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",101.9000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",102.1780859141680
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",100.6195515061490
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",102.7665117753270
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",101.0436091986500
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",102.0000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",102.2858545629280
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",103.1797903776580
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",100.9736605217690
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",100.2983954729320
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",101.6798658334270
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",100.5000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",100.1977386456530
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",100.6418301527340
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",100.1850507153590
"PHILIPPINES","01.1.4.5 - Cheese (ND)",101.2217450686930
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",100.1635793580300
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",102.9924745675450
"PHILIPPINES","01.1.4.8 - Eggs (ND)",100.1589030199600
"PHILIPPINES","01.1.5 - Oils and fats (ND)",101.1000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",101.1430242319530
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",101.2434266493930
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",100.6062141140720
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",96.9210210545867
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",99.4000000000000
"PHILIPPINES","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",99.1359746740002
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",101.1087226094350
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",103.5491080460960
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",104.1097325636670
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",104.1923504830300
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",101.0341633209590
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",101.0841537324600
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",115.1000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",120.8554213859310
"PHILIPPINES","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",117.8259693763830
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",101.5059782267590
"PHILIPPINES","01.1.7.4 - Other vegetables, fresh or chilled (ND)",111.6286016032750
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",104.1289742171280
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",101.3069991527480
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",103.9000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",107.8384423459520
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",101.0900300785480
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",101.0732492710760
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",101.1546400166290
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",100.5512853231900
"PHILIPPINES","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",100.7486062571260
"PHILIPPINES","01.1.9 - Ready-made food and other food products n.e.c. (ND)",100.9000000000000
"PHILIPPINES","01.1.9.2 - Baby food (ND)",100.5154871179620
"PHILIPPINES","01.1.9.3 - Salt, condiments and sauces (ND)",100.8381859902460
"PHILIPPINES","01.1.9.4 - Spices, culinary herbs and seeds (ND)",101.7365813215020
"PHILIPPINES","01.1.9.9 - Other food products n.e.c. (ND)",100.4688419559030
"PHILIPPINES","01.2 - NON-ALCOHOLIC BEVERAGES",101.4000000000000
"PHILIPPINES","01.2.1 - Fruit and vegetable juices (ND)",103.9000000000000
"PHILIPPINES","01.2.1.0 - Fruit and vegetable juices (ND)",103.8818993421960
"PHILIPPINES","01.2.2 - Coffee and coffee substitutes (ND)",100.9000000000000
"PHILIPPINES","01.2.2.0 - Coffee and coffee substitutes (ND)",100.8871209500350
"PHILIPPINES","01.2.3 - Tea, maté and other plant products for infusion (ND)",100.3000000000000
"PHILIPPINES","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",100.3186903043010
"PHILIPPINES","01.2.4 - Cocoa drinks (ND)",101.5000000000000
"PHILIPPINES","01.2.4.0 - Cocoa drinks (ND)",101.5107783809500
"PHILIPPINES","01.2.5 - Water (ND)",100.2000000000000
"PHILIPPINES","01.2.5.0 - Water (ND)",100.2470217924720
"PHILIPPINES","01.2.6 - Soft drinks (ND)",102.7000000000000
"PHILIPPINES","01.2.6.0 - Soft drinks (ND)",102.7255320626870
"PHILIPPINES","01.2.9 - Other non-alcoholic beverages (ND)",104.4000000000000
"PHILIPPINES","01.2.9.0 - Other non-alcoholic beverages (ND)",104.4193720695460
"PHILIPPINES","02 - ALCOHOLIC BEVERAGES AND TOBACCO",102.0000000000000
"PHILIPPINES","02.1 - ALCOHOLIC BEVERAGES",101.2000000000000
"PHILIPPINES","02.1.1 - Spirits and liquors (ND)",101.0000000000000
"PHILIPPINES","02.1.1.0 - Spirits and liquors (ND)",101.0015213163050
"PHILIPPINES","02.1.2 - Wine (ND)",101.7000000000000
