"Geolocation","Commodity Description","2021 Sep"
"PHILIPPINES","0 - ALL ITEMS",109.3000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",108.7000000000000
"PHILIPPINES","01.1 - FOOD",108.7000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",96.6000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",92.7786197595426
"PHILIPPINES","01.1.1.12 - Rice",91.9735691206654
"PHILIPPINES","01.1.1.16 - Corn",107.5730619049740
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",108.9122685222650
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",107.5872220799580
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",108.7262444803610
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",109.2485270212320
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",107.5733072059090
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",112.4349183025320
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",119.8000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",122.2369749287790
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",112.6039533275460
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",125.3261682058580
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",111.3937006379750
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",115.5000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",115.4606145092190
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",126.9232456199410
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",108.3650969388670
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",112.5518055061780
