"Geolocation","Commodity Description","2020 Jan"
"PHILIPPINES","0 - ALL ITEMS",104.5000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",104.5000000000000
"PHILIPPINES","01.1 - FOOD",104.4000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",94.4000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",91.0641145438804
"PHILIPPINES","01.1.1.12 - Rice",90.8686927407833
"PHILIPPINES","01.1.1.16 - Corn",94.6553874654302
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",105.0745080419200
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",104.9963285127380
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",104.8988904683320
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",105.7216950196540
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",104.0506134790900
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",107.7234208221070
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",106.5000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",107.2619061095840
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",103.8426584259490
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",105.4965950750840
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",104.2308456062230
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",115.2000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",116.5819901614110
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",113.9811742950410
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",105.8085414652260
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",115.0216366805250
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",112.5850097347030
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",105.2000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",108.7409172496350
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",101.6753634745200
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",99.2898211769163
