"Geolocation","Commodity Description","2024 Jan"
"PHILIPPINES","0 - ALL ITEMS",124.8000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",128.9000000000000
"PHILIPPINES","01.1 - FOOD",129.7000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",120.0000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",116.8821135689140
"PHILIPPINES","01.1.1.12 - Rice",115.8532692469490
"PHILIPPINES","01.1.1.16 - Corn",135.7892196103440
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",129.6011897909800
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",125.6408780920170
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",129.9997307044990
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",121.9661462161920
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",127.6704875472970
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",132.6346697293430
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",132.4000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",134.6063264417180
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",129.9346438133870
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",141.4269918479260
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",124.3613764228090
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",135.9000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",135.2085763950210
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",148.9484588676040
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",129.0825670355120
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",135.8780926629940
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",141.1539333647060
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",127.5000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",138.2184442127380
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",115.0215061806980
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",118.0634040558040
"PHILIPPINES","01.1.4.5 - Cheese (ND)",122.0725944755150
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",124.0895470574040
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",119.0747143198640
"PHILIPPINES","01.1.4.8 - Eggs (ND)",144.4319802330700
"PHILIPPINES","01.1.5 - Oils and fats (ND)",130.1000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",135.0282909285950
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",124.4441130387820
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",111.9172280904500
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",111.1148218809390
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",143.1000000000000
"PHILIPPINES","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",143.8227369254990
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",140.2819700839450
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",139.3953118278400
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",159.8771996456580
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",138.3270107533230
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",137.1980564024750
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",130.1369323835680
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",143.6000000000000
