"Geolocation","Commodity Description","2023 Mar"
"PHILIPPINES","0 - ALL ITEMS",120.7000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",126.3000000000000
"PHILIPPINES","01.1 - FOOD",128.4000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",124.6000000000000
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",124.6220019537540
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",121.5967247132270
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",124.9059159462860
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",117.2804871836510
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",123.2610898058870
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",127.0581334760200
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",123.2000000000000
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",126.1865068118550
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",140.5043103468640
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",121.5148824892370
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",134.6000000000000
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",149.5882918493680
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",125.1891182031040
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",130.8139234348130
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",135.6920723341630
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",123.8000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",135.2615893821000
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",112.0616775306520
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",112.1209444228300
"PHILIPPINES","01.1.4.5 - Cheese (ND)",119.8406791371970
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",119.9330361862510
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",114.0552931193950
"PHILIPPINES","01.1.4.8 - Eggs (ND)",139.3256809030850
"PHILIPPINES","01.1.5 - Oils and fats (ND)",135.7000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",141.5678672515450
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",125.8243679466510
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",115.3817669509620
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",116.6053229807730
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",130.6000000000000
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",138.8208272300090
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",132.2270706766990
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",121.9519402674450
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",129.5440822151630
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",126.8623886128740
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",126.0044410308210
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",133.6000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",130.4543428826600
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",143.2463179470670
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",141.7748004576990
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",131.2176332413500
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",147.8000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",183.4551157282820
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",122.3638573557690
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",128.7020621780210
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",120.1851659988350
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",115.6799503871760
"PHILIPPINES","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",119.4951277069370
"PHILIPPINES","01.1.9 - Ready-made food and other food products n.e.c. (ND)",123.8000000000000
"PHILIPPINES","01.1.9.2 - Baby food (ND)",115.8990527810910
"PHILIPPINES","01.1.9.3 - Salt, condiments and sauces (ND)",129.0084695607410
"PHILIPPINES","01.1.9.4 - Spices, culinary herbs and seeds (ND)",124.3250643126270
"PHILIPPINES","01.1.9.9 - Other food products n.e.c. (ND)",125.4908351154120
"PHILIPPINES","01.2 - NON-ALCOHOLIC BEVERAGES",116.7000000000000
"PHILIPPINES","01.2.1 - Fruit and vegetable juices (ND)",128.3000000000000
"PHILIPPINES","01.2.1.0 - Fruit and vegetable juices (ND)",128.2858293213660
"PHILIPPINES","01.2.2 - Coffee and coffee substitutes (ND)",112.9000000000000
"PHILIPPINES","01.2.2.0 - Coffee and coffee substitutes (ND)",112.9435564425330
"PHILIPPINES","01.2.3 - Tea, maté and other plant products for infusion (ND)",115.3000000000000
"PHILIPPINES","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",115.3276546905070
