"Geolocation","Commodity Description","2022 Dec"
"PHILIPPINES","0 - ALL ITEMS",119.4000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",121.3000000000000
"PHILIPPINES","01.1 - FOOD",122.0000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",103.0000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",97.0662125828317
"PHILIPPINES","01.1.1.12 - Rice",94.6997315772679
"PHILIPPINES","01.1.1.16 - Corn",140.5551120810110
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",121.6571005226550
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",120.1499297019740
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",121.6559293268860
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",113.3424534869050
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",120.8631263435830
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",124.4768989265890
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",131.6000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",134.9954478032330
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",124.0399899544730
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",140.0031670127190
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",119.5640213037780
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",128.0000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",127.8039167854340
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",139.9156020027250
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",120.4759654670170
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",126.1349106889390
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",131.7967780767450
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",118.5000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",129.3079609171830
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",109.5906293771120
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",105.8174201693420
"PHILIPPINES","01.1.4.5 - Cheese (ND)",115.9601900167910
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",115.9853618932440
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",110.2615016070350
"PHILIPPINES","01.1.4.8 - Eggs (ND)",130.2944281454660
"PHILIPPINES","01.1.5 - Oils and fats (ND)",135.3000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",141.4085485248450
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",121.2009502756310
