"Geolocation","Commodity Description","2022 Jul"
"PHILIPPINES","0 - ALL ITEMS",115.8000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",115.3000000000000
"PHILIPPINES","01.1 - FOOD",115.7000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",100.6000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",95.7788795372580
"PHILIPPINES","01.1.1.12 - Rice",93.7528509283006
"PHILIPPINES","01.1.1.16 - Corn",133.0112741130990
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",115.7579792106990
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",113.6192622311800
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",115.5839379078730
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",111.9154003276160
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",115.3134974100590
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",118.3769998788250
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",134.5000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",139.9829035181640
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",119.2729325547830
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",142.2840319916070
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",115.8657698424130
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",125.3000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",125.6607595388310
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",135.1168247165810
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",115.3300999115260
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",123.6954104830520
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",124.2932710581630
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",112.1000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",120.4840278714110
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",105.8353939602200
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",104.0457144566010
"PHILIPPINES","01.1.4.5 - Cheese (ND)",110.2417343962890
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",107.4924654730250
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",109.0361451093720
"PHILIPPINES","01.1.4.8 - Eggs (ND)",120.3519683503190
"PHILIPPINES","01.1.5 - Oils and fats (ND)",130.5000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",136.9053894489540
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",114.7719308927450
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",109.5338175474050
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",110.1754619923790
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",118.1000000000000
"PHILIPPINES","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",117.6952670180280
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",130.2494999238150
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",123.6888412757890
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",136.1014519428550
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",123.1503466446140
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",115.9419613001740
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",117.7538772026630
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",116.6000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",119.6923058928430
"PHILIPPINES","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",118.7743873565400
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",127.4219320636810
"PHILIPPINES","01.1.7.4 - Other vegetables, fresh or chilled (ND)",110.8287285725990
