"Geolocation","Commodity Description","2023 Jan"
"PHILIPPINES","0 - ALL ITEMS",119.6000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",125.3000000000000
"PHILIPPINES","01.1 - FOOD",127.4000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",122.8000000000000
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",122.7796955313260
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",120.5480536002660
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",122.9561491251570
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",113.3549694626720
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",121.5737686954630
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",125.6615308791260
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",122.0000000000000
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",124.4455403412990
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",141.4309331752530
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",120.2002077335620
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",131.6000000000000
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",142.6075537976010
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",121.1073293753810
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",132.2292916591190
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",132.7780239893730
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",120.7000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",131.4896676864700
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",110.3572885052950
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",106.1717393525210
"PHILIPPINES","01.1.4.5 - Cheese (ND)",117.0560758040280
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",116.2902911588030
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",110.2906521553940
"PHILIPPINES","01.1.4.8 - Eggs (ND)",134.5111149365290
"PHILIPPINES","01.1.5 - Oils and fats (ND)",136.0000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",142.2734368866510
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",122.8620531992170
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",114.9720600136340
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",116.8176647433520
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",131.5000000000000
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",143.9378269122930
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",133.4682936570950
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",121.7389462252040
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",128.7864445481870
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",125.7944521644970
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",124.5112568548000
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",143.8000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",139.4308754738350
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",141.6129124601490
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",158.4808002199370
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",129.0938317580250
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",146.7000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",183.8135082888000
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",119.9703473131490
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",124.8375986104740
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",118.1850862084080
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",113.8855969792770
"PHILIPPINES","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",117.0923418248060
"PHILIPPINES","01.1.9 - Ready-made food and other food products n.e.c. (ND)",122.6000000000000
"PHILIPPINES","01.1.9.2 - Baby food (ND)",114.4792341193000
"PHILIPPINES","01.1.9.3 - Salt, condiments and sauces (ND)",127.4222517245290
"PHILIPPINES","01.1.9.4 - Spices, culinary herbs and seeds (ND)",124.8523722761730
"PHILIPPINES","01.1.9.9 - Other food products n.e.c. (ND)",123.1593974317270
"PHILIPPINES","01.2 - NON-ALCOHOLIC BEVERAGES",115.4000000000000
"PHILIPPINES","01.2.1 - Fruit and vegetable juices (ND)",126.6000000000000
"PHILIPPINES","01.2.1.0 - Fruit and vegetable juices (ND)",126.5336220068020
"PHILIPPINES","01.2.2 - Coffee and coffee substitutes (ND)",111.7000000000000
"PHILIPPINES","01.2.2.0 - Coffee and coffee substitutes (ND)",111.6716921817970
"PHILIPPINES","01.2.3 - Tea, maté and other plant products for infusion (ND)",114.6000000000000
"PHILIPPINES","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",114.5121182196220
"PHILIPPINES","01.2.4 - Cocoa drinks (ND)",120.9000000000000
"PHILIPPINES","01.2.4.0 - Cocoa drinks (ND)",120.8642565780590
"PHILIPPINES","01.2.5 - Water (ND)",109.3000000000000
"PHILIPPINES","01.2.5.0 - Water (ND)",109.3366570051730
"PHILIPPINES","01.2.6 - Soft drinks (ND)",121.4000000000000
"PHILIPPINES","01.2.6.0 - Soft drinks (ND)",121.4131652988130
"PHILIPPINES","01.2.9 - Other non-alcoholic beverages (ND)",125.4000000000000
"PHILIPPINES","01.2.9.0 - Other non-alcoholic beverages (ND)",125.4125868842280
"PHILIPPINES","02 - ALCOHOLIC BEVERAGES AND TOBACCO",161.2000000000000
"PHILIPPINES","02.1 - ALCOHOLIC BEVERAGES",131.0000000000000
"PHILIPPINES","02.1.1 - Spirits and liquors (ND)",132.9000000000000
"PHILIPPINES","02.1.1.0 - Spirits and liquors (ND)",132.8506780091730
"PHILIPPINES","02.1.2 - Wine (ND)",122.8000000000000
"PHILIPPINES","02.1.2.1 - Wine from grapes (ND)",120.3771777066620
"PHILIPPINES","02.1.2.2 - Wine from other sources (ND)",123.3867082707380
"PHILIPPINES","02.1.3 - Beer (ND)",129.7000000000000
"PHILIPPINES","02.1.3.0 - Beer (ND)",129.7151978041980
"PHILIPPINES","02.3 - TOBACCO",182.0000000000000
"PHILIPPINES","02.3.0 - Tobacco (ND)",182.0000000000000
"PHILIPPINES","02.3.0.1 - Cigarettes (ND)",182.6114986750190
"PHILIPPINES","02.3.0.2 - Cigars (ND)",173.5066665300050
"PHILIPPINES","02.3.0.9 - Other tobacco products (ND)",139.4034490720560
"PHILIPPINES","02.4 - OTHER VEGETABLE-BASED TOBACCO PRODUCTS",147.2000000000000
"PHILIPPINES","02.4.0 - Other vegetable-based tobacco products (ND)",147.2000000000000
"PHILIPPINES","02.4.0.0 - Other vegetable-based tobacco products (ND)",147.2327204136280
"PHILIPPINES","02.900 - NON-FOOD",116.1000000000000
"PHILIPPINES","03 - CLOTHING AND FOOTWEAR",112.7000000000000
"PHILIPPINES","03.1 - CLOTHING",112.5000000000000
"PHILIPPINES","03.1.1 - Clothing materials (SD)",109.7000000000000
"PHILIPPINES","03.1.1.0 - Clothing materials (SD)",109.7274840111240
"PHILIPPINES","03.1.2 - Garments (SD)",112.1000000000000
"PHILIPPINES","03.1.2.1 - Garments for men or boys (SD)",112.1313869417480
"PHILIPPINES","03.1.2.2 - Garments for women or girls (SD)",112.0623370141900
"PHILIPPINES","03.1.2.3 - Garments for infants (0 to under 2 years) (SD)",114.4853387985770
"PHILIPPINES","03.1.2.4 - School uniforms (SD)",117.4314951977390
"PHILIPPINES","03.1.3 - Other articles of clothing and clothing accessories (SD)",112.1000000000000
"PHILIPPINES","03.1.3.1 - Other articles of clothing (SD)",111.5529803286990
"PHILIPPINES","03.1.3.2 - Clothing accessories (SD)",116.5909357772980
"PHILIPPINES","03.1.4 - Cleaning, repair, tailoring and hire of clothing (S)",125.1000000000000
"PHILIPPINES","03.1.4.1 - Cleaning of clothing (S)",124.4794929034730
"PHILIPPINES","03.1.4.2 - Repair, tailoring and hire of clothing (S)",126.6724621816410
"PHILIPPINES","03.2 - FOOTWEAR",113.3000000000000
"PHILIPPINES","03.2.1 - Shoes and other footwear (SD)",113.3000000000000
"PHILIPPINES","03.2.1.1 - Footwear for men (SD)",114.3058337374150
"PHILIPPINES","03.2.1.2 - Footwear for women (SD)",111.9403745364230
"PHILIPPINES","03.2.1.3 - Footwear for infants and children (SD)",113.0487310117010
"PHILIPPINES","03.2.2 - Cleaning, repair, and hire of footwear (S)",118.3000000000000
"PHILIPPINES","03.2.2.0 - Cleaning, repair, and hire of footwear (S)",118.2853333206290
"PHILIPPINES","04 - HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",114.7000000000000
"PHILIPPINES","04.1 - ACTUAL RENTALS FOR HOUSING",113.6000000000000
"PHILIPPINES","04.1.1 - Actual rentals paid by tenants for main residence (S)",113.6000000000000
"PHILIPPINES","04.1.1.0 - Actual rentals paid by tenants for main residence (S)",113.5791324446270
"PHILIPPINES","04.3 - MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING",116.3000000000000
"PHILIPPINES","04.3.1 - Security equipment and materials for the maintenance and repair of the dwelling (ND)",114.4000000000000
"PHILIPPINES","04.3.1.1 - Materials for the maintenance and repair of the dwelling (ND)",114.3833248330760
"PHILIPPINES","04.3.2 - Services for the maintenance, repair and security of the dwelling (S)",122.8000000000000
"PHILIPPINES","04.3.2.0 - Services for the maintenance, repair and security of the dwelling (S)",122.8206753296160
