"Geolocation","Commodity Description","2019 Ave"
"PHILIPPINES","0 - ALL ITEMS",103.3916666666670
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",103.5916666666670
"PHILIPPINES","01.1 - FOOD",103.5166666666670
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",103.4750000000000
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",103.4816836332840
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",103.2702390162060
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",103.3920259170310
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",103.3679022066650
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",102.6417806779290
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",105.4816148795170
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",103.0750000000000
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",102.2125694660100
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",102.9508174832980
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",103.1162478110770
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",105.8333333333330
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",108.5652852030720
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",103.9962763604680
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",105.1264876309720
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",109.0210406118870
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",102.4416666666670
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",104.9971086152010
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",101.2602849560930
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",100.3189938948160
"PHILIPPINES","01.1.4.5 - Cheese (ND)",103.0786031147400
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",100.1611211347170
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",104.8269286766800
"PHILIPPINES","01.1.4.8 - Eggs (ND)",103.7364622745470
"PHILIPPINES","01.1.5 - Oils and fats (ND)",101.6333333333330
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",101.4030479506530
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",104.9702334873040
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",101.6907268120880
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",91.9495544370703
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",106.3583333333330
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",107.5855571759200
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",117.3029327481900
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",100.8582763078930
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",110.6086928619060
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",103.0731283192250
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",103.1141403661050
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",104.7416666666670
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",102.6140729852680
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",106.5777501305090
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",110.1270091373620
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",104.2030714370800
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",101.9500000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",100.8565485747910
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",102.9291402519330
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",104.4787669329460
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",103.9509293546520
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",102.1363917768280
"PHILIPPINES","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",101.8288042761610
"PHILIPPINES","01.1.9 - Ready-made food and other food products n.e.c. (ND)",104.4916666666670
"PHILIPPINES","01.1.9.2 - Baby food (ND)",101.6222004846110
"PHILIPPINES","01.1.9.3 - Salt, condiments and sauces (ND)",104.3134361927070
"PHILIPPINES","01.1.9.4 - Spices, culinary herbs and seeds (ND)",110.0124908939730
"PHILIPPINES","01.1.9.9 - Other food products n.e.c. (ND)",104.4932150604190
"PHILIPPINES","01.2 - NON-ALCOHOLIC BEVERAGES",103.9166666666670
"PHILIPPINES","01.2.1 - Fruit and vegetable juices (ND)",110.1250000000000
"PHILIPPINES","01.2.1.0 - Fruit and vegetable juices (ND)",110.1263269506710
"PHILIPPINES","01.2.2 - Coffee and coffee substitutes (ND)",102.6250000000000
"PHILIPPINES","01.2.2.0 - Coffee and coffee substitutes (ND)",102.6154954383670
"PHILIPPINES","01.2.3 - Tea, maté and other plant products for infusion (ND)",102.0166666666670
"PHILIPPINES","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",102.0177817287430
"PHILIPPINES","01.2.4 - Cocoa drinks (ND)",105.7833333333330
"PHILIPPINES","01.2.4.0 - Cocoa drinks (ND)",105.7632357565590
"PHILIPPINES","01.2.5 - Water (ND)",101.1333333333330
"PHILIPPINES","01.2.5.0 - Water (ND)",101.1136500097340
"PHILIPPINES","01.2.6 - Soft drinks (ND)",105.5166666666670
"PHILIPPINES","01.2.6.0 - Soft drinks (ND)",105.5135185554030
"PHILIPPINES","01.2.9 - Other non-alcoholic beverages (ND)",108.9083333333330
"PHILIPPINES","01.2.9.0 - Other non-alcoholic beverages (ND)",108.8992023982400
"PHILIPPINES","02 - ALCOHOLIC BEVERAGES AND TOBACCO",111.9500000000000
"PHILIPPINES","02.1 - ALCOHOLIC BEVERAGES",103.7166666666670
"PHILIPPINES","02.1.1 - Spirits and liquors (ND)",103.6750000000000
"PHILIPPINES","02.1.1.0 - Spirits and liquors (ND)",103.6651445411010
"PHILIPPINES","02.1.2 - Wine (ND)",104.4166666666670
"PHILIPPINES","02.1.2.1 - Wine from grapes (ND)",103.2453971905070
"PHILIPPINES","02.1.2.2 - Wine from other sources (ND)",104.7157178464050
"PHILIPPINES","02.1.3 - Beer (ND)",103.7000000000000
"PHILIPPINES","02.1.3.0 - Beer (ND)",103.7072146798950
"PHILIPPINES","02.3 - TOBACCO",117.6166666666670
"PHILIPPINES","02.3.0 - Tobacco (ND)",117.6166666666670
"PHILIPPINES","02.3.0.1 - Cigarettes (ND)",117.7610530915660
"PHILIPPINES","02.3.0.2 - Cigars (ND)",111.2725639872390
"PHILIPPINES","02.3.0.9 - Other tobacco products (ND)",108.9899595141730
"PHILIPPINES","02.4 - OTHER VEGETABLE-BASED TOBACCO PRODUCTS",104.5500000000000
"PHILIPPINES","02.4.0 - Other vegetable-based tobacco products (ND)",104.5500000000000
"PHILIPPINES","02.4.0.0 - Other vegetable-based tobacco products (ND)",104.5551659620930
"PHILIPPINES","02.900 - NON-FOOD",102.9666666666670
"PHILIPPINES","03 - CLOTHING AND FOOTWEAR",102.6250000000000
"PHILIPPINES","03.1 - CLOTHING",102.6500000000000
"PHILIPPINES","03.1.1 - Clothing materials (SD)",102.1500000000000
"PHILIPPINES","03.1.1.0 - Clothing materials (SD)",102.1298658813510
"PHILIPPINES","03.1.2 - Garments (SD)",102.5833333333330
"PHILIPPINES","03.1.2.1 - Garments for men or boys (SD)",102.6545433649810
"PHILIPPINES","03.1.2.2 - Garments for women or girls (SD)",102.4819636323340
"PHILIPPINES","03.1.2.3 - Garments for infants (0 to under 2 years) (SD)",102.8570006687440
"PHILIPPINES","03.1.2.4 - School uniforms (SD)",103.0507025050800
"PHILIPPINES","03.1.3 - Other articles of clothing and clothing accessories (SD)",103.2666666666670
"PHILIPPINES","03.1.3.1 - Other articles of clothing (SD)",103.0412983824660
"PHILIPPINES","03.1.3.2 - Clothing accessories (SD)",104.8206417847830
"PHILIPPINES","03.1.4 - Cleaning, repair, tailoring and hire of clothing (S)",104.9250000000000
"PHILIPPINES","03.1.4.1 - Cleaning of clothing (S)",104.1097168167250
"PHILIPPINES","03.1.4.2 - Repair, tailoring and hire of clothing (S)",107.1787076840760
"PHILIPPINES","03.2 - FOOTWEAR",102.6166666666670
"PHILIPPINES","03.2.1 - Shoes and other footwear (SD)",102.6166666666670
"PHILIPPINES","03.2.1.1 - Footwear for men (SD)",102.7612934836440
"PHILIPPINES","03.2.1.2 - Footwear for women (SD)",102.0502076203090
"PHILIPPINES","03.2.1.3 - Footwear for infants and children (SD)",103.0026800484750
"PHILIPPINES","03.2.2 - Cleaning, repair, and hire of footwear (S)",104.2416666666670
"PHILIPPINES","03.2.2.0 - Cleaning, repair, and hire of footwear (S)",104.2491565872660
"PHILIPPINES","04 - HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",103.5166666666670
"PHILIPPINES","04.1 - ACTUAL RENTALS FOR HOUSING",103.3166666666670
"PHILIPPINES","04.1.1 - Actual rentals paid by tenants for main residence (S)",103.3166666666670
"PHILIPPINES","04.1.1.0 - Actual rentals paid by tenants for main residence (S)",103.2969753826530
"PHILIPPINES","04.3 - MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING",103.3833333333330
"PHILIPPINES","04.3.1 - Security equipment and materials for the maintenance and repair of the dwelling (ND)",102.5833333333330
"PHILIPPINES","04.3.1.1 - Materials for the maintenance and repair of the dwelling (ND)",102.5769688835460
"PHILIPPINES","04.3.2 - Services for the maintenance, repair and security of the dwelling (S)",106.1666666666670
"PHILIPPINES","04.3.2.0 - Services for the maintenance, repair and security of the dwelling (S)",106.1779679479100
"PHILIPPINES","04.4 - WATER SUPPLY AND MISCELLANEOUS SERVICES RELATING TO THE DWELLING",104.1750000000000
"PHILIPPINES","04.4.1 - Water supply (ND)",104.1750000000000
"PHILIPPINES","04.4.1.1 - Water supply through network systems (ND)",104.2036405342510
"PHILIPPINES","04.5 - ELECTRICITY, GAS AND OTHER FUELS",105.4416666666670
"PHILIPPINES","04.5.3 - Liquid fuels (ND)",98.3333333333333
"PHILIPPINES","04.5.3.0 - Liquid fuels (ND)",98.3156345779608
"PHILIPPINES","04.5.4 - Solid fuels (ND)",105.8000000000000
"PHILIPPINES","04.5.4.2 - Wood fuel, including pellets and briquettes (ND)",105.4334374070040
"PHILIPPINES","04.5.4.3 - Charcoal (ND)",106.7712110938520
"PHILIPPINES","05 - FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",102.9333333333330
"PHILIPPINES","05.1 - FURNITURE, FURNISHINGS, AND LOOSE CARPETS",102.2083333333330
"PHILIPPINES","05.1.1 - Furniture, furnishings and loose carpets (D)",102.2083333333330
"PHILIPPINES","05.1.1.1 - Household furniture (D)",102.1545998191090
"PHILIPPINES","05.1.1.3 - Lighting equipment (D)",102.3461274946810
"PHILIPPINES","05.1.1.4 - Furnishings, loose carpets and rugs (D)",102.7909112386020
"PHILIPPINES","05.2 - HOUSEHOLD TEXTILES",101.5583333333330
"PHILIPPINES","05.2.1 - Household textiles (SD)",101.5583333333330
"PHILIPPINES","05.2.1.1 - Furnishing fabrics and curtains (SD)",101.2418227479050
"PHILIPPINES","05.2.1.2 - Bed linen and bedding (SD)",101.6939022702760
"PHILIPPINES","05.2.1.3 - Table linen and bathroom linen (SD)",101.5330694540740
"PHILIPPINES","05.2.1.9 - Other household textiles (SD)",102.1800306891630
"PHILIPPINES","05.3 - HOUSEHOLD APPLIANCES",101.8833333333330
"PHILIPPINES","05.3.1 - Major household appliances, whether electric or not (D)",101.7000000000000
"PHILIPPINES","05.3.1.1 - Major kitchen appliances (D)",101.8432021284060
"PHILIPPINES","05.3.1.2 - Major laundry appliances (D)",101.5799142259150
"PHILIPPINES","05.3.1.3 - Heaters, air conditioners (D)",101.4205764918830
"PHILIPPINES","05.3.2 - Small household appliances (SD)",102.8416666666670
"PHILIPPINES","05.3.2.1 - Small appliances for cooking and processing of food (SD)",103.2579515494800
"PHILIPPINES","05.3.2.9 - Other small household appliances (SD)",102.7443043686650
"PHILIPPINES","05.3.3 - Repair, installation and hire of household appliances (S)",101.6166666666670
"PHILIPPINES","05.3.3.0 - Repair, installation and hire of household appliances (S)",101.6282558818310
"PHILIPPINES","05.4 - GLASSWARE, TABLEWARE AND HOUSEHOLD UTENSILS",102.8750000000000
"PHILIPPINES","05.4.0 - Glassware, tableware and household utensils (SD)",102.8750000000000
"PHILIPPINES","05.4.0.1 - Glassware, crystal-ware, ceramic ware and chinaware (SD)",103.0581852879060
"PHILIPPINES","05.4.0.2 - Cutlery, flatware and silverware (SD)",102.2129834079330
"PHILIPPINES","05.4.0.3 - Kitchen utensils and articles (SD)",102.8591197312890
"PHILIPPINES","05.5 - TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN",101.5250000000000
"PHILIPPINES","05.5.1 - Motorized tools and equipment (D)",100.6750000000000
"PHILIPPINES","05.5.1.0 - Motorized tools and equipment (D)",100.6595536986800
"PHILIPPINES","05.5.2 - Non-motorized tools and miscellaneous accessories (SD)",101.7916666666670
"PHILIPPINES","05.5.2.1 - Non-motorized tools (SD)",101.9831087773040
"PHILIPPINES","05.5.2.2 - Miscellaneous accessories (SD)",101.6510232818320
"PHILIPPINES","05.6 - GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE",103.3833333333330
"PHILIPPINES","05.6.1 - Non-durable household goods (ND)",102.8333333333330
"PHILIPPINES","05.6.1.1 - Household cleaning and maintenance products (ND)",103.0132816094670
"PHILIPPINES","05.6.1.9 - Other non-durable household goods (ND)",102.7728127878900
"PHILIPPINES","05.6.2 - Domestic services and household services (S)",104.4083333333330
"PHILIPPINES","05.6.2.1 - Domestic services by paid staff (S)",104.4256175251220
"PHILIPPINES","06 - HEALTH",104.0166666666670
"PHILIPPINES","06.1 - MEDICINES AND HEALTH PRODUCTS",103.1416666666670
"PHILIPPINES","06.1.1 - Medicines (ND)",103.1750000000000
