"Geolocation","Commodity Description","2021 Jan"
"PHILIPPINES","0 - ALL ITEMS",108.4000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",110.7000000000000
"PHILIPPINES","01.1 - FOOD",111.1000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",95.3000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",91.3822999387725
"PHILIPPINES","01.1.1.12 - Rice",91.1404427777796
"PHILIPPINES","01.1.1.16 - Corn",95.8269169640561
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",107.3717655567760
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",106.3892868988320
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",107.2534762053680
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",108.1593789355400
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",105.9255629776500
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",110.5983909291530
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",119.5000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",122.6032179873240
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",108.5269887688360
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",124.3214251302580
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",108.5756705487480
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",118.6000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",119.4669346325220
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",121.8374727039090
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",107.6456295306150
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",119.4376073618560
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",115.6248240387310
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",107.4000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",110.5195296717490
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",103.0673219888050
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",101.9867370910600
"PHILIPPINES","01.1.4.5 - Cheese (ND)",106.0180019773150
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",103.2795417415330
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",106.0317439616470
"PHILIPPINES","01.1.4.8 - Eggs (ND)",113.1508678695550
"PHILIPPINES","01.1.5 - Oils and fats (ND)",105.8000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",106.2651408839430
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",109.2024398640990
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",103.2021898920520
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",92.1328060990040
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",125.6000000000000
"PHILIPPINES","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",126.6316161329370
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",122.2543887191490
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",130.2522662882190
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",122.6213010133110
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",116.6899806161610
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",109.9472304700250
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",108.6606483753950
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",147.6000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",141.6013009398550
"PHILIPPINES","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",170.7958228249420
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",135.5384273711220
"PHILIPPINES","01.1.7.4 - Other vegetables, fresh or chilled (ND)",130.5305133137980
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",132.9641273124450
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",110.5464681392500
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",102.8000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",98.3358750189077
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",105.7853099910910
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",109.5558965322030
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",108.4705351624600
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",105.0977896084100
"PHILIPPINES","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",104.4975042684950
"PHILIPPINES","01.1.9 - Ready-made food and other food products n.e.c. (ND)",110.2000000000000
"PHILIPPINES","01.1.9.2 - Baby food (ND)",102.3839099214760
"PHILIPPINES","01.1.9.3 - Salt, condiments and sauces (ND)",110.0494135542010
"PHILIPPINES","01.1.9.4 - Spices, culinary herbs and seeds (ND)",123.9343222580400
"PHILIPPINES","01.1.9.9 - Other food products n.e.c. (ND)",110.5396068333070
"PHILIPPINES","01.2 - NON-ALCOHOLIC BEVERAGES",107.0000000000000
"PHILIPPINES","01.2.1 - Fruit and vegetable juices (ND)",115.9000000000000
"PHILIPPINES","01.2.1.0 - Fruit and vegetable juices (ND)",115.8597828198270
"PHILIPPINES","01.2.2 - Coffee and coffee substitutes (ND)",104.6000000000000
"PHILIPPINES","01.2.2.0 - Coffee and coffee substitutes (ND)",104.6225765148870
"PHILIPPINES","01.2.3 - Tea, maté and other plant products for infusion (ND)",105.2000000000000
"PHILIPPINES","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",105.2059365518110
"PHILIPPINES","01.2.4 - Cocoa drinks (ND)",110.2000000000000
"PHILIPPINES","01.2.4.0 - Cocoa drinks (ND)",110.2460213406270
"PHILIPPINES","01.2.5 - Water (ND)",103.7000000000000
"PHILIPPINES","01.2.5.0 - Water (ND)",103.7409067696220
"PHILIPPINES","01.2.6 - Soft drinks (ND)",108.5000000000000
"PHILIPPINES","01.2.6.0 - Soft drinks (ND)",108.5831353271200
"PHILIPPINES","01.2.9 - Other non-alcoholic beverages (ND)",114.3000000000000
"PHILIPPINES","01.2.9.0 - Other non-alcoholic beverages (ND)",114.3349410033480
"PHILIPPINES","02 - ALCOHOLIC BEVERAGES AND TOBACCO",137.6000000000000
"PHILIPPINES","02.1 - ALCOHOLIC BEVERAGES",117.1000000000000
"PHILIPPINES","02.1.1 - Spirits and liquors (ND)",118.4000000000000
"PHILIPPINES","02.1.1.0 - Spirits and liquors (ND)",118.3690046746400
"PHILIPPINES","02.1.2 - Wine (ND)",111.4000000000000
