"Geolocation","Commodity Description","2021 Oct"
"PHILIPPINES","0 - ALL ITEMS",109.5000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",108.2000000000000
"PHILIPPINES","01.1 - FOOD",108.3000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",96.7000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",92.7608754046220
"PHILIPPINES","01.1.1.12 - Rice",91.8479070300885
"PHILIPPINES","01.1.1.16 - Corn",109.5385253379010
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",109.1321329904000
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",107.6195241546020
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",108.9345143095320
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",109.3495350175000
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",107.8127997950910
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",112.7321475704120
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",117.1000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",118.6390670436850
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",114.6196268074700
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",123.4168804593320
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",111.3673622311280
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",115.5000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",115.5372698657250
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",126.9784720937010
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",108.5347481694670
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",111.6118179187240
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",118.9950055596250
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",107.3000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",111.7731018112220
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",103.6715216353870
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",102.9933938832740
"PHILIPPINES","01.1.4.5 - Cheese (ND)",106.5795228699360
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",105.0601588443800
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",107.5393007826730
"PHILIPPINES","01.1.4.8 - Eggs (ND)",112.0062282356450
"PHILIPPINES","01.1.5 - Oils and fats (ND)",111.5000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",112.9324110030600
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",111.6329821662910
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",105.7855219033930
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",102.3570001983210
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",115.3000000000000
"PHILIPPINES","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",115.3262236490060
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",124.1571511105820
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",114.5618176794650
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",126.6517265966140
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",119.5227643546630
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",108.2131325174930
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",110.2556532786570
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",121.0000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",127.6676941615310
"PHILIPPINES","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",117.8236675215720
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",116.8776941852600
"PHILIPPINES","01.1.7.4 - Other vegetables, fresh or chilled (ND)",122.1651297644450
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",114.4042570019780
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",113.6390405918170
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",104.5000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",100.2698775220670
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",107.6820454299390
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",111.7286540950120
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",109.8333892659060
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",106.2306913491070
"PHILIPPINES","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",106.4746972918440
"PHILIPPINES","01.1.9 - Ready-made food and other food products n.e.c. (ND)",111.3000000000000
"PHILIPPINES","01.1.9.2 - Baby food (ND)",102.9646729990130
"PHILIPPINES","01.1.9.3 - Salt, condiments and sauces (ND)",112.8271937470630
"PHILIPPINES","01.1.9.4 - Spices, culinary herbs and seeds (ND)",122.0274081826210
"PHILIPPINES","01.1.9.9 - Other food products n.e.c. (ND)",112.1578884863600
"PHILIPPINES","01.2 - NON-ALCOHOLIC BEVERAGES",107.9000000000000
"PHILIPPINES","01.2.1 - Fruit and vegetable juices (ND)",118.2000000000000
"PHILIPPINES","01.2.1.0 - Fruit and vegetable juices (ND)",118.1270262702320
"PHILIPPINES","01.2.2 - Coffee and coffee substitutes (ND)",105.0000000000000
"PHILIPPINES","01.2.2.0 - Coffee and coffee substitutes (ND)",105.0683562373820
"PHILIPPINES","01.2.3 - Tea, maté and other plant products for infusion (ND)",107.3000000000000
"PHILIPPINES","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",107.3503921378810
"PHILIPPINES","01.2.4 - Cocoa drinks (ND)",111.5000000000000
"PHILIPPINES","01.2.4.0 - Cocoa drinks (ND)",111.5354059664100
"PHILIPPINES","01.2.5 - Water (ND)",104.7000000000000
"PHILIPPINES","01.2.5.0 - Water (ND)",104.6549337333170
"PHILIPPINES","01.2.6 - Soft drinks (ND)",109.6000000000000
"PHILIPPINES","01.2.6.0 - Soft drinks (ND)",109.5557827841820
"PHILIPPINES","01.2.9 - Other non-alcoholic beverages (ND)",116.1000000000000
"PHILIPPINES","01.2.9.0 - Other non-alcoholic beverages (ND)",116.0611426655950
"PHILIPPINES","02 - ALCOHOLIC BEVERAGES AND TOBACCO",143.1000000000000
"PHILIPPINES","02.1 - ALCOHOLIC BEVERAGES",120.1000000000000
"PHILIPPINES","02.1.1 - Spirits and liquors (ND)",121.6000000000000
"PHILIPPINES","02.1.1.0 - Spirits and liquors (ND)",121.6238697409930
"PHILIPPINES","02.1.2 - Wine (ND)",114.2000000000000
"PHILIPPINES","02.1.2.1 - Wine from grapes (ND)",110.3215896854450
"PHILIPPINES","02.1.2.2 - Wine from other sources (ND)",115.1481620871040
"PHILIPPINES","02.1.3 - Beer (ND)",118.9000000000000
"PHILIPPINES","02.1.3.0 - Beer (ND)",118.9492040730300
"PHILIPPINES","02.3 - TOBACCO",159.1000000000000
"PHILIPPINES","02.3.0 - Tobacco (ND)",159.1000000000000
"PHILIPPINES","02.3.0.1 - Cigarettes (ND)",159.4496826228540
"PHILIPPINES","02.3.0.2 - Cigars (ND)",149.6331646178950
"PHILIPPINES","02.3.0.9 - Other tobacco products (ND)",131.7037598999670
"PHILIPPINES","02.4 - OTHER VEGETABLE-BASED TOBACCO PRODUCTS",134.3000000000000
"PHILIPPINES","02.4.0 - Other vegetable-based tobacco products (ND)",134.3000000000000
"PHILIPPINES","02.4.0.0 - Other vegetable-based tobacco products (ND)",134.3293822504050
"PHILIPPINES","02.900 - NON-FOOD",109.0000000000000
"PHILIPPINES","03 - CLOTHING AND FOOTWEAR",107.5000000000000
"PHILIPPINES","03.1 - CLOTHING",107.2000000000000
"PHILIPPINES","03.1.1 - Clothing materials (SD)",105.6000000000000
"PHILIPPINES","03.1.1.0 - Clothing materials (SD)",105.6548396926990
"PHILIPPINES","03.1.2 - Garments (SD)",107.0000000000000
"PHILIPPINES","03.1.2.1 - Garments for men or boys (SD)",106.9170494965700
"PHILIPPINES","03.1.2.2 - Garments for women or girls (SD)",106.9827865134180
"PHILIPPINES","03.1.2.3 - Garments for infants (0 to under 2 years) (SD)",108.4082003701990
"PHILIPPINES","03.1.2.4 - School uniforms (SD)",110.7052963033320
"PHILIPPINES","03.1.3 - Other articles of clothing and clothing accessories (SD)",108.1000000000000
"PHILIPPINES","03.1.3.1 - Other articles of clothing (SD)",107.5371953349410
"PHILIPPINES","03.1.3.2 - Clothing accessories (SD)",111.9866051720470
"PHILIPPINES","03.1.4 - Cleaning, repair, tailoring and hire of clothing (S)",114.4000000000000
"PHILIPPINES","03.1.4.1 - Cleaning of clothing (S)",113.0555587808670
"PHILIPPINES","03.1.4.2 - Repair, tailoring and hire of clothing (S)",118.1684296936190
"PHILIPPINES","03.2 - FOOTWEAR",108.1000000000000
"PHILIPPINES","03.2.1 - Shoes and other footwear (SD)",108.1000000000000
"PHILIPPINES","03.2.1.1 - Footwear for men (SD)",108.2952567437830
"PHILIPPINES","03.2.1.2 - Footwear for women (SD)",107.1500183001300
"PHILIPPINES","03.2.1.3 - Footwear for infants and children (SD)",108.5979237508040
"PHILIPPINES","03.2.2 - Cleaning, repair, and hire of footwear (S)",111.6000000000000
"PHILIPPINES","03.2.2.0 - Cleaning, repair, and hire of footwear (S)",111.6169018487830
"PHILIPPINES","04 - HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",107.2000000000000
"PHILIPPINES","04.1 - ACTUAL RENTALS FOR HOUSING",107.7000000000000
"PHILIPPINES","04.1.1 - Actual rentals paid by tenants for main residence (S)",107.7000000000000
"PHILIPPINES","04.1.1.0 - Actual rentals paid by tenants for main residence (S)",107.7440739824910
