"Geolocation","Commodity Description","2022 Ave"
"PHILIPPINES","0 - ALL ITEMS",115.2833333333330
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",115.3250000000000
"PHILIPPINES","01.1 - FOOD",115.7166666666670
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",100.3833333333330
"PHILIPPINES","01.1.1.1 - Cereals (ND)",95.5316974681263
"PHILIPPINES","01.1.1.12 - Rice",93.5314737133829
"PHILIPPINES","01.1.1.16 - Corn",132.2898753868980
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",115.5568437044360
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",113.7634969916020
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",115.4419994277320
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",111.7679364455030
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",114.8148116965510
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",118.3129385592170
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",129.8166666666670
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",133.9805531580450
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",118.8855654037670
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",136.4182741012620
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",115.4872239698900
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",125.2750000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",125.5287949248120
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",135.6077580249990
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",115.0050350738470
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",124.2606196423440
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",124.0691027918470
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",112.5250000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",120.0658209661910
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",106.0934316505980
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",104.1509353348910
"PHILIPPINES","01.1.4.5 - Cheese (ND)",110.7205505300970
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",109.5755295342360
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",108.9922731291450
"PHILIPPINES","01.1.4.8 - Eggs (ND)",120.9329312910170
"PHILIPPINES","01.1.5 - Oils and fats (ND)",126.8166666666670
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",131.7734357577840
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",115.5418957537080
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",110.1522565821830
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",110.2259037166690
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",118.8416666666670
"PHILIPPINES","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",118.4808759497200
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",130.8714520880890
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",122.1525946799080
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",133.0053570899200
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",123.5701783469200
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",116.5619885023520
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",117.2762119507290
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",127.7916666666670
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",123.3626591933610
"PHILIPPINES","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",128.2780674506100
