"Geolocation","Commodity Description","2022 Nov"
"PHILIPPINES","0 - ALL ITEMS",119.0000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",120.2000000000000
"PHILIPPINES","01.1 - FOOD",120.7000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",102.7000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",96.9143341945620
"PHILIPPINES","01.1.1.12 - Rice",94.5021768605116
"PHILIPPINES","01.1.1.16 - Corn",141.2426290879860
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",120.7211158660580
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",119.2157759539240
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",120.6675309008980
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",113.1018581638930
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",119.9184285495760
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",123.7376747513480
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",130.4000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",133.6773599736360
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",123.5151074690480
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",138.4150798541680
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",118.7423364560100
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",127.8000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",127.9227088506240
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",139.1418297470130
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",119.6876211793420
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",124.5749812118870
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",130.7042773656980
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",117.6000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",128.4699272528980
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",108.9717839288390
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",105.6235962630680
"PHILIPPINES","01.1.4.5 - Cheese (ND)",115.4580126539280
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",115.6149077439100
