"Geolocation","Commodity Description","2020 May"
"PHILIPPINES","0 - ALL ITEMS",103.8000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",104.3000000000000
"PHILIPPINES","01.1 - FOOD",104.1000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",96.3000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",93.2480918959247
"PHILIPPINES","01.1.1.12 - Rice",93.0384377879801
"PHILIPPINES","01.1.1.16 - Corn",97.1009123531125
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",106.0234941053980
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",106.0637600711440
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",105.8018100134780
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",107.1619781612610
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",104.8092781184660
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",109.1607216049170
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",104.2000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",104.0033553734360
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",104.9490707942830
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",102.9934405113190
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",105.0616727442380
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",110.2000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",110.2806639625430
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",115.8578360198330
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",106.3820810087300
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",107.6587489433740
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",113.5055220188550
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",106.6000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",109.3392786560680
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",102.3476613580600
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",100.5362845649410
"PHILIPPINES","01.1.4.5 - Cheese (ND)",105.4151533314880
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",102.1537187337900
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",105.9738604084820
"PHILIPPINES","01.1.4.8 - Eggs (ND)",111.9963242699930
"PHILIPPINES","01.1.5 - Oils and fats (ND)",103.7000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",103.7274739486920
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",108.1021449671570
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",102.5537657106080
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",96.6764867744300
