"Geolocation","Commodity Description","2023 Dec"
"PHILIPPINES","0 - ALL ITEMS",124.1000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",127.9000000000000
"PHILIPPINES","01.1 - FOOD",128.7000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",118.0000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",114.4296163021760
"PHILIPPINES","01.1.1.12 - Rice",113.2728195945790
"PHILIPPINES","01.1.1.16 - Corn",135.6881075549010
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",129.3482309280510
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",125.4582135793630
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",129.7550051929490
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",121.3112870145290
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",127.4638299356620
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",132.3000723479020
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",131.8000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",133.8673373810250
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",129.7478698231170
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",140.4729385077100
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",123.8111030891520
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",134.1000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",133.2501403375810
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",149.2124333123950
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",128.8107336325940
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",132.2530612480250
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",140.9798391360990
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",127.3000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",137.8182641029060
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",114.6990459044520
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",117.9818847994890
"PHILIPPINES","01.1.4.5 - Cheese (ND)",121.8244200633400
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",123.5460683136280
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",118.2203718625010
"PHILIPPINES","01.1.4.8 - Eggs (ND)",144.1422889120130
"PHILIPPINES","01.1.5 - Oils and fats (ND)",130.4000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",135.4771993946980
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",124.8881237422270
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",112.0371703896720
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",111.4890098483240
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",140.0000000000000
"PHILIPPINES","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",140.4195754337780
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",138.0907369283720
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",137.9099282307370
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",146.0233952941080
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",137.4916236334350
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",137.0428134316210
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",129.8752132867950
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",146.5000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",134.3658465512150
"PHILIPPINES","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",136.3171553981530
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",129.3173605594960
"PHILIPPINES","01.1.7.4 - Other vegetables, fresh or chilled (ND)",162.6008339708620
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",177.5440179839930
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",137.2395140355930
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",146.1000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",173.7185088310860
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",126.7209641525320
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",135.8327045867470
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",126.1259286643390
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",118.6476835181350
"PHILIPPINES","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",125.8942344973590
"PHILIPPINES","01.1.9 - Ready-made food and other food products n.e.c. (ND)",128.2000000000000
"PHILIPPINES","01.1.9.2 - Baby food (ND)",118.9739344471800
"PHILIPPINES","01.1.9.3 - Salt, condiments and sauces (ND)",132.7895303370100
"PHILIPPINES","01.1.9.4 - Spices, culinary herbs and seeds (ND)",132.0148301726580
"PHILIPPINES","01.1.9.9 - Other food products n.e.c. (ND)",130.7669354483310
"PHILIPPINES","01.2 - NON-ALCOHOLIC BEVERAGES",119.1000000000000
"PHILIPPINES","01.2.1 - Fruit and vegetable juices (ND)",131.8000000000000
"PHILIPPINES","01.2.1.0 - Fruit and vegetable juices (ND)",131.8538558394210
"PHILIPPINES","01.2.2 - Coffee and coffee substitutes (ND)",115.1000000000000
"PHILIPPINES","01.2.2.0 - Coffee and coffee substitutes (ND)",115.0924036718360
"PHILIPPINES","01.2.3 - Tea, maté and other plant products for infusion (ND)",121.2000000000000
"PHILIPPINES","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",121.2517175514590
"PHILIPPINES","01.2.4 - Cocoa drinks (ND)",127.2000000000000
"PHILIPPINES","01.2.4.0 - Cocoa drinks (ND)",127.1751479153270
"PHILIPPINES","01.2.5 - Water (ND)",111.2000000000000
"PHILIPPINES","01.2.5.0 - Water (ND)",111.2367673352330
"PHILIPPINES","01.2.6 - Soft drinks (ND)",125.4000000000000
"PHILIPPINES","01.2.6.0 - Soft drinks (ND)",125.3253552369740
"PHILIPPINES","01.2.9 - Other non-alcoholic beverages (ND)",130.1000000000000
"PHILIPPINES","01.2.9.0 - Other non-alcoholic beverages (ND)",130.1110430567210
"PHILIPPINES","02 - ALCOHOLIC BEVERAGES AND TOBACCO",174.1000000000000
"PHILIPPINES","02.1 - ALCOHOLIC BEVERAGES",137.7000000000000
"PHILIPPINES","02.1.1 - Spirits and liquors (ND)",140.8000000000000
"PHILIPPINES","02.1.1.0 - Spirits and liquors (ND)",140.7797718043280
"PHILIPPINES","02.1.2 - Wine (ND)",127.1000000000000
"PHILIPPINES","02.1.2.1 - Wine from grapes (ND)",124.6367857320510
"PHILIPPINES","02.1.2.2 - Wine from other sources (ND)",127.6757870513090
"PHILIPPINES","02.1.3 - Beer (ND)",135.2000000000000
"PHILIPPINES","02.1.3.0 - Beer (ND)",135.1999586510720
"PHILIPPINES","02.3 - TOBACCO",199.2000000000000
"PHILIPPINES","02.3.0 - Tobacco (ND)",199.2000000000000
"PHILIPPINES","02.3.0.1 - Cigarettes (ND)",199.9156122089360
"PHILIPPINES","02.3.0.2 - Cigars (ND)",188.9456299804780
"PHILIPPINES","02.3.0.9 - Other tobacco products (ND)",144.9750674487600
"PHILIPPINES","02.4 - OTHER VEGETABLE-BASED TOBACCO PRODUCTS",153.8000000000000
"PHILIPPINES","02.4.0 - Other vegetable-based tobacco products (ND)",153.8000000000000
"PHILIPPINES","02.4.0.0 - Other vegetable-based tobacco products (ND)",153.8539421895200
"PHILIPPINES","02.900 - NON-FOOD",119.8000000000000
"PHILIPPINES","03 - CLOTHING AND FOOTWEAR",116.6000000000000
"PHILIPPINES","03.1 - CLOTHING",116.4000000000000
"PHILIPPINES","03.1.1 - Clothing materials (SD)",112.4000000000000
"PHILIPPINES","03.1.1.0 - Clothing materials (SD)",112.4270080055500
"PHILIPPINES","03.1.2 - Garments (SD)",116.1000000000000
"PHILIPPINES","03.1.2.1 - Garments for men or boys (SD)",116.2232059530000
"PHILIPPINES","03.1.2.2 - Garments for women or girls (SD)",115.8879921994510
"PHILIPPINES","03.1.2.3 - Garments for infants (0 to under 2 years) (SD)",117.9227894007360
"PHILIPPINES","03.1.2.4 - School uniforms (SD)",124.1756538280300
"PHILIPPINES","03.1.3 - Other articles of clothing and clothing accessories (SD)",115.2000000000000
"PHILIPPINES","03.1.3.1 - Other articles of clothing (SD)",114.7801336984550
"PHILIPPINES","03.1.3.2 - Clothing accessories (SD)",118.5371942609030
"PHILIPPINES","03.1.4 - Cleaning, repair, tailoring and hire of clothing (S)",128.7000000000000
"PHILIPPINES","03.1.4.1 - Cleaning of clothing (S)",127.7796825193210
"PHILIPPINES","03.1.4.2 - Repair, tailoring and hire of clothing (S)",131.2457182575760
"PHILIPPINES","03.2 - FOOTWEAR",116.8000000000000
"PHILIPPINES","03.2.1 - Shoes and other footwear (SD)",116.8000000000000
"PHILIPPINES","03.2.1.1 - Footwear for men (SD)",117.1308688669020
"PHILIPPINES","03.2.1.2 - Footwear for women (SD)",116.1541805959940
"PHILIPPINES","03.2.1.3 - Footwear for infants and children (SD)",117.0889975880720
"PHILIPPINES","03.2.2 - Cleaning, repair, and hire of footwear (S)",121.5000000000000
"PHILIPPINES","03.2.2.0 - Cleaning, repair, and hire of footwear (S)",121.4949485379210
"PHILIPPINES","04 - HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",117.8000000000000
"PHILIPPINES","04.1 - ACTUAL RENTALS FOR HOUSING",116.3000000000000
"PHILIPPINES","04.1.1 - Actual rentals paid by tenants for main residence (S)",116.3000000000000
"PHILIPPINES","04.1.1.0 - Actual rentals paid by tenants for main residence (S)",116.2720745915340
