"Geolocation","Commodity Description","2018 Jun"
"PHILIPPINES","0 - ALL ITEMS",99.4000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",98.8000000000000
"PHILIPPINES","01.1 - FOOD",98.6000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",99.0000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",98.8363403662769
"PHILIPPINES","01.1.1.12 - Rice",98.6654648401546
"PHILIPPINES","01.1.1.16 - Corn",101.9765255461970
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",99.4406450033103
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",99.8414941061249
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",99.3352209838099
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",100.1553058836000
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",99.8217661658436
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",99.1621807441103
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",99.8000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",99.9178263926819
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",99.6886363514364
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",99.5444253002523
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",99.6201356849112
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",98.3000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",98.1443296372812
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",97.7487657631460
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",99.5142231057708
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",97.8512702795712
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",98.9010690228921
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",99.9000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",99.4106129408903
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",99.7955289886123
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",99.5911150189712
"PHILIPPINES","01.1.4.5 - Cheese (ND)",99.6942522519195
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",100.1343893341780
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",98.9571078950193
"PHILIPPINES","01.1.4.8 - Eggs (ND)",100.0150209052980
"PHILIPPINES","01.1.5 - Oils and fats (ND)",99.5000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",99.3526989535468
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",99.5886505116928
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",99.8091149784139
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",101.8805399039580
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",98.5000000000000
"PHILIPPINES","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",98.4422078730451
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",97.3638312123235
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",98.2888945546248
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",95.0299506641055
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",98.5043616165389
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",99.7838829199892
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",99.7738752084596
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",93.0000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",95.5093505616109
"PHILIPPINES","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",89.0735394020454
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",96.7579135418799
"PHILIPPINES","01.1.7.4 - Other vegetables, fresh or chilled (ND)",95.3636907479546
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",93.5349580254084
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",99.6690838979194
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",99.2000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",98.7130397100811
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",99.7803946382290
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",99.1848232617585
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",99.3375965145423
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",99.6422279680054
"PHILIPPINES","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",99.5351905706604
"PHILIPPINES","01.1.9 - Ready-made food and other food products n.e.c. (ND)",99.6000000000000
"PHILIPPINES","01.1.9.2 - Baby food (ND)",99.7379601950849
"PHILIPPINES","01.1.9.3 - Salt, condiments and sauces (ND)",99.6561823048063
"PHILIPPINES","01.1.9.4 - Spices, culinary herbs and seeds (ND)",98.7924837743492
"PHILIPPINES","01.1.9.9 - Other food products n.e.c. (ND)",99.7989177042096
"PHILIPPINES","01.2 - NON-ALCOHOLIC BEVERAGES",100.1000000000000
"PHILIPPINES","01.2.1 - Fruit and vegetable juices (ND)",101.8000000000000
"PHILIPPINES","01.2.1.0 - Fruit and vegetable juices (ND)",101.7280582563660
"PHILIPPINES","01.2.2 - Coffee and coffee substitutes (ND)",99.6000000000000
"PHILIPPINES","01.2.2.0 - Coffee and coffee substitutes (ND)",99.5915440808553
"PHILIPPINES","01.2.3 - Tea, maté and other plant products for infusion (ND)",100.1000000000000
"PHILIPPINES","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",100.0942234712860
"PHILIPPINES","01.2.4 - Cocoa drinks (ND)",100.1000000000000
"PHILIPPINES","01.2.4.0 - Cocoa drinks (ND)",100.0768364618650
"PHILIPPINES","01.2.5 - Water (ND)",100.3000000000000
"PHILIPPINES","01.2.5.0 - Water (ND)",100.2879826320500
"PHILIPPINES","01.2.6 - Soft drinks (ND)",100.3000000000000
"PHILIPPINES","01.2.6.0 - Soft drinks (ND)",100.3362657964140
"PHILIPPINES","01.2.9 - Other non-alcoholic beverages (ND)",101.4000000000000
"PHILIPPINES","01.2.9.0 - Other non-alcoholic beverages (ND)",101.3674287429610
"PHILIPPINES","02 - ALCOHOLIC BEVERAGES AND TOBACCO",100.5000000000000
"PHILIPPINES","02.1 - ALCOHOLIC BEVERAGES",99.9000000000000
"PHILIPPINES","02.1.1 - Spirits and liquors (ND)",100.0000000000000
