"Geolocation","Commodity Description","2023 Nov"
"PHILIPPINES","0 - ALL ITEMS",123.9000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",127.0000000000000
"PHILIPPINES","01.1 - FOOD",127.7000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",115.2000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",110.7767276725740
"PHILIPPINES","01.1.1.12 - Rice",109.4649320453120
"PHILIPPINES","01.1.1.16 - Corn",134.8836391846640
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",129.0848800023180
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",125.0353469005580
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",129.5111493029510
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",120.8928543626470
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",127.1967285079070
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",131.9899290949770
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",131.0000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",132.9590315432830
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",129.7801121498140
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",139.9926651890990
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",123.5466908571190
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",134.0000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",133.5095452235470
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",149.4650592305640
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",128.5578767680010
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",130.3818947538350
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",140.8897802914720
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",126.5000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",137.7869374541770
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",114.5466709936940
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",117.4679908979980
"PHILIPPINES","01.1.4.5 - Cheese (ND)",121.8052590665550
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",123.2231388685590
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",118.3030954695960
"PHILIPPINES","01.1.4.8 - Eggs (ND)",142.4366603516580
"PHILIPPINES","01.1.5 - Oils and fats (ND)",130.6000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",135.6044269820180
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",125.2685056797250
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",112.2455879122830
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",113.1173199483310
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",138.8000000000000
"PHILIPPINES","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",139.1921250834350
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",140.1348171849970
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",137.8354357191260
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",149.9100632175070
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",136.6443243867550
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",136.2759193317990
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",129.4456011293300
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",150.7000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",142.9433165073440
"PHILIPPINES","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",144.8201642074510
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",128.1443165458110
"PHILIPPINES","01.1.7.4 - Other vegetables, fresh or chilled (ND)",154.6075716884770
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",186.3260243071100
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",136.7511283382260
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",146.7000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",175.5950372231740
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",126.4623691497490
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",135.3568185935760
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",125.9708335221180
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",118.4396605488760
"PHILIPPINES","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",125.4445537562070
"PHILIPPINES","01.1.9 - Ready-made food and other food products n.e.c. (ND)",128.0000000000000
"PHILIPPINES","01.1.9.2 - Baby food (ND)",118.8198371913440
"PHILIPPINES","01.1.9.3 - Salt, condiments and sauces (ND)",132.4204338521940
"PHILIPPINES","01.1.9.4 - Spices, culinary herbs and seeds (ND)",132.4017914225610
"PHILIPPINES","01.1.9.9 - Other food products n.e.c. (ND)",130.2854963922100
"PHILIPPINES","01.2 - NON-ALCOHOLIC BEVERAGES",119.0000000000000
"PHILIPPINES","01.2.1 - Fruit and vegetable juices (ND)",131.6000000000000
"PHILIPPINES","01.2.1.0 - Fruit and vegetable juices (ND)",131.6137919951390
"PHILIPPINES","01.2.2 - Coffee and coffee substitutes (ND)",114.9000000000000
"PHILIPPINES","01.2.2.0 - Coffee and coffee substitutes (ND)",114.9667833233930
"PHILIPPINES","01.2.3 - Tea, maté and other plant products for infusion (ND)",120.6000000000000
"PHILIPPINES","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",120.5502798935770
"PHILIPPINES","01.2.4 - Cocoa drinks (ND)",127.0000000000000
"PHILIPPINES","01.2.4.0 - Cocoa drinks (ND)",127.0172459914420
"PHILIPPINES","01.2.5 - Water (ND)",111.2000000000000
"PHILIPPINES","01.2.5.0 - Water (ND)",111.2188093533030
"PHILIPPINES","01.2.6 - Soft drinks (ND)",125.2000000000000
"PHILIPPINES","01.2.6.0 - Soft drinks (ND)",125.1826619964920
