"Geolocation","Commodity Description","2021 Dec"
"PHILIPPINES","0 - ALL ITEMS",110.5000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",110.1000000000000
"PHILIPPINES","01.1 - FOOD",110.3000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",96.7000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",92.5697475015703
"PHILIPPINES","01.1.1.12 - Rice",91.5495168537345
"PHILIPPINES","01.1.1.16 - Corn",111.3185597693970
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",109.7122847072900
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",108.0163935972570
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",109.4780724814310
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",109.8390423490590
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",108.6575921171310
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",113.0888444827650
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",122.5000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",125.5950790186630
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",115.1073436713460
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",128.3152061687120
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",111.8001110218520
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",120.4000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",120.9575524368130
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",129.2866439234940
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",109.4741774420980
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",118.7973291862000
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",119.2236554765220
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",107.8000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",112.2965133761820
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",103.6435335258010
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",103.0965623424950
"PHILIPPINES","01.1.4.5 - Cheese (ND)",106.9877046002980
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",105.2382737706600
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",107.7509131828130
"PHILIPPINES","01.1.4.8 - Eggs (ND)",113.2292239798000
"PHILIPPINES","01.1.5 - Oils and fats (ND)",113.5000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",115.5250334735910
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",111.5934435683460
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",106.1525646436680
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",102.4241668927730
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",116.0000000000000
"PHILIPPINES","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",115.7993222323820
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",128.5969915639770
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",115.4326638345840
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",129.7915119353210
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",120.0609834333420
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",112.2775301751780
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",111.0945299754110
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",121.8000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",118.9637185647180
"PHILIPPINES","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",114.3297817808970
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",121.8563093111740
"PHILIPPINES","01.1.7.4 - Other vegetables, fresh or chilled (ND)",138.1893563239200
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",116.5238631851150
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",114.2507337086870
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",105.1000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",101.2245359541420
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",108.0815134056820
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",112.5845490019740
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",109.8981161115450
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",106.3817549616960
"PHILIPPINES","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",106.7766838789860
"PHILIPPINES","01.1.9 - Ready-made food and other food products n.e.c. (ND)",111.6000000000000
"PHILIPPINES","01.1.9.2 - Baby food (ND)",103.3160822647740
"PHILIPPINES","01.1.9.3 - Salt, condiments and sauces (ND)",113.5939947679080
"PHILIPPINES","01.1.9.4 - Spices, culinary herbs and seeds (ND)",121.1250311625940
"PHILIPPINES","01.1.9.9 - Other food products n.e.c. (ND)",112.7183958353850
"PHILIPPINES","01.2 - NON-ALCOHOLIC BEVERAGES",108.1000000000000
"PHILIPPINES","01.2.1 - Fruit and vegetable juices (ND)",118.5000000000000
"PHILIPPINES","01.2.1.0 - Fruit and vegetable juices (ND)",118.4971418596190
"PHILIPPINES","01.2.2 - Coffee and coffee substitutes (ND)",105.3000000000000
"PHILIPPINES","01.2.2.0 - Coffee and coffee substitutes (ND)",105.2488601513150
"PHILIPPINES","01.2.3 - Tea, maté and other plant products for infusion (ND)",107.5000000000000
"PHILIPPINES","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",107.4977796075860
"PHILIPPINES","01.2.4 - Cocoa drinks (ND)",111.8000000000000
"PHILIPPINES","01.2.4.0 - Cocoa drinks (ND)",111.7542758548790
"PHILIPPINES","01.2.5 - Water (ND)",104.8000000000000
"PHILIPPINES","01.2.5.0 - Water (ND)",104.8318452723630
"PHILIPPINES","01.2.6 - Soft drinks (ND)",109.8000000000000
"PHILIPPINES","01.2.6.0 - Soft drinks (ND)",109.7790040458180
"PHILIPPINES","01.2.9 - Other non-alcoholic beverages (ND)",116.4000000000000
"PHILIPPINES","01.2.9.0 - Other non-alcoholic beverages (ND)",116.3887867825250
