"Geolocation","Commodity Description","2020 Sep"
"PHILIPPINES","0 - ALL ITEMS",107.7000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",106.9000000000000
"PHILIPPINES","01.1 - FOOD",106.9000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",106.8000000000000
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",106.8240185610130
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",106.5373927850880
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",106.6422992166650
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",107.8266975397540
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",105.5244020237220
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",109.9760695039770
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",106.1000000000000
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",106.1283004415010
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",106.4921333279750
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",106.0392543049840
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",109.2000000000000
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",115.2605719940540
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",107.0789489327880
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",105.9729007879480
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",114.4558425816520
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",106.9000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",110.5420585266030
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",102.7748176151140
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",101.4026575302300
"PHILIPPINES","01.1.4.5 - Cheese (ND)",105.9897702575550
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",102.8051079970390
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",106.0714695941050
"PHILIPPINES","01.1.4.8 - Eggs (ND)",112.1823295337450
"PHILIPPINES","01.1.5 - Oils and fats (ND)",104.6000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",104.6652528914280
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",108.7633248588740
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",103.0382539959790
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",92.7444145163690
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",113.9000000000000
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",117.8283005950460
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",133.5783345620730
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",112.3606235311520
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",115.4728162657520
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",106.2723286829830
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",107.9867143585350
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",104.0000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",100.5701221768210
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",103.5061080818780
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",111.6954824725100
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",109.3877232755670
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",102.8000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",98.9644302522567
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",105.6145196176010
