"Geolocation","Commodity Description","2021 Ave"
"PHILIPPINES","0 - ALL ITEMS",108.9416666666670
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",108.9500000000000
"PHILIPPINES","01.1 - FOOD",109.0833333333330
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",96.1333333333333
"PHILIPPINES","01.1.1.1 - Cereals (ND)",92.2511432393055
"PHILIPPINES","01.1.1.12 - Rice",91.6105265932238
"PHILIPPINES","01.1.1.16 - Corn",104.0237764752400
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",108.4205177504530
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",107.0994620374320
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",108.2649384849480
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",109.0976032932970
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",107.0048852938720
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",111.8677406152270
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",121.5083333333330
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",124.5681823907970
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",111.8704806922380
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",127.2067552387000
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",110.8807685759910
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",117.3833333333330
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",117.7772728923830
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",126.3968124579370
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",108.3489084364770
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",115.2261620159830
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",117.8144850119820
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",107.6500000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",111.3753080730930
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",103.3833554250240
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",102.5521610286700
"PHILIPPINES","01.1.4.5 - Cheese (ND)",106.5398164539850
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",104.0946806940130
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",106.5935332479080
"PHILIPPINES","01.1.4.8 - Eggs (ND)",113.2707218676960
"PHILIPPINES","01.1.5 - Oils and fats (ND)",109.8166666666670
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",111.1119264676840
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",110.6432864935270
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",104.5460501910390
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",98.6926055781729
