"Geolocation","Commodity Description","2019 May"
"PHILIPPINES","0 - ALL ITEMS",102.9000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",103.0000000000000
"PHILIPPINES","01.1 - FOOD",103.0000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",103.1000000000000
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",103.0380170741960
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",102.5883744784280
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",102.9991896330090
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",102.2994353889120
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",102.1343685661690
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",105.0090746806400
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",102.6000000000000
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",101.3705077440070
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",101.0515490730450
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",102.7641115943520
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",105.1000000000000
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",107.8862375614560
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",103.5080517759920
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",104.1919180045080
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",108.0517088887810
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",101.3000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",103.0781088001760
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",101.0558548752640
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",101.0894179137930
"PHILIPPINES","01.1.4.5 - Cheese (ND)",102.6138110279170
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",100.1241089386610
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",104.3669158744340
"PHILIPPINES","01.1.4.8 - Eggs (ND)",101.3476916552040
"PHILIPPINES","01.1.5 - Oils and fats (ND)",101.3000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",100.9371773048420
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",104.5376851457420
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",101.6083247502720
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",92.0132410450672
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",105.9000000000000
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",111.1804947446590
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",110.9860015989850
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",94.9493231832808
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",109.5575135854540
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",101.5532800370360
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",102.7485802869040
