"Geolocation","Commodity Description","2022 Oct"
"PHILIPPINES","0 - ALL ITEMS",117.9000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",118.4000000000000
"PHILIPPINES","01.1 - FOOD",118.9000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",102.1000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",96.5092884188631
"PHILIPPINES","01.1.1.12 - Rice",94.1688160104454
"PHILIPPINES","01.1.1.16 - Corn",139.5202270693880
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",119.7914906422950
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",118.2922996798420
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",119.8355540864250
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",112.9650484707980
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",119.0143428545340
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",122.1338267841730
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",130.6000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",134.1872155719780
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",122.2520625862480
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",138.7768141344010
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",117.8232562734150
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",126.4000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",126.2253030158620
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",138.7561020371090
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",119.3124748741770
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",123.2394646426000
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",126.7267604386290
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",116.6000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",126.7505952802300
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",108.1258690750330
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",105.0349608828840
"PHILIPPINES","01.1.4.5 - Cheese (ND)",114.7092295127300
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",113.8145830691550
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",110.3038614713370
"PHILIPPINES","01.1.4.8 - Eggs (ND)",127.7563490807080
"PHILIPPINES","01.1.5 - Oils and fats (ND)",134.2000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",140.4298628957160
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",119.1435907661400
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",113.5550358579930
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",118.0011028859020
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",120.9000000000000
"PHILIPPINES","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",120.4387117036580
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",131.7928869789340
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",126.6016812066570
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",127.5490549031000
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",126.5198696642900
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",119.3355338831560
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",121.8159293385170
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",140.3000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",128.8628886247080
"PHILIPPINES","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",137.9487748617290
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",129.8127730069980
"PHILIPPINES","01.1.7.4 - Other vegetables, fresh or chilled (ND)",164.9999353921520
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",122.3876999655850
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",124.1382928550440
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",140.4000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",172.9269822708750
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",116.4996913193640
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",121.0728363314110
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",115.8906887292110
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",111.9239365277520
"PHILIPPINES","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",112.8018407577080
"PHILIPPINES","01.1.9 - Ready-made food and other food products n.e.c. (ND)",120.3000000000000
"PHILIPPINES","01.1.9.2 - Baby food (ND)",112.2661299056310
"PHILIPPINES","01.1.9.3 - Salt, condiments and sauces (ND)",124.7256045697530
"PHILIPPINES","01.1.9.4 - Spices, culinary herbs and seeds (ND)",123.5581868728130
"PHILIPPINES","01.1.9.9 - Other food products n.e.c. (ND)",119.8329524951660
"PHILIPPINES","01.2 - NON-ALCOHOLIC BEVERAGES",113.0000000000000
"PHILIPPINES","01.2.1 - Fruit and vegetable juices (ND)",124.7000000000000
"PHILIPPINES","01.2.1.0 - Fruit and vegetable juices (ND)",124.6581919403910
"PHILIPPINES","01.2.2 - Coffee and coffee substitutes (ND)",109.4000000000000
"PHILIPPINES","01.2.2.0 - Coffee and coffee substitutes (ND)",109.3888927105710
"PHILIPPINES","01.2.3 - Tea, maté and other plant products for infusion (ND)",113.2000000000000
"PHILIPPINES","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",113.2044069063050
"PHILIPPINES","01.2.4 - Cocoa drinks (ND)",118.1000000000000
"PHILIPPINES","01.2.4.0 - Cocoa drinks (ND)",118.0938666044760
"PHILIPPINES","01.2.5 - Water (ND)",107.5000000000000
"PHILIPPINES","01.2.5.0 - Water (ND)",107.5183231916100
"PHILIPPINES","01.2.6 - Soft drinks (ND)",118.1000000000000
"PHILIPPINES","01.2.6.0 - Soft drinks (ND)",118.0846219901820
"PHILIPPINES","01.2.9 - Other non-alcoholic beverages (ND)",122.4000000000000
"PHILIPPINES","01.2.9.0 - Other non-alcoholic beverages (ND)",122.3908848255680
"PHILIPPINES","02 - ALCOHOLIC BEVERAGES AND TOBACCO",158.0000000000000
"PHILIPPINES","02.1 - ALCOHOLIC BEVERAGES",128.1000000000000
"PHILIPPINES","02.1.1 - Spirits and liquors (ND)",129.3000000000000
"PHILIPPINES","02.1.1.0 - Spirits and liquors (ND)",129.2258628117330
"PHILIPPINES","02.1.2 - Wine (ND)",120.1000000000000
"PHILIPPINES","02.1.2.1 - Wine from grapes (ND)",117.2867978288610
"PHILIPPINES","02.1.2.2 - Wine from other sources (ND)",120.8123748582740
"PHILIPPINES","02.1.3 - Beer (ND)",127.7000000000000
"PHILIPPINES","02.1.3.0 - Beer (ND)",127.6780761282800
"PHILIPPINES","02.3 - TOBACCO",178.7000000000000
"PHILIPPINES","02.3.0 - Tobacco (ND)",178.7000000000000
"PHILIPPINES","02.3.0.1 - Cigarettes (ND)",179.2705480568170
"PHILIPPINES","02.3.0.2 - Cigars (ND)",166.2731805104780
"PHILIPPINES","02.3.0.9 - Other tobacco products (ND)",138.3287684698080
"PHILIPPINES","02.4 - OTHER VEGETABLE-BASED TOBACCO PRODUCTS",147.9000000000000
"PHILIPPINES","02.4.0 - Other vegetable-based tobacco products (ND)",147.9000000000000
"PHILIPPINES","02.4.0.0 - Other vegetable-based tobacco products (ND)",147.9467866243110
"PHILIPPINES","02.900 - NON-FOOD",116.0000000000000
"PHILIPPINES","03 - CLOTHING AND FOOTWEAR",110.8000000000000
"PHILIPPINES","03.1 - CLOTHING",110.5000000000000
"PHILIPPINES","03.1.1 - Clothing materials (SD)",108.4000000000000
"PHILIPPINES","03.1.1.0 - Clothing materials (SD)",108.3471513617050
"PHILIPPINES","03.1.2 - Garments (SD)",110.3000000000000
"PHILIPPINES","03.1.2.1 - Garments for men or boys (SD)",110.3170340713540
"PHILIPPINES","03.1.2.2 - Garments for women or girls (SD)",110.1475778570440
"PHILIPPINES","03.1.2.3 - Garments for infants (0 to under 2 years) (SD)",112.2649598974540
"PHILIPPINES","03.1.2.4 - School uniforms (SD)",115.6515544226360
"PHILIPPINES","03.1.3 - Other articles of clothing and clothing accessories (SD)",110.7000000000000
"PHILIPPINES","03.1.3.1 - Other articles of clothing (SD)",110.0436578660120
"PHILIPPINES","03.1.3.2 - Clothing accessories (SD)",115.3278516309200
"PHILIPPINES","03.1.4 - Cleaning, repair, tailoring and hire of clothing (S)",121.2000000000000
"PHILIPPINES","03.1.4.1 - Cleaning of clothing (S)",121.4405566881740
"PHILIPPINES","03.1.4.2 - Repair, tailoring and hire of clothing (S)",120.7397939805440
"PHILIPPINES","03.2 - FOOTWEAR",111.6000000000000
"PHILIPPINES","03.2.1 - Shoes and other footwear (SD)",111.6000000000000
"PHILIPPINES","03.2.1.1 - Footwear for men (SD)",112.5176645197730
"PHILIPPINES","03.2.1.2 - Footwear for women (SD)",110.2511530036630
"PHILIPPINES","03.2.1.3 - Footwear for infants and children (SD)",111.7020276055920
"PHILIPPINES","03.2.2 - Cleaning, repair, and hire of footwear (S)",116.1000000000000
"PHILIPPINES","03.2.2.0 - Cleaning, repair, and hire of footwear (S)",116.0524631845800
"PHILIPPINES","04 - HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",115.1000000000000
"PHILIPPINES","04.1 - ACTUAL RENTALS FOR HOUSING",111.7000000000000
"PHILIPPINES","04.1.1 - Actual rentals paid by tenants for main residence (S)",111.7000000000000
"PHILIPPINES","04.1.1.0 - Actual rentals paid by tenants for main residence (S)",111.6734395639740
"PHILIPPINES","04.3 - MAINTENANCE, REPAIR AND SECURITY OF THE DWELLING",114.7000000000000
