"Geolocation","Commodity Description","2023 May"
"PHILIPPINES","0 - ALL ITEMS",120.9000000000000
"PHILIPPINES","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",121.6000000000000
"PHILIPPINES","01.1 - FOOD",122.0000000000000
"PHILIPPINES","01.1.1 - Cereals and cereal products (ND)",105.1000000000000
"PHILIPPINES","01.1.1.1 - Cereals (ND)",98.4061350063131
"PHILIPPINES","01.1.1.12 - Rice",96.2572120671335
"PHILIPPINES","01.1.1.16 - Corn",137.8969627423470
"PHILIPPINES","01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",126.2555428383300
"PHILIPPINES","01.1.1.2 - Flour of cereals (ND)",122.7740460255650
"PHILIPPINES","01.1.1.3 - Bread and bakery products (ND)",126.5107738460530
"PHILIPPINES","01.1.1.4 - Breakfast cereals (ND)",118.9006017597230
"PHILIPPINES","01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",124.9893608434600
"PHILIPPINES","01.1.1.9 - Other cereal and grain mill products (ND)",128.7619239021240
"PHILIPPINES","01.1.2 - Meat and other parts of slaughtered land animals (ND)",133.9000000000000
"PHILIPPINES","01.1.2.2 - Meat, fresh, chilled or frozen (ND)",137.1981239373470
"PHILIPPINES","01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",127.8477778104470
"PHILIPPINES","01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",141.6789985320040
"PHILIPPINES","01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",122.2716490426620
"PHILIPPINES","01.1.3 - Fish and other seafood (ND)",130.6000000000000
"PHILIPPINES","01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",129.4541927250170
"PHILIPPINES","01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",147.2840254493350
"PHILIPPINES","01.1.3.3 - Fish preparations (ND)",126.7918585845900
"PHILIPPINES","01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",128.7682969519750
"PHILIPPINES","01.1.3.6 - Other seafood preparations (ND)",136.5151347406070
"PHILIPPINES","01.1.4 - Milk, other dairy products and eggs (ND)",123.1000000000000
"PHILIPPINES","01.1.4.1 - Raw and whole milk (ND)",136.9680520756420
"PHILIPPINES","01.1.4.3 - Other milk and cream (ND)",112.8216142827530
"PHILIPPINES","01.1.4.4 - Non-animal milk (ND)",114.7217507076520
"PHILIPPINES","01.1.4.5 - Cheese (ND)",120.9991308262440
"PHILIPPINES","01.1.4.6 - Yoghurt and similar products (ND)",122.4912524286170
"PHILIPPINES","01.1.4.7 - Milk-based dessert and beverages (ND)",116.8584556144230
"PHILIPPINES","01.1.4.8 - Eggs (ND)",136.3591909751770
"PHILIPPINES","01.1.5 - Oils and fats (ND)",134.5000000000000
"PHILIPPINES","01.1.5.1 - Vegetable oils (ND)",140.1448419368320
"PHILIPPINES","01.1.5.2 - Butter and other fats and oils derived from milk (ND)",125.7147923071110
"PHILIPPINES","01.1.5.3 - Margarine and similar preparations (ND)",114.3911785546490
"PHILIPPINES","01.1.5.9 - Other animal oils and fats (ND)",113.4233480296270
"PHILIPPINES","01.1.6 - Fruits and nuts (ND)",131.9000000000000
"PHILIPPINES","01.1.6.1 - Dates, figs and tropical fruits, fresh (ND)",131.7048675399800
"PHILIPPINES","01.1.6.2 - Citrus fruits, fresh (ND)",148.1889992087330
"PHILIPPINES","01.1.6.3 - Stone fruits and pome fruits, fresh (ND)",132.4601982560240
"PHILIPPINES","01.1.6.5 - Other fruits, fresh (ND)",132.4569760103750
"PHILIPPINES","01.1.6.7 - Fruit, dried and dehydrated (ND)",130.4647582579360
"PHILIPPINES","01.1.6.8 - Nuts, in shell or shelled (ND)",125.8817286790880
"PHILIPPINES","01.1.6.9 - Fruit and nuts ground and other preparations (ND)",126.8872963706640
"PHILIPPINES","01.1.7 - Vegetables, tubers, plantains, cooking bananas and pulses (ND)",131.6000000000000
"PHILIPPINES","01.1.7.1 - Leafy or stem vegetables, fresh or chilled (ND)",130.0035501247550
"PHILIPPINES","01.1.7.2 - Fruit-bearing vegetables, fresh or chilled (ND)",119.7171926451200
"PHILIPPINES","01.1.7.3 - Green leguminous vegetables, fresh or chilled (ND)",127.6199147520020
"PHILIPPINES","01.1.7.4 - Other vegetables, fresh or chilled (ND)",147.9409023325110
"PHILIPPINES","01.1.7.5 - Tubers, plantains and cooking bananas (ND)",136.7496950695170
"PHILIPPINES","01.1.7.9 - Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",133.6062555559510
"PHILIPPINES","01.1.8 - Sugar, confectionery and desserts (ND)",147.8000000000000
"PHILIPPINES","01.1.8.1 - Cane and beet sugar (ND)",180.9659401016870
"PHILIPPINES","01.1.8.3 - Jams, fruit jellies, marmalades, fruit purée and pastes, honey (ND)",124.3140052056910
"PHILIPPINES","01.1.8.4 - Nut purée, nut butter and nut pastes (ND)",131.6735844579290
"PHILIPPINES","01.1.8.5 - Chocolate, cocoa, and cocoa-based food products (ND)",121.9785393516600
"PHILIPPINES","01.1.8.6 - Ice, ice cream and sorbet (ND)",116.9123311897340
"PHILIPPINES","01.1.8.9 - Other sugar confectionery and desserts n.e.c. (ND)",121.6871818995180
"PHILIPPINES","01.1.9 - Ready-made food and other food products n.e.c. (ND)",124.6000000000000
"PHILIPPINES","01.1.9.2 - Baby food (ND)",116.7656322661970
"PHILIPPINES","01.1.9.3 - Salt, condiments and sauces (ND)",129.9732169323930
"PHILIPPINES","01.1.9.4 - Spices, culinary herbs and seeds (ND)",124.5198789023960
"PHILIPPINES","01.1.9.9 - Other food products n.e.c. (ND)",127.0556591390600
"PHILIPPINES","01.2 - NON-ALCOHOLIC BEVERAGES",117.5000000000000
"PHILIPPINES","01.2.1 - Fruit and vegetable juices (ND)",129.6000000000000
"PHILIPPINES","01.2.1.0 - Fruit and vegetable juices (ND)",129.6426641268810
"PHILIPPINES","01.2.2 - Coffee and coffee substitutes (ND)",113.6000000000000
"PHILIPPINES","01.2.2.0 - Coffee and coffee substitutes (ND)",113.6175786751680
"PHILIPPINES","01.2.3 - Tea, maté and other plant products for infusion (ND)",116.6000000000000
"PHILIPPINES","01.2.3.0 - Tea, maté and other plant products for infusion (ND)",116.6073211037610
"PHILIPPINES","01.2.4 - Cocoa drinks (ND)",124.7000000000000
"PHILIPPINES","01.2.4.0 - Cocoa drinks (ND)",124.7102055937880
"PHILIPPINES","01.2.5 - Water (ND)",110.2000000000000
"PHILIPPINES","01.2.5.0 - Water (ND)",110.1345288643480
"PHILIPPINES","01.2.6 - Soft drinks (ND)",123.6000000000000
